"FIPS","City","Population"
9448,"Booker",13
56912,"Perryton",8512
1324,"Adrian",170
75188,"Vega",924
10252,"Bridge City",7862
54132,"Orange",18118
57524,"Pine Forest",519
57608,"Pinehurst",1976
58820,"Port Arthur",8
63200,"Rose City",484
75476,"Vidor",10403
77752,"West Orange",3223
30272,"Gordon",486
30380,"Graford",627
48684,"Mineral Wells",15020
48720,"Mingus",257
70580,"Strawn",671
7108,"Beckville",823
13108,"Carthage",6431
29108,"Gary City",300
71924,"Tatum",268
1744,"Aledo",4985
3336,"Annetta",3248
3340,"Annetta North",568
3342,"Annetta South",573
5168,"Azle",2258
16540,"Cool",187
17648,"Cresson",735
27000,"Fort Worth",10
35254,"Hudson Oaks",2479
48564,"Millsap",461
48684,"Mineral Wells",193
61604,"Reno",3196
65066,"Sanctuary",321
69800,"Springtown",3188
76864,"Weatherford",33547
79492,"Willow Park",5842
9628,"Bovina",1777
25548,"Farwell",1291
27660,"Friona",3808
26808,"Fort Stockton",8421
36128,"Iraan",1222
17036,"Corrigan",1611
30224,"Goodrich",323
43132,"Livingston",5242
54048,"Onalaska",2967
66884,"Seven Oaks",129
3000,"Amarillo",102369
8398,"Bishop Hills",178
46620,"Marfa",1625
59396,"Presidio",3894
1636,"Alba",2
22276,"East Tawakoni",985
24216,"Emory",1353
58532,"Point",926
3000,"Amarillo",97002
12532,"Canyon",15945
32156,"Happy",71
40804,"Lake Tanglewood",886
54726,"Palisades",353
73030,"Timbercreek Canyon",471
8212,"Big Lake",3367
12388,"Camp Wood",731
42004,"Leakey",438
3360,"Annona",288
5072,"Avery",444
9172,"Bogata",1063
15160,"Clarksville",3072
20020,"Deport",48
20128,"Detroit",683
5468,"Balmorhea",595
56516,"Pecos",10461
73496,"Toyah",108
5036,"Austwell",145
6104,"Bayside",320
61436,"Refugio",2734
80176,"Woodsboro",1410
47988,"Miami",550
10144,"Bremond",966
11992,"Calvert",1126
27288,"Franklin",1645
32972,"Hearne",4354
19000,"Dallas",0
25572,"Fate",15603
29000,"Garland",0
32984,"Heath",9331
