"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2020-12-20,"Uvalde",600,NA,7,NA,NA,"20379","4508","1498","515","8253"
2020-12-20,"Val Verde",600,NA,5,NA,NA,"36546","7003","2610","490","14417"
2020-12-20,"Van Zandt",900,NA,101,NA,NA,"45216","11495","1280","711","16861"
2020-12-20,"Victoria",1500,NA,207,NA,NA,"71388","15242","5624","1030","27119"
2020-12-20,"Walker",1000,NA,17,NA,NA,"63471","10049","1526","400","24628"
2020-12-20,"Waller",800,NA,54,NA,NA,"43350","6546","1182","466","16819"
2020-12-20,"Ward",100,NA,1,NA,NA,"8921","1629","137","92","3551"
2020-12-20,"Washington",400,NA,23,NA,NA,"29086","7889","2581","1018","10662"
2020-12-20,"Webb",7475,NA,594,NA,NA,"196916","26921","12073","1646","88397"
2020-12-20,"Wharton",200,NA,23,NA,NA,"32110","7239","1438","615","12933"
2020-12-20,"Wheeler",100,NA,NA,NA,NA,"3915","1002","200","114","1459"
2020-12-20,"Wichita",3200,NA,880,NA,NA,"105631","19854","8664","2030","42031"
2020-12-20,"Wilbarger",500,NA,15,NA,NA,"10361","2421","457","304","4240"
2020-12-20,"Williamson",8700,NA,1863,NA,NA,"458433","73202","14404","4639","146388"
2020-12-20,"Wilson",1000,NA,88,NA,NA,"40488","8411","1224","615","13986"
2020-12-20,"Wise",200,NA,271,NA,NA,"54722","10598","3589","552","22459"
2020-12-20,"Wood",500,NA,60,NA,NA,"38005","12527","1046","880","13019"
2020-12-20,"Young",700,NA,3,NA,NA,"14219","3774","862","431","5296"
2020-12-20,"Zapata",100,NA,8,NA,NA,"9981","1866","195","202","4642"
2021-01-03,"Anderson",1100,NA,267,NA,NA,"48045","8658","2051","833","20206"
2021-01-03,"Angelina",700,NA,798,NA,NA,"67056","14422","6534","1752","28054"
2021-01-03,"Aransas",400,NA,222,NA,NA,"19803","6791","370","252","6701"
2021-01-03,"Archer",100,NA,120,NA,NA,"6921","1677","80","13","2381"
2021-01-03,"Austin",200,NA,215,NA,NA,"23704","5933","667","396","7873"
2021-01-03,"Bailey",100,NA,62,NA,NA,"5089","1036","114","74","1982"
2021-01-03,"Bastrop",400,NA,819,NA,NA,"68839","13865","1462","696","29356"
2021-01-03,"Baylor",200,NA,69,NA,NA,"2793","844","137","97","908"
2021-01-03,"Bee",700,NA,227,NA,NA,"26496","4091","981","684","11359"
2021-01-03,"Bell",1950,3900,2207,NA,NA,"272969","40534","15894","2466","95066"
2021-01-03,"Bexar",6150,28275,19772,NA,NA,"1552823","247843","100704","17248","614646"
2021-01-03,"Blanco",300,NA,73,NA,NA,"10092","3004","90","102","3388"
2021-01-03,"Bosque",700,NA,190,NA,NA,"15224","4741","624","407","5126"
2021-01-03,"Bowie",200,1950,564,NA,NA,"73689","15832","6332","1467","29102"
2021-01-03,"Brazoria",2400,NA,3902,NA,NA,"287683","45752","9762","2648","105966"
2021-01-03,"Brazos",1500,975,1649,NA,NA,"186843","21693","7514","1414","59619"
2021-01-03,"Briscoe",100,NA,15,NA,NA,"1272","404","19","0","452"
2021-01-03,"Brooks",100,NA,102,NA,NA,"5317","1308","323","246","2253"
2021-01-03,"Brown",200,NA,390,NA,NA,"30883","7720","1663","911","11188"
2021-01-03,"Burnet",200,NA,298,NA,NA,"39239","10999","1823","595","13132"
