"County","Date","Cases_Cumulative","Cases_Daily","Deaths_Cumulative","Deaths_Daily","Tests_Cumulative","Tests_Daily","Active_Cases_Cumulative","Active_Cases_Daily","Retail_Recreation","Grocery_Pharmacy","Parks","Transit","Workplaces","Residential","Metro_Area","TSA","TSA_Name","Population_DSHS","TSA_Combined"
"La Salle",2020-05-18,4,0,0,0,86,2,3,0,NA,NA,NA,-36,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-19,4,0,0,0,97,11,3,0,NA,NA,NA,-35,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-20,4,0,0,0,98,1,3,0,NA,NA,NA,-31,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-21,4,0,0,0,133,35,3,0,NA,NA,NA,-40,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-22,4,0,0,0,133,0,3,0,NA,NA,NA,-36,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-23,4,0,0,0,NA,NA,2,-1,NA,NA,NA,-45,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-24,4,0,0,0,146,NA,2,0,NA,NA,NA,-39,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-25,4,0,0,0,148,2,2,0,NA,NA,NA,-41,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-26,4,0,0,0,153,5,2,0,NA,NA,NA,-32,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-27,4,0,0,0,155,2,1,-1,NA,NA,NA,-35,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-28,4,0,0,0,159,4,1,0,NA,NA,NA,-33,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-29,4,0,0,0,165,6,1,0,NA,NA,NA,-36,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-30,4,0,0,0,212,47,33,32,NA,NA,NA,-39,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-05-31,4,0,0,0,213,1,1,-32,NA,NA,NA,-32,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-01,4,0,0,0,216,3,1,0,NA,NA,NA,-38,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-02,4,0,0,0,222,6,1,0,NA,NA,NA,-32,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-03,4,0,0,0,296,74,1,0,NA,NA,NA,-32,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-04,4,0,0,0,365,69,1,0,NA,NA,NA,-36,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-05,4,0,0,0,366,1,1,0,NA,NA,NA,-34,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-06,4,0,0,0,392,26,1,0,NA,NA,NA,-39,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-07,4,0,0,0,433,41,1,0,NA,NA,NA,-33,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-08,4,0,0,0,434,1,1,0,NA,NA,NA,-29,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-09,4,0,0,0,436,2,1,0,NA,NA,NA,-27,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-10,4,0,0,0,NA,NA,0,-1,NA,NA,NA,-28,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-11,4,0,0,0,441,NA,0,0,NA,NA,NA,-27,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-12,4,0,0,0,441,0,0,0,NA,NA,NA,-27,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-13,4,0,0,0,441,0,0,0,NA,NA,NA,-38,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-14,4,0,0,0,441,0,0,0,NA,NA,NA,-30,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-15,4,0,0,0,442,1,0,0,NA,NA,NA,-35,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-16,4,0,0,0,487,45,0,0,NA,NA,NA,-30,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-17,5,1,0,0,499,12,1,1,NA,NA,NA,-26,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-18,5,0,0,0,508,9,1,0,NA,NA,NA,-26,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-19,7,2,0,0,512,4,3,2,NA,NA,NA,-27,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-20,7,0,0,0,524,12,3,0,NA,NA,NA,NA,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-21,7,0,0,0,525,1,3,0,NA,NA,NA,NA,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-22,7,0,0,0,529,4,3,0,NA,NA,NA,NA,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"La Salle",2020-06-23,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non-Metro","P","Greater San Antonio",8309,"P - Greater San Antonio"
"Lamar",2020-02-15,NA,NA,NA,NA,NA,NA,NA,NA,6,-4,NA,NA,2,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-16,NA,NA,NA,NA,NA,NA,NA,NA,15,6,NA,NA,8,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-17,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,18,-12,3,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-18,NA,NA,NA,NA,NA,NA,NA,NA,-1,-4,NA,10,3,1,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-19,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,14,6,0,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-20,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,-2,2,0,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-21,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,5,4,0,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-22,NA,NA,NA,NA,NA,NA,NA,NA,7,-3,NA,NA,7,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-23,NA,NA,NA,NA,NA,NA,NA,NA,8,-3,NA,NA,10,NA,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-24,NA,NA,NA,NA,NA,NA,NA,NA,4,-2,NA,16,6,-1,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-25,NA,NA,NA,NA,NA,NA,NA,NA,12,4,NA,6,6,-1,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
"Lamar",2020-02-26,NA,NA,NA,NA,NA,NA,NA,NA,22,18,NA,16,8,-2,"Non-Metro","F","Northeast Texas",50014,"F - Northeast Texas"
