"District","Date","County","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Childress ISD (38901)","2020-09-20","Childress,Cottle,Foard,Hall,Hardeman",1006,937,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Henrietta ISD (39902)","2020-09-20","Archer,Clay,Wichita",921,780,NA,NA,NA,NA,NA,NA,NA,0,3,7,2,1,1,10
"Petrolia Cisd (39903)","2020-09-20","Clay,Wichita",441,439,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"Bellevue ISD (39904)","2020-09-20","Clay,Montague",136,128,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Midway ISD (39905)","2020-09-20","Archer,Clay,Jack",132,131,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0
"Morton ISD (40901)","2020-09-20","Bailey,Cochran",354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whiteface Cisd (40902)","2020-09-20","Bailey,Cochran,Hockley,Lamb,Terry,Yoakum",343,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronte ISD (41901)","2020-09-20","Coke,Runnels,Tom Green",245,233,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Robert Lee ISD (41902)","2020-09-20","Coke,Mitchell,Nolan,Sterling,Tom Green",256,247,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Coleman ISD (42901)","2020-09-20","Brown,Callahan,Coleman,Runnels,Taylor",843,776,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,3,1
"Santa Anna ISD (42903)","2020-09-20","Brown,Coleman,McCulloch",265,248,NA,NA,NA,NA,NA,NA,NA,0,2,6,0,0,8,0
"Panther Creek Cisd (42905)","2020-09-20","Coleman,Concho,McCulloch,Runnels",157,127,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Imagine International Academy Of North Texas (43801)","2020-09-20","Collin",1440,383,0,1,1,0,0,2,0,1,1,1,1,0,3,1
"Lone Star Language Academy (43802)","2020-09-20","Collin",210,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD (43901)","2020-09-20","Collin",21539,10558,0,2,13,4,0,0,19,5,4,48,13,0,0,70
"Anna ISD (43902)","2020-09-20","Collin,Grayson",3930,2838,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,0,0,8
"Celina ISD (43903)","2020-09-20","Collin,Denton,Grayson",2973,2360,NA,NA,NA,NA,NA,NA,NA,4,12,56,24,2,55,39
"Farmersville ISD (43904)","2020-09-20","Collin,Hunt",1904,1521,NA,NA,NA,NA,NA,NA,NA,0,3,4,1,0,8,0
"Frisco ISD (43905)","2020-09-20","Collin,Denton",554,268,5,4,17,6,0,0,32,22,10,110,43,0,0,185
"Mckinney ISD (43907)","2020-09-20","Collin",23271,15219,3,1,6,3,0,1,12,20,9,50,11,0,11,79
"Melissa ISD (43908)","2020-09-20","Collin",4017,2968,1,0,0,2,0,3,0,3,2,12,11,0,22,6
"Plano ISD (43910)","2020-09-20","Collin,Dallas",50066,15174,9,6,13,12,0,19,21,40,22,66,49,0,80,97
"Princeton ISD (43911)","2020-09-20","Collin",5774,3980,3,4,4,4,1,7,7,5,8,21,14,3,29,16
"Prosper ISD (43912)","2020-09-20","Collin,Denton",19012,12578,2,0,9,4,0,0,15,17,22,85,31,0,18,137
"Wylie ISD (43914)","2020-09-20","Collin,Dallas,Rockwall",17465,9095,NA,NA,NA,NA,NA,NA,NA,6,7,43,28,2,23,59
"Blue Ridge ISD (43917)","2020-09-20","Collin,Fannin,Hunt",896,812,0,0,3,1,0,0,4,2,0,3,8,0,2,11
"Community ISD (43918)","2020-09-20","Collin,Hunt,Rockwall",2723,1675,0,3,1,6,0,2,8,0,11,27,16,2,21,31
"Lovejoy ISD (43919)","2020-09-20","Collin",4192,2224,NA,NA,NA,NA,NA,NA,NA,1,0,11,5,1,6,10
"Wellington ISD (44902)","2020-09-20","Childress,Collingsworth,Donley,Hall,Wheeler",537,522,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Columbus ISD (45902)","2020-09-20","Austin,Colorado,Fayette",1510,1075,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,4,1
"Rice Cisd (45903)","2020-09-20","Austin,Colorado,Lavaca,Wharton",1235,833,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,1,2
"Weimar ISD (45905)","2020-09-20","Colorado,Fayette,Lavaca",613,583,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,3,1
"Trinity Charter School (46802)","2020-09-20","Comal",389,360,0,1,13,0,12,1,1,0,1,13,0,12,1,1
"New Braunfels ISD (46901)","2020-09-20","Comal,Guadalupe",9247,5757,0,1,6,4,0,0,11,5,2,28,11,3,22,21
"Comal ISD (46902)","2020-09-20","Bexar,Blanco,Comal,Guadalupe,Hays,Kendall",25214,15285,1,0,11,2,1,13,0,15,4,47,20,1,39,46
"Comanche ISD (47901)","2020-09-20","Brown,Comanche,Erath,Mills",1381,1256,NA,NA,NA,NA,NA,NA,NA,2,2,9,10,0,22,1
"De Leon ISD (47902)","2020-09-20","Comanche,Eastland,Erath",740,717,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1
"Gustine ISD (47903)","2020-09-20","Comanche,Hamilton",148,140,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,0,2,2
"Sidney ISD (47905)","2020-09-20","Brown,Comanche",146,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eden Cisd (48901)","2020-09-20","Concho,Menard,Schleicher,Tom Green",232,199,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Paint Rock ISD (48903)","2020-09-20","Coleman,Concho,Runnels,Tom Green",246,203,NA,NA,NA,NA,NA,NA,NA,1,0,3,4,2,2,4
"Gainesville ISD (49901)","2020-09-20","Cooke",3026,2473,1,2,1,2,0,6,0,9,8,18,19,0,27,27
"Muenster ISD (49902)","2020-09-20","Cooke,Montague",523,489,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Valley View ISD (49903)","2020-09-20","Cooke,Denton",889,681,0,0,3,1,0,1,3,0,0,5,2,0,3,4
"Callisburg ISD (49905)","2020-09-20","Cooke,Grayson",1116,972,0,0,0,1,0,0,1,0,2,2,1,0,2,3
"Era ISD (49906)","2020-09-20","Cooke,Denton,Montague",479,459,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Lindsay ISD (49907)","2020-09-20","Cooke",484,466,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,1,6
"Walnut Bend ISD (49908)","2020-09-20","Cooke",59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivells Bend ISD (49909)","2020-09-20","Cooke",48,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evant ISD (50901)","2020-09-20","Coryell,Hamilton,Lampasas",241,205,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Gatesville ISD (50902)","2020-09-20","Bell,Bosque,Coryell,McLennan",2779,2228,0,0,2,0,0,1,1,3,1,5,5,0,7,7
"Oglesby ISD (50904)","2020-09-20","Coryell,McLennan",186,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonesboro ISD (50909)","2020-09-20","Bosque,Coryell,Hamilton",316,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copperas Cove ISD (50910)","2020-09-20","Bell,Burnet,Coryell,Lampasas",8006,4808,0,0,3,1,0,4,0,4,3,6,8,1,18,2
"Paducah ISD (51901)","2020-09-20","Childress,Cottle,Dickens,Foard,Hall,King,Motley",186,143,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Crane ISD (52901)","2020-09-20","Crane,Crockett,Ector,Pecos,Upton,Ward",1096,926,0,2,0,0,0,0,2,0,3,1,2,0,2,4
"Crockett County Consolidated Csd (53001)","2020-09-20","Crane,Crockett,Irion,Pecos,Reagan,Schleicher,Sutton,Terrell,Upton,Val Verde",763,752,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Crosbyton Cisd (54901)","2020-09-20","Crosby,Dickens,Floyd,Garza,Kent,Motley",324,316,0,0,1,1,0,2,0,0,1,3,2,0,6,0
"Lorenzo ISD (54902)","2020-09-20","Crosby,Floyd,Garza,Hale,Lubbock,Lynn",236,212,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Ralls ISD (54903)","2020-09-20","Crosby,Floyd,Garza",457,425,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,1,0,4
"Culberson County-Allamoore ISD (55901)","2020-09-20","Culberson,Hudspeth,Jeff Davis,Reeves",386,265,0,0,0,5,0,5,0,0,1,0,10,0,11,0
"Dalhart ISD (56901)","2020-09-20","Dallam,Hartley",1668,1546,NA,NA,NA,NA,NA,NA,NA,2,0,7,5,0,2,12
"Texline ISD (56902)","2020-09-20","Dallam,Hartley",197,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pegasus School Of Liberal Arts And Sciences (57802)","2020-09-20","Dallas",503,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uplift Education (57803)","2020-09-20","Dallas",21761,4871,NA,NA,NA,NA,NA,NA,NA,6,6,9,4,0,5,20
"Texans Can Academies (57804)","2020-09-20","Dallas",4757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lumin Education (57805)","2020-09-20","Dallas",258,147,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,3,0
"Advantage Academy (57806)","2020-09-20","Dallas",1197,405,0,0,1,0,0,0,1,1,0,2,5,0,3,5
"Life School (57807)","2020-09-20","Dallas",5600,2178,0,0,1,3,1,2,1,4,6,13,20,11,9,23
"Universal Academy (57808)","2020-09-20","Dallas",2405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy (57809)","2020-09-20","Dallas",123,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Dallas (57810)","2020-09-20","Dallas",294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinity Basin Preparatory (57813)","2020-09-20","Dallas",4178,1874,1,1,0,3,0,1,4,6,4,0,17,0,5,22
"Academy For Academic Excellence (57814)","2020-09-20","Dallas",294,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A W Brown Leadership Academy (57816)","2020-09-20","Dallas",1343,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Massieu Academy (57819)","2020-09-20","Dallas",197,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy Southeast (57827)","2020-09-20","Dallas",601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winfree Academy Charter Schools (57828)","2020-09-20","Dallas",1244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Academy (57829)","2020-09-20","Dallas",1314,477,1,0,0,0,0,1,0,1,0,1,1,0,3,0
"Inspired Vision Academy (57830)","2020-09-20","Dallas",1218,474,0,1,2,1,1,3,0,1,2,4,3,1,8,1
"Gateway Charter Academy (57831)","2020-09-20","Dallas",813,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Education Center International Academy (57833)","2020-09-20","Dallas",543,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolution Academy Charter School (57834)","2020-09-20","Dallas",583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Rule Charter School (57835)","2020-09-20","Dallas",1561,549,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0
"St Anthony School (57836)","2020-09-20","Dallas",330,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Academia De Estrellas (57839)","2020-09-20","Dallas",1017,53,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Richland Collegiate High School (57840)","2020-09-20","Dallas",500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cityscape Schools (57841)","2020-09-20","Dallas",1208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manara Academy (57844)","2020-09-20","Dallas",656,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ume Preparatory Academy (57845)","2020-09-20","Dallas",1275,643,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1
"Legacy Preparatory (57846)","2020-09-20","Dallas",1530,489,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Village Tech Schools (57847)","2020-09-20","Dallas",1221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Leadership Of Texas (Iltexas) (57848)","2020-09-20","Dallas",20793,5633,3,2,2,6,0,12,1,5,8,9,32,9,31,14
"Pioneer Technology & Arts Academy (57850)","2020-09-20","Dallas",1615,996,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Bridgeway Preparatory Academy (57851)","2020-09-20","Dallas",101,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carrollton-Farmers Branch ISD (57903)","2020-09-20","Collin,Dallas,Denton",24701,10283,7,5,17,14,0,0,43,18,11,30,39,0,4,94
"Cedar Hill ISD (57904)","2020-09-20","Dallas,Ellis,Tarrant",7290,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas ISD (57905)","2020-09-20","Collin,Dallas,Denton,Ellis,Kaufman",144574,10259,NA,NA,NA,NA,NA,NA,NA,2,2,11,13,1,13,14
"Desoto ISD (57906)","2020-09-20","Dallas,Ellis",8047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duncanville ISD (57907)","2020-09-20","Dallas",11711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garland ISD (57909)","2020-09-20","Collin,Dallas,Rockwall",53825,18607,13,7,25,8,2,51,0,60,41,163,72,39,297,0
"Grand Prairie ISD (57910)","2020-09-20","Dallas,Tarrant",28120,11823,6,5,4,0,0,15,0,17,10,18,65,2,107,1
"Highland Park ISD (57911)","2020-09-20","Dallas",6622,4996,NA,NA,NA,NA,NA,NA,NA,5,4,47,4,4,53,3
"Irving ISD (57912)","2020-09-20","Dallas,Tarrant",32433,12315,1,2,15,8,1,7,18,17,5,39,47,6,69,33
"Lancaster ISD (57913)","2020-09-20","Dallas,Ellis",7200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite ISD (57914)","2020-09-20","Dallas,Kaufman",38349,20859,4,5,15,17,0,0,41,20,29,72,63,3,32,149
"Richardson ISD (57916)","2020-09-20","Collin,Dallas",37581,20603,4,5,15,9,0,0,33,31,27,48,49,0,1,154
"Sunnyvale ISD (57919)","2020-09-20","Dallas,Kaufman,Rockwall",1982,695,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,2,3
"Coppell ISD (57922)","2020-09-20","Dallas,Denton,Tarrant",12978,3683,2,0,11,4,7,10,0,2,4,28,19,7,46,0
"Dawson ISD (58902)","2020-09-20","Dawson,Gaines,Lynn,Terry",154,135,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Klondike ISD (58905)","2020-09-20","Andrews,Dawson,Gaines,Martin",264,264,0,0,0,1,0,0,1,0,1,13,3,0,6,11
"Lamesa ISD (58906)","2020-09-20","Borden,Dawson,Lynn",1734,1281,2,0,6,3,0,0,11,11,1,34,45,0,12,79
"Sands Cisd (58909)","2020-09-20","Borden,Dawson,Howard,Martin",258,257,1,0,0,0,0,0,1,2,0,2,0,0,0,4
"Hereford ISD (59901)","2020-09-20","Castro,Deaf Smith,Parmer,Randall",3876,3315,2,0,2,7,0,11,0,8,2,25,37,0,72,0
"Walcott ISD (59902)","2020-09-20","Deaf Smith,Parmer",143,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper ISD (60902)","2020-09-20","Delta,Franklin,Hopkins,Hunt,Lamar,Red River",811,702,3,0,0,1,0,0,4,3,0,3,3,0,2,7
"Fannindel ISD (60914)","2020-09-20","Delta,Fannin,Hunt,Lamar",158,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of North Texas (61501)","2020-09-20","Denton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Texas Collegiate Academy (61802)","2020-09-20","Denton",631,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leadership Prep School (61804)","2020-09-20","Denton",1352,520,0,1,0,2,2,1,0,0,2,2,3,2,3,2
"Trivium Academy (61805)","2020-09-20","Denton",609,422,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Denton ISD (61901)","2020-09-20","Denton",30214,16055,7,5,17,1,0,16,14,20,10,47,33,0,59,51
"Lewisville ISD (61902)","2020-09-20","Collin,Dallas,Denton,Tarrant",49265,27385,4,3,30,18,0,0,55,21,24,159,39,0,0,243
"Pilot Point ISD (61903)","2020-09-20","Collin,Cooke,Denton,Grayson",1361,1042,NA,NA,NA,NA,NA,NA,NA,1,0,15,4,0,4,16
"Krum ISD (61905)","2020-09-20","Denton,Wise",2121,1660,0,0,2,0,0,0,2,0,4,10,11,0,1,24
"Ponder ISD (61906)","2020-09-20","Denton,Wise",1585,1283,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Aubrey ISD (61907)","2020-09-20","Denton",2642,2002,0,0,1,1,0,2,0,0,0,5,2,1,3,3
"Sanger ISD (61908)","2020-09-20","Cooke,Denton",2545,1953,0,0,2,0,0,2,0,2,1,5,3,0,10,1
"Argyle ISD (61910)","2020-09-20","Denton",3725,3017,1,0,3,1,0,1,4,2,1,11,12,0,14,12
"Northwest ISD (61911)","2020-09-20","Denton,Tarrant,Wise",25235,18726,4,5,21,0,0,0,30,13,15,60,1,0,5,84
"Lake Dallas ISD (61912)","2020-09-20","Denton",3910,2666,0,0,0,1,0,0,1,0,5,4,2,0,1,10
"Little Elm ISD (61914)","2020-09-20","Denton",8086,4960,2,0,1,0,0,3,0,6,3,19,21,5,37,7
"Cuero ISD (62901)","2020-09-20","DeWitt,Gonzales,Victoria",1973,1702,0,0,0,1,1,0,0,0,1,3,4,1,6,1
"Nordheim ISD (62902)","2020-09-20","DeWitt,Goliad,Karnes",144,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoakum ISD (62903)","2020-09-20","DeWitt,Gonzales,Lavaca,Victoria",1439,1341,1,0,1,0,0,1,1,4,0,19,9,0,25,7
"Yorktown ISD (62904)","2020-09-20","DeWitt,Goliad,Gonzales,Karnes",542,480,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Westhoff ISD (62905)","2020-09-20","DeWitt,Gonzales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyersville ISD (62906)","2020-09-20","DeWitt,Goliad,Victoria",165,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spur ISD (63903)","2020-09-20","Crosby,Dickens,Floyd,Garza,Kent,King,Motley,Stonewall",236,201,NA,NA,NA,NA,NA,NA,NA,0,5,16,5,5,9,12
"Patton Springs ISD (63906)","2020-09-20","Cottle,Dickens,King,Motley",93,89,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Carrizo Springs Cisd (64903)","2020-09-20","Dimmit,Frio,La Salle,Maverick,Webb,Zavala",2065,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon ISD (65901)","2020-09-20","Armstrong,Briscoe,Donley,Gray,Hall",446,441,3,2,1,1,3,4,0,3,2,1,2,3,5,0
"Hedley ISD (65902)","2020-09-20","Collingsworth,Donley,Gray,Hall",115,111,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Ramirez Csd (66005)","2020-09-20","Brooks,Duval,Jim Hogg,Jim Wells",44,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benavides ISD (66901)","2020-09-20","Duval,Jim Hogg,Webb",246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego ISD (66902)","2020-09-20","Duval,Jim Wells,Live Oak,McMullen",1498,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freer ISD (66903)","2020-09-20","Duval,La Salle,McMullen,Webb",767,432,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Cisco ISD (67902)","2020-09-20","Callahan,Eastland,Shackelford,Stephens",845,776,0,0,3,2,0,3,2,0,0,10,8,0,13,5
"Eastland ISD (67903)","2020-09-20","Eastland,Stephens",1039,909,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,2,0,6
"Gorman ISD (67904)","2020-09-20","Comanche,Eastland",276,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger ISD (67907)","2020-09-20","Eastland,Erath,Palo Pinto,Stephens",362,315,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,2,4,0
"Rising Star ISD (67908)","2020-09-20","Brown,Comanche,Eastland",191,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Academy Charter School (68802)","2020-09-20","Ector",1326,1326,0,0,1,2,0,3,0,0,1,9,4,0,11,3
"Utpb Stem Academy (68803)","2020-09-20","Ector",785,568,0,0,1,0,0,1,0,0,1,1,0,0,1,1
"Ector County ISD (68901)","2020-09-20","Andrews,Crane,Ector,Midland,Upton,Ward,Winkler",31660,15678,7,4,9,14,3,19,12,24,18,47,75,15,122,27
"Rocksprings ISD (69901)","2020-09-20","Edwards,Kerr,Kimble,Kinney,Real,Sutton,Val Verde",270,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nueces Canyon Cisd (69902)","2020-09-20","Edwards,Kinney,Real,Uvalde",247,223,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Waxahachie Faith Family Academy (70801)","2020-09-20","Ellis",2623,1065,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,2
"Avalon ISD (70901)","2020-09-20","Ellis,Navarro",325,281,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,3,0
"Ennis ISD (70903)","2020-09-20","Ellis,Henderson,Kaufman,Navarro",5832,4300,1,0,3,0,0,4,0,2,2,20,7,0,27,4
"Ferris ISD (70905)","2020-09-20","Dallas,Ellis,Kaufman",2558,1385,0,0,0,2,0,1,1,0,3,11,14,0,5,23
"Italy ISD (70907)","2020-09-20","Ellis,Navarro",591,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midlothian ISD (70908)","2020-09-20","Dallas,Ellis,Johnson,Tarrant",9802,7251,0,0,11,3,1,3,10,1,11,32,18,1,22,39
"Milford ISD (70909)","2020-09-20","Ellis,Hill",237,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer ISD (70910)","2020-09-20","Ellis",1283,1102,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,4
"Red Oak ISD (70911)","2020-09-20","Dallas,Ellis",5962,3536,0,1,4,5,2,2,6,5,6,42,26,21,29,29
"Waxahachie ISD (70912)","2020-09-20","Ellis",9715,7090,1,0,1,1,0,3,0,7,1,20,10,0,30,8
"Maypearl ISD (70915)","2020-09-20","Ellis,Hill,Johnson",1238,1157,0,0,0,1,0,1,0,0,1,9,2,0,9,3
"Burnham Wood Charter School District (71801)","2020-09-20","El Paso",1263,498,0,0,0,1,0,0,1,0,1,0,1,0,1,1
"Triumph Public High Schools-El Paso (71803)","2020-09-20","El Paso",180,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Academy (71804)","2020-09-20","El Paso",326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Acad (El Paso) (71806)","2020-09-20","El Paso",4150,657,0,2,1,4,2,5,0,2,6,6,16,4,26,0
"La Fe Preparatory School (71807)","2020-09-20","El Paso",178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vista Del Futuro Charter School (71809)","2020-09-20","El Paso",248,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Leadership Academy (71810)","2020-09-20","El Paso",208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clint ISD (71901)","2020-09-20","El Paso,Hudspeth",10687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso ISD (71902)","2020-09-20","El Paso",46907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabens ISD (71903)","2020-09-20","El Paso",2031,429,0,0,0,3,0,0,3,0,0,1,17,0,4,14
"San Elizario ISD (71904)","2020-09-20","El Paso",3215,66,0,0,0,6,0,6,0,0,0,0,19,0,9,10
"Ysleta ISD (71905)","2020-09-20","El Paso",38542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony ISD (71906)","2020-09-20","El Paso",796,397,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,1
"Canutillo ISD (71907)","2020-09-20","El Paso",6007,973,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Tornillo ISD (71908)","2020-09-20","El Paso,Hudspeth",914,371,0,0,0,2,0,2,0,1,1,0,8,0,8,2
"Socorro ISD (71909)","2020-09-20","El Paso",47070,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premier High Schools (72801)","2020-09-20","Erath",6363,480,0,0,2,4,4,0,2,0,0,11,12,7,9,7
"Erath Excels Academy Inc (72802)","2020-09-20","Erath",91,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Way ISD (72901)","2020-09-20","Erath,Hood,Somervell",215,210,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,2,5
"Dublin ISD (72902)","2020-09-20","Comanche,Erath",1080,938,0,0,4,1,0,5,0,0,2,22,8,0,32,0
"Stephenville ISD (72903)","2020-09-20","Erath",3698,3216,1,2,9,4,0,5,11,12,9,41,20,0,21,61
