Date,ZIP,Doses_Administered,At_Least_One_Dose,Fully_Vaccinated
2021-03-01,75688,51,41,10
2021-03-01,75689,9,7,NA
2021-03-01,75691,707,441,266
2021-03-01,75692,275,210,65
2021-03-01,75693,1052,716,336
2021-03-01,75694,32,25,7
2021-03-01,75701,7244,4698,2546
2021-03-01,75702,2350,1625,725
2021-03-01,75703,13308,8457,4851
2021-03-01,75704,1259,884,375
2021-03-01,75705,308,226,82
2021-03-01,75706,855,584,271
2021-03-01,75707,4029,2584,1445
2021-03-01,75708,719,515,204
2021-03-01,75709,1291,833,458
2021-03-01,75710,43,28,15
2021-03-01,75711,230,137,93
2021-03-01,75712,61,36,25
2021-03-01,75713,200,124,76
2021-03-01,75750,554,379,175
2021-03-01,75751,2635,1844,791
2021-03-01,75752,1102,786,316
2021-03-01,75754,767,544,223
2021-03-01,75755,596,410,186
2021-03-01,75756,490,340,150
2021-03-01,75757,2738,1821,917
2021-03-01,75758,1812,1234,578
2021-03-01,75759,NA,NA,NA
2021-03-01,75760,321,193,128
2021-03-01,75762,2677,1784,893
2021-03-01,75763,723,508,215
2021-03-01,75764,31,20,11
2021-03-01,75765,1705,1217,488
2021-03-01,75766,3233,2094,1139
2021-03-01,75770,495,340,155
2021-03-01,75771,4420,2998,1422
2021-03-01,75772,22,13,9
2021-03-01,75773,2040,1387,653
2021-03-01,75778,442,314,128
2021-03-01,75779,51,32,19
2021-03-01,75780,16,12,NA
2021-03-01,75782,18,15,NA
2021-03-01,75783,1020,677,343
2021-03-01,75784,84,58,26
2021-03-01,75785,1936,1201,735
2021-03-01,75788,9,6,NA
2021-03-01,75789,1095,724,371
2021-03-01,75790,690,486,204
2021-03-01,75791,2623,1677,946
2021-03-01,75792,545,382,163
2021-03-01,75797,NA,NA,NA
2021-03-01,75798,NA,NA,NA
2021-03-01,75799,8,NA,NA
2021-03-01,75801,1820,1143,677
2021-03-01,75802,151,99,52
2021-03-01,75803,1623,1018,605
2021-03-01,75831,516,362,154
2021-03-01,75832,23,13,10
2021-03-01,75833,386,282,104
2021-03-01,75835,1623,1015,608
2021-03-01,75838,53,36,17
2021-03-01,75839,461,291,170
2021-03-01,75840,851,543,308
2021-03-01,75844,712,433,279
2021-03-01,75845,517,295,222
2021-03-01,75846,315,227,88
2021-03-01,75847,213,141,72
2021-03-01,75848,23,15,8
2021-03-01,75849,36,24,12
2021-03-01,75850,77,52,25
2021-03-01,75851,273,190,83
2021-03-01,75852,208,143,65
2021-03-01,75853,100,64,36
2021-03-01,75855,214,144,70
2021-03-01,75856,40,27,13
2021-03-01,75858,23,17,6
2021-03-01,75859,474,332,142
2021-03-01,75860,557,369,188
2021-03-01,75861,195,124,71
2021-03-01,75862,2683,1508,1175
2021-03-01,75865,17,12,NA
2021-03-01,75880,8,NA,NA
2021-03-01,75882,NA,NA,NA
2021-03-01,75884,NA,NA,NA
2021-03-01,75886,NA,NA,NA
2021-03-01,75901,5400,3607,1793
2021-03-01,75902,81,56,25
2021-03-01,75903,37,26,11
2021-03-01,75904,6715,4466,2249
2021-03-01,75915,235,135,100
2021-03-01,75925,614,405,209
2021-03-01,75926,195,117,78
2021-03-01,75928,218,169,49
2021-03-01,75929,352,247,105
2021-03-01,75930,215,152,63
2021-03-01,75931,802,533,269
2021-03-01,75932,305,193,112
2021-03-01,75933,251,169,82
2021-03-01,75934,23,17,6
2021-03-01,75935,1425,878,547
2021-03-01,75936,180,139,41
2021-03-01,75937,166,106,60
2021-03-01,75938,488,328,160
2021-03-01,75939,656,511,145
2021-03-01,75941,1181,804,377
2021-03-01,75942,72,47,25
2021-03-01,75943,255,150,105
2021-03-01,75944,242,162,80
2021-03-01,75946,555,332,223
2021-03-01,75948,1686,1025,661
2021-03-01,75949,1047,667,380
2021-03-01,75951,3719,2484,1235
2021-03-01,75954,192,123,69
2021-03-01,75956,1343,917,426
2021-03-01,75958,32,18,14
2021-03-01,75959,224,130,94
2021-03-01,75960,156,116,40
2021-03-01,75961,2470,1507,963
2021-03-01,75962,15,8,7
2021-03-01,75963,243,139,104
2021-03-01,75964,3011,1804,1207
2021-03-01,75965,4739,2647,2092
2021-03-01,75966,1027,690,337
2021-03-01,75968,254,160,94
2021-03-01,75969,751,548,203
2021-03-01,75972,1441,1025,416
2021-03-01,75973,325,212,113
2021-03-01,75974,240,160,80
2021-03-01,75975,344,214,130
2021-03-01,75976,211,132,79
2021-03-01,75977,139,94,45
