"Date","TSA","TSA_Name","TSA_Combined","Population_DSHS","Ventilators_Available","Hospitalizations_Total","Hospitalizations_General","Hospitalizations_ICU","Beds_Available_Total","Beds_Occupied_Total","Beds_Occupied_ICU"
2020-04-17,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,350,18,231
2020-04-17,"D","Abilene","D - Abilene",306972,NA,8,6,2,453,26,258
2020-04-17,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,476,255,221,5670,745,9124
2020-04-17,"F","Paris","F - Paris",273329,NA,12,5,7,NA,31,481
2020-04-17,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,43,26,17,736,103,995
2020-04-17,"H","Lufkin","H - Lufkin",272151,NA,24,19,5,242,26,185
2020-04-17,"I","El Paso","I - El Paso",881765,NA,28,12,16,696,79,632
2020-04-17,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,15,6,9,637,38,666
2020-04-17,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,302,22,235
2020-04-17,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,15,9,6,668,77,471
2020-04-17,"M","Waco","M - Waco",330048,NA,4,2,2,289,21,210
2020-04-17,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,21,15,6,296,25,227
2020-04-17,"O","Austin","O - Austin",2375407,NA,36,23,13,1271,169,1001
2020-04-17,"P","San Antonio","P - San Antonio",2945792,NA,47,32,15,2032,345,3120
2020-04-17,"Q","Houston","Q - Houston",6688587,NA,500,239,261,3938,387,7284
2020-04-17,"R","Galveston","R - Galveston",1309237,NA,104,63,41,605,52,996
2020-04-17,"S","Victoria","S - Victoria",186672,NA,17,14,3,293,37,258
2020-04-17,"T","Laredo","T - Laredo",295669,NA,31,16,15,113,19,253
2020-04-17,"U","Corpus Christi","U - Corpus Christi",630897,NA,11,6,5,360,28,798
2020-04-17,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,68,44,24,853,97,1361
2020-04-18,"A","Amarillo","A - Amarillo",440127,NA,18,13,5,638,83,545
2020-04-18,"B","Lubbock","B - Lubbock",513580,NA,35,19,16,580,95,782
2020-04-18,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,354,18,221
2020-04-18,"D","Abilene","D - Abilene",306972,NA,3,2,1,444,20,240
2020-04-18,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,428,238,190,5004,655,8961
2020-04-18,"F","Paris","F - Paris",273329,NA,12,4,8,NA,25,470
2020-04-18,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,36,22,14,665,80,1067
2020-04-18,"H","Lufkin","H - Lufkin",272151,NA,37,22,15,281,18,226
2020-04-18,"I","El Paso","I - El Paso",881765,NA,33,15,18,720,89,993
2020-04-18,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,12,4,8,616,43,681
2020-04-18,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,297,22,226
2020-04-18,"L","Belton/Killeen","L - Belton/Killeen",507311,NA,15,10,5,720,56,455
2020-04-18,"M","Waco","M - Waco",330048,NA,4,2,2,388,21,291
2020-04-18,"N","Bryan/College Station","N - Bryan/College Station",360335,NA,13,7,6,281,22,138
2020-04-18,"O","Austin","O - Austin",2375407,NA,29,19,10,1369,173,1011
2020-04-18,"P","San Antonio","P - San Antonio",2945792,NA,52,33,19,2159,310,3467
2020-04-18,"Q","Houston","Q - Houston",6688587,NA,363,184,179,4155,385,6831
2020-04-18,"R","Galveston","R - Galveston",1309237,NA,111,67,44,644,55,1059
2020-04-18,"S","Victoria","S - Victoria",186672,NA,19,16,3,292,36,255
2020-04-18,"T","Laredo","T - Laredo",295669,NA,31,15,16,107,17,245
2020-04-18,"U","Corpus Christi","U - Corpus Christi",630897,NA,13,9,4,383,28,815
2020-04-18,"V","Lower Rio Grande Valley","V - Lower Rio Grande Valley",1385112,NA,57,37,20,751,88,1354
2020-04-19,"A","Amarillo","A - Amarillo",440127,NA,35,25,10,548,57,535
2020-04-19,"B","Lubbock","B - Lubbock",513580,NA,32,14,18,579,73,807
2020-04-19,"C","Wichita Falls","C - Wichita Falls",219793,NA,0,0,0,368,23,231
2020-04-19,"D","Abilene","D - Abilene",306972,NA,10,8,2,450,23,216
2020-04-19,"E","Dallas/Ft. Worth","E - Dallas/Ft. Worth",8080080,NA,435,239,196,5703,765,8364
2020-04-19,"F","Paris","F - Paris",273329,NA,17,8,9,NA,33,467
2020-04-19,"G","Longview/Tyler","G - Longview/Tyler",968611,NA,42,26,16,589,64,1013
2020-04-19,"H","Lufkin","H - Lufkin",272151,NA,27,17,10,279,21,205
2020-04-19,"I","El Paso","I - El Paso",881765,NA,24,10,14,714,85,641
2020-04-19,"J","Midland/Odessa","J - Midland/Odessa",526736,NA,10,6,4,615,51,643
2020-04-19,"K","San Angelo","K - San Angelo",179457,NA,0,0,0,285,15,213
