Date,TSA,Variant,Cases,Case_Ratio
2021-06-21,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-06-21,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-06-21,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-06-23,H - Lufkin,B.1.1.7 ALPHA (UK),11,1.1
2021-06-23,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-06-23,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-06-23,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-07-01,H - Lufkin,B.1.1.7 ALPHA (UK),11,1
2021-07-01,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-07-01,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-07-01,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-07-08,H - Lufkin,B.1.1.7 ALPHA (UK),11,1
2021-07-08,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-07-08,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-07-08,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-07-14,H - Lufkin,B.1.1.7 ALPHA (UK),11,1
2021-07-14,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-07-14,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-07-14,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-07-21,H - Lufkin,B.1.1.7 ALPHA (UK),11,1
2021-07-21,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-07-21,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-07-21,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-07-29,H - Lufkin,B.1.1.7 ALPHA (UK),11,1
2021-07-29,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-07-29,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-07-29,H - Lufkin,P.1 GAMMA (Brazil),0,NA
2021-08-06,H - Lufkin,B.1.1.7 ALPHA (UK),10,0.9090909090909091
2021-08-06,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-08-06,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-08-06,H - Lufkin,P.1 GAMMA (Brazil),1,NA
2021-08-11,H - Lufkin,B.1.1.7 ALPHA (UK),10,1
2021-08-11,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-08-11,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-08-11,H - Lufkin,P.1 GAMMA (Brazil),0,0
2021-08-18,H - Lufkin,B.1.1.7 ALPHA (UK),10,1
2021-08-18,H - Lufkin,B.1.351 BETA (South Africa),0,NA
2021-08-18,H - Lufkin,B.1.617.2 DELTA (India),0,NA
2021-08-18,H - Lufkin,P.1 GAMMA (Brazil),1,NA
2021-06-21,I - El Paso,B.1.1.7 ALPHA (UK),43,NA
2021-06-21,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-06-21,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-06-21,I - El Paso,P.1 GAMMA (Brazil),1,NA
2021-06-23,I - El Paso,B.1.1.7 ALPHA (UK),53,1.2325581395348837
2021-06-23,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-06-23,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-06-23,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-07-01,I - El Paso,B.1.1.7 ALPHA (UK),55,1.0377358490566038
2021-07-01,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-07-01,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-07-01,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-07-08,I - El Paso,B.1.1.7 ALPHA (UK),55,1
2021-07-08,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-07-08,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-07-08,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-07-14,I - El Paso,B.1.1.7 ALPHA (UK),55,1
2021-07-14,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-07-14,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-07-14,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-07-21,I - El Paso,B.1.1.7 ALPHA (UK),55,1
2021-07-21,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-07-21,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-07-21,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-07-29,I - El Paso,B.1.1.7 ALPHA (UK),55,1
2021-07-29,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-07-29,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-07-29,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-08-06,I - El Paso,B.1.1.7 ALPHA (UK),52,0.9454545454545454
2021-08-06,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-08-06,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-08-06,I - El Paso,P.1 GAMMA (Brazil),1,1
2021-08-11,I - El Paso,B.1.1.7 ALPHA (UK),52,1
2021-08-11,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-08-11,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-08-11,I - El Paso,P.1 GAMMA (Brazil),0,0
2021-08-18,I - El Paso,B.1.1.7 ALPHA (UK),52,1
2021-08-18,I - El Paso,B.1.351 BETA (South Africa),0,NA
2021-08-18,I - El Paso,B.1.617.2 DELTA (India),0,NA
2021-08-18,I - El Paso,P.1 GAMMA (Brazil),1,NA
2021-06-21,J - Midland/Odessa,B.1.1.7 ALPHA (UK),13,NA
2021-06-21,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-06-21,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-06-21,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-06-23,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1.1538461538461537
2021-06-23,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-06-23,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-06-23,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-07-01,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1
2021-07-01,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-07-01,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-07-01,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-07-08,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1
2021-07-08,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-07-08,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-07-08,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-07-14,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1
2021-07-14,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-07-14,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-07-14,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-07-21,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1
2021-07-21,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-07-21,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-07-21,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-07-29,J - Midland/Odessa,B.1.1.7 ALPHA (UK),15,1
2021-07-29,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-07-29,J - Midland/Odessa,B.1.617.2 DELTA (India),0,NA
2021-07-29,J - Midland/Odessa,P.1 GAMMA (Brazil),0,NA
2021-08-06,J - Midland/Odessa,B.1.1.7 ALPHA (UK),13,0.8666666666666667
2021-08-06,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-08-06,J - Midland/Odessa,B.1.617.2 DELTA (India),1,NA
2021-08-06,J - Midland/Odessa,P.1 GAMMA (Brazil),1,NA
2021-08-11,J - Midland/Odessa,B.1.1.7 ALPHA (UK),13,1
2021-08-11,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-08-11,J - Midland/Odessa,B.1.617.2 DELTA (India),1,1
2021-08-11,J - Midland/Odessa,P.1 GAMMA (Brazil),0,0
2021-08-18,J - Midland/Odessa,B.1.1.7 ALPHA (UK),13,1
2021-08-18,J - Midland/Odessa,B.1.351 BETA (South Africa),0,NA
2021-08-18,J - Midland/Odessa,B.1.617.2 DELTA (India),1,1
2021-08-18,J - Midland/Odessa,P.1 GAMMA (Brazil),1,NA
2021-06-23,K - San Angelo,B.1.1.7 ALPHA (UK),1,NA
2021-06-23,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-06-23,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-06-23,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-07-01,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-07-01,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-07-01,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-07-01,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-07-08,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-07-08,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-07-08,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-07-08,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-07-14,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-07-14,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-07-14,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-07-14,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-07-21,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-07-21,K - San Angelo,B.1.351 BETA (South Africa),0,NA
2021-07-21,K - San Angelo,B.1.617.2 DELTA (India),0,NA
2021-07-21,K - San Angelo,P.1 GAMMA (Brazil),0,NA
2021-07-29,K - San Angelo,B.1.1.7 ALPHA (UK),1,1
2021-07-29,K - San Angelo,B.1.351 BETA (South Africa),0,NA
