"Level","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"Grimes",2020-06-22,2,4.57142857142857,NA,NA,0,0,1
"Grimes",2020-06-23,9,4.85714285714286,NA,NA,0,0,1
"Grimes",2020-06-24,0,4,NA,NA,0,0,1
"Grimes",2020-06-25,10,4.85714285714286,NA,NA,0,0,1
"Grimes",2020-06-26,16,7.14285714285714,NA,NA,0,0,1
"Grimes",2020-06-27,3,7.42857142857143,NA,NA,0,0,1
"Grimes",2020-06-28,3,6.14285714285714,NA,NA,0,0,1
"Grimes",2020-06-29,11,7.42857142857143,NA,NA,0,0,1
"Grimes",2020-06-30,158,28.7142857142857,NA,NA,0,0,1
"Grimes",2020-07-01,26,32.4285714285714,NA,NA,0,0,1
"Grimes",2020-07-02,NA,32.4285714285714,29.4654653616111,35.3916774955318,0,0,1
"Grimes",2020-07-03,NA,32.4285714285714,28.2381066419261,36.6190362152167,0,0,1
"Grimes",2020-07-04,NA,32.4285714285714,27.2963211723805,37.5608216847623,0,0,1
"Grimes",2020-07-05,NA,32.4285714285714,26.5023592946508,38.3547835624921,0,0,1
"Grimes",2020-07-06,NA,32.4285714285714,25.8028648383061,39.0542780188368,0,0,1
"Grimes",2020-07-07,NA,32.4285714285714,25.1704735107735,39.6866693463694,0,0,1
"Grimes",2020-07-08,NA,32.4285714285714,24.5889296670877,40.2682131900552,0,0,1
"Grimes",2020-07-09,NA,32.4285714285714,24.0476418552808,40.809501001862,0,0,1
"Grimes",2020-07-10,NA,32.4285714285714,23.5392532276904,41.3178896294524,0,0,1
"Grimes",2020-07-11,NA,32.4285714285714,23.0584073083134,41.7987355488295,0,0,1
"Guadalupe",2020-03-04,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-05,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-06,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-07,NA,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-08,NA,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-09,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-10,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-11,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-12,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-13,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-14,NA,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-15,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-16,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-17,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-18,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-19,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-20,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-21,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-22,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-23,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-24,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-25,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-26,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-27,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-28,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-29,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-30,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-03-31,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-01,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-02,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-03,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-04,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-05,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-06,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-07,11,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-08,6,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-09,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-10,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-11,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-12,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-13,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-14,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-15,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-16,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-17,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-18,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-19,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-20,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-21,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-22,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-23,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-24,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-25,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-26,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-27,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-28,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-29,11,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-04-30,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-01,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-02,4,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-03,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-04,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-05,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-06,1,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-07,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-08,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-09,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-10,3,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-11,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-12,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-13,0,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-14,2,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-15,5,NA,NA,NA,NA,NA,NA
"Guadalupe",2020-05-16,3,NA,NA,NA,NA,NA,NA
