Plant,Date,Viral_Load_PCT,p_value,Trend,Date_First,Date_Last,v1_est,v2_est,Viral_Copies_Log
INTERCONTINENTAL AIRPORT,2020-08-03,40,,-0.45,2020-08-03,2020-08-05,,,10.7720633462383
FOREST COVE,2020-08-03,48,,-0.56,2020-08-03,2020-08-05,,,10.0110578987431
NORTHWEST,2020-08-03,45,,-0.68,2020-08-03,2020-08-05,,,11.908084502743
NORTHBELT,2020-08-03,35,,-0.77,2020-08-03,2020-08-05,,,11.053283864486
NORTHGATE,2020-08-03,33,,-0.89,2020-08-03,2020-08-05,,,11.3232129281602
69TH STREET,2020-08-03,51,,-0.41,2020-08-03,2020-08-05,,,12.4255519924655
PARK TEN,2020-08-03,61,,-0.51,2020-08-03,2020-08-05,,,10.606973228053
SAGEMONT,2020-08-03,34,,-1.16,2020-08-03,2020-08-05,,,11.34435866606
SIMS BAYOU,2020-08-03,51,,-0.71,2020-08-03,2020-08-05,,,12.1242949674285
SOUTHWEST,2020-08-03,10,,-1.46,2020-08-03,2020-08-05,,,11.9413335223481
WILLOWBROOK,2020-08-03,127,,-0.23,2020-08-03,2020-08-05,,,10.9697206488807
WHITE OAK,2020-08-03,99,,-0.27,2020-08-03,2020-08-05,,,11.2417123055293
WEST DISTRICT,2020-08-03,20,,-1.15,2020-08-03,2020-08-05,,,11.4139339313752
WESTWAY,2020-08-03,35,,-1.23,2020-08-03,2020-08-05,,,10.1338547516962
METRO CENTRAL,2020-08-03,32,,-0.96,2020-08-03,2020-08-05,,,10.7073166183747
SOUTHEAST,2020-08-03,38,,-0.73,2020-08-03,2020-08-05,,,11.1826766027313
TURKEY CREEK,2020-08-03,76,,-0.39,2020-08-03,2020-08-05,,,11.3967844385262
UPPER BRAYS,2020-08-03,43,,-0.58,2020-08-03,2020-08-05,,,11.5880203618348
BELTWAY,2020-08-03,49,,-0.65,2020-08-03,2020-08-05,,,11.5752549072571
KEEGANS BAYOU,2020-08-03,26,,-1.1,2020-08-03,2020-08-05,,,11.9782458834914
CHOCOLATE BAYOU,2020-08-03,37,,-0.9,2020-08-03,2020-08-05,,,11.260560295462
TIDWELL TIMBERS,2020-08-03,11,,-1.98,2020-08-03,2020-08-05,,,9.7667772654761
HOMESTEAD,2020-08-03,91,,-0.44,2020-08-03,2020-08-05,,,10.9764150692158
NORTHEAST,2020-08-03,73,,-0.45,2020-08-03,2020-08-05,,,11.2452351801715
KINGWOOD CENTRAL,2020-08-03,43,,-0.75,2020-08-03,2020-08-05,,,10.9687763924752
KINGWOOD WEST,2020-08-03,14,,-1.48,2020-08-03,2020-08-05,,,10.1469269745619
MUD203,2020-08-03,33,,-1.06,2020-08-03,2020-08-05,,,10.2374720643484
WCID47,2020-08-03,41,,-1.07,2020-08-03,2020-08-05,,,11.3499331679393
WCID76,2020-08-03,62,,-1,2020-08-03,2020-08-05,,,10.5047917264798
WCID111,2020-08-03,39,,-1.01,2020-08-03,2020-08-05,,,11.3502025338621
FWSD23,2020-08-03,32,,-0.8,2020-08-03,2020-08-05,,,10.9460836701709
WEST LAKE,2020-08-03,,,,2020-08-03,2020-08-05,,,
z.TOTAL,2020-08-03,34,,-0.68,2020-08-03,2020-08-05,,,13.0391128079565
CEDAR BAYOU,2020-08-10,52,,-1.41,2020-08-10,2020-08-12,,,10.3614686876829
CLINTON PARK,2020-08-10,24,,-0.38,2020-08-10,2020-08-12,,,9.87357578486637
EASTHAVEN,2020-08-10,26,,-1.04,2020-08-10,2020-08-12,,,10.7564928703465
ALMEDA SIMS,2020-08-10,45,,-0.65,2020-08-10,2020-08-12,,,11.5635360971889
GREENRIDGE,2020-08-10,47,,-0.66,2020-08-10,2020-08-12,,,11.2087835096739
IMPERIAL VALLEY,2020-08-10,28,,-0.57,2020-08-10,2020-08-12,,,11.0264138178697
INTERCONTINENTAL AIRPORT,2020-08-10,41,,0.05,2020-08-10,2020-08-12,,,10.777017068
FOREST COVE,2020-08-10,47,,-0.15,2020-08-10,2020-08-12,,,9.9963392518585
NORTHWEST,2020-08-10,38,,-0.63,2020-08-10,2020-08-12,,,11.8329900314069
NORTHBELT,2020-08-10,32,,-0.35,2020-08-10,2020-08-12,,,11.0142398860276
NORTHGATE,2020-08-10,29,,-0.56,2020-08-10,2020-08-12,,,11.2598922452801
69TH STREET,2020-08-10,48,,-0.23,2020-08-10,2020-08-12,,,12.3970215415273
PARK TEN,2020-08-10,51,,-0.73,2020-08-10,2020-08-12,,,10.529178355745
SAGEMONT,2020-08-10,26,,-1.13,2020-08-10,2020-08-12,,,11.2166439146552
SIMS BAYOU,2020-08-10,41,,-0.77,2020-08-10,2020-08-12,,,12.031322408603
SOUTHWEST,2020-08-10,9,,-0.67,2020-08-10,2020-08-12,,,11.8610545675225
WILLOWBROOK,2020-08-10,105,,-0.76,2020-08-10,2020-08-12,,,10.8860789694234
WHITE OAK,2020-08-10,86,,-0.53,2020-08-10,2020-08-12,,,11.1818356196832
WEST DISTRICT,2020-08-10,16,,-0.66,2020-08-10,2020-08-12,,,11.338618459633
WESTWAY,2020-08-10,25,,-1.41,2020-08-10,2020-08-12,,,9.99133450549851
METRO CENTRAL,2020-08-10,28,,-0.63,2020-08-10,2020-08-12,,,10.6400694415236
SOUTHEAST,2020-08-10,34,,-0.41,2020-08-10,2020-08-12,,,11.1366035598718
TURKEY CREEK,2020-08-10,66,,-0.52,2020-08-10,2020-08-12,,,11.3372543682013
UPPER BRAYS,2020-08-10,40,,-0.3,2020-08-10,2020-08-12,,,11.5533928485611
BELTWAY,2020-08-10,42,,-0.58,2020-08-10,2020-08-12,,,11.508279844624
KEEGANS BAYOU,2020-08-10,20,,-0.94,2020-08-10,2020-08-12,,,11.8656453007419
CHOCOLATE BAYOU,2020-08-10,30,,-0.73,2020-08-10,2020-08-12,,,11.1779357830222
TIDWELL TIMBERS,2020-08-10,8,,-1.41,2020-08-10,2020-08-12,,,9.62881688042456
HOMESTEAD,2020-08-10,75,,-0.77,2020-08-10,2020-08-12,,,10.8918035843455
NORTHEAST,2020-08-10,66,,-0.44,2020-08-10,2020-08-12,,,11.1960589010962
KINGWOOD CENTRAL,2020-08-10,37,,-0.59,2020-08-10,2020-08-12,,,10.9042711503451
KINGWOOD WEST,2020-08-10,12,,-0.89,2020-08-10,2020-08-12,,,10.0570434194082
MUD203,2020-08-10,26,,-0.91,2020-08-10,2020-08-12,,,10.1442214883388
WCID47,2020-08-10,30,,-1.26,2020-08-10,2020-08-12,,,11.2067387901213
WCID76,2020-08-10,44,,-1.39,2020-08-10,2020-08-12,,,10.3585622501279
WCID111,2020-08-10,30,,-1.01,2020-08-10,2020-08-12,,,11.2349988104365
FWSD23,2020-08-10,28,,-0.5,2020-08-10,2020-08-12,,,10.8911173330261
WEST LAKE,2020-08-10,,,,2020-08-10,2020-08-12,,,
z.TOTAL,2020-08-10,29,,-0.52,2020-08-10,2020-08-12,,,12.9710394604472
CEDAR BAYOU,2020-08-17,34,,-1.73,2020-08-17,2020-08-19,,,10.1817006512099
CLINTON PARK,2020-08-17,24,,0.06,2020-08-17,2020-08-19,,,9.87931096304409
EASTHAVEN,2020-08-17,21,,-0.95,2020-08-17,2020-08-19,,,10.6545152105007
ALMEDA SIMS,2020-08-17,39,,-0.58,2020-08-17,2020-08-19,,,11.4968980522387
GREENRIDGE,2020-08-17,40,,-0.67,2020-08-17,2020-08-19,,,11.1339148588628
IMPERIAL VALLEY,2020-08-17,26,,-0.24,2020-08-17,2020-08-19,,,10.9995644412179
INTERCONTINENTAL AIRPORT,2020-08-17,45,,0.45,2020-08-17,2020-08-19,,,10.8256846343372
FOREST COVE,2020-08-17,49,,0.24,2020-08-17,2020-08-19,,,10.0207860432728
NORTHWEST,2020-08-17,32,,-0.58,2020-08-17,2020-08-19,,,11.7647895010711
NORTHBELT,2020-08-17,32,,0.03,2020-08-17,2020-08-19,,,11.0179105492034
NORTHGATE,2020-08-17,27,,-0.25,2020-08-17,2020-08-19,,,11.2320444435032
69TH STREET,2020-08-17,47,,-0.06,2020-08-17,2020-08-19,,,12.3893131345289
PARK TEN,2020-08-17,41,,-0.88,2020-08-17,2020-08-19,,,10.4360715863785
SAGEMONT,2020-08-17,20,,-0.98,2020-08-17,2020-08-19,,,11.1065976850506
SIMS BAYOU,2020-08-17,33,,-0.76,2020-08-17,2020-08-19,,,11.939807908334
SOUTHWEST,2020-08-17,9,,0.06,2020-08-17,2020-08-19,,,11.8683006813921
WILLOWBROOK,2020-08-17,79,,-1.15,2020-08-17,2020-08-19,,,10.7611870469103
WHITE OAK,2020-08-17,71,,-0.75,2020-08-17,2020-08-19,,,11.0980366554394
WEST DISTRICT,2020-08-17,16,,-0.18,2020-08-17,2020-08-19,,,11.3185138189866
WESTWAY,2020-08-17,18,,-1.47,2020-08-17,2020-08-19,,,9.84401304200964
METRO CENTRAL,2020-08-17,26,,-0.33,2020-08-17,2020-08-19,,,10.6053244006053
SOUTHEAST,2020-08-17,33,,-0.1,2020-08-17,2020-08-19,,,11.1251226987717
TURKEY CREEK,2020-08-17,56,,-0.62,2020-08-17,2020-08-19,,,11.2668680481873
UPPER BRAYS,2020-08-17,39,,-0.04,2020-08-17,2020-08-19,,,11.5489958096763
BELTWAY,2020-08-17,37,,-0.49,2020-08-17,2020-08-19,,,11.4520376851471
KEEGANS BAYOU,2020-08-17,16,,-0.75,2020-08-17,2020-08-19,,,11.776497686007
CHOCOLATE BAYOU,2020-08-17,26,,-0.55,2020-08-17,2020-08-19,,,11.1160978109938
TIDWELL TIMBERS,2020-08-17,6,,-0.87,2020-08-17,2020-08-19,,,9.54534089057107
HOMESTEAD,2020-08-17,58,,-1.03,2020-08-17,2020-08-19,,,10.7797290448406
NORTHEAST,2020-08-17,59,,-0.41,2020-08-17,2020-08-19,,,11.1502473735359
KINGWOOD CENTRAL,2020-08-17,33,,-0.41,2020-08-17,2020-08-19,,,10.8598253180513
KINGWOOD WEST,2020-08-17,11,,-0.28,2020-08-17,2020-08-19,,,10.0285892732253
MUD203,2020-08-17,22,,-0.76,2020-08-17,2020-08-19,,,10.0672655752548
WCID47,2020-08-17,21,,-1.36,2020-08-17,2020-08-19,,,11.0545698960907
WCID76,2020-08-17,30,,-1.66,2020-08-17,2020-08-19,,,10.1863992538145
WCID111,2020-08-17,23,,-0.98,2020-08-17,2020-08-19,,,11.1251904205339
FWSD23,2020-08-17,27,,-0.22,2020-08-17,2020-08-19,,,10.8667173635849
WEST LAKE,2020-08-17,,,,2020-08-17,2020-08-19,,,
z.TOTAL,2020-08-17,26,,-0.34,2020-08-17,2020-08-19,,,12.9264942767518
CEDAR BAYOU,2020-08-24,23,,-1.72,2020-08-24,2020-08-26,,,10.0068751945918
CLINTON PARK,2020-08-24,26,,0.22,2020-08-24,2020-08-26,,,9.90122217230952
EASTHAVEN,2020-08-24,17,,-0.77,2020-08-24,2020-08-26,,,10.5722291400646
ALMEDA SIMS,2020-08-24,35,,-0.41,2020-08-24,2020-08-26,,,11.4499405936258
GREENRIDGE,2020-08-24,34,,-0.57,2020-08-24,2020-08-26,,,11.0699594262395
IMPERIAL VALLEY,2020-08-24,26,,-0.02,2020-08-24,2020-08-26,,,10.9971711139871
INTERCONTINENTAL AIRPORT,2020-08-24,53,,0.61,2020-08-24,2020-08-26,,,10.891930555215
FOREST COVE,2020-08-24,55,,0.48,2020-08-24,2020-08-26,,,10.0687264084079
NORTHWEST,2020-08-24,28,,-0.52,2020-08-24,2020-08-26,,,11.7037500058945
NORTHBELT,2020-08-24,34,,0.28,2020-08-24,2020-08-26,,,11.0485781558012
NORTHGATE,2020-08-24,27,,-0.04,2020-08-24,2020-08-26,,,11.2275712678671
69TH STREET,2020-08-24,48,,0.05,2020-08-24,2020-08-26,,,12.3955248448944
PARK TEN,2020-08-24,33,,-0.88,2020-08-24,2020-08-26,,,10.3440081190194
SAGEMONT,2020-08-24,17,,-0.71,2020-08-24,2020-08-26,,,11.0282895892454
SIMS BAYOU,2020-08-24,28,,-0.64,2020-08-24,2020-08-26,,,11.8634510013341
SOUTHWEST,2020-08-24,10,,0.52,2020-08-24,2020-08-26,,,11.9297673567694
WILLOWBROOK,2020-08-24,59,,-1.2,2020-08-24,2020-08-26,,,10.6321061211037
WHITE OAK,2020-08-24,57,,-0.85,2020-08-24,2020-08-26,,,11.0038327657948
WEST DISTRICT,2020-08-24,16,,0.18,2020-08-24,2020-08-26,,,11.3385749490175
WESTWAY,2020-08-24,13,,-1.31,2020-08-24,2020-08-26,,,9.7145650278881
