"Date","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Group_Type"
2020-06-11,"60-64 years",1211,0.0778527804564449,5,60,0.0903614457831325,0,"Age"
2020-06-11,"65-69 years",876,0.0563162970106075,2,74,0.11144578313253,0,"Age"
2020-06-11,"70-74 years",577,0.0370941819350691,6,69,0.103915662650602,0,"Age"
2020-06-11,"75-79 years",383,0.0246223079395693,0,70,0.105421686746988,0,"Age"
2020-06-11,"80+ years",663,0.0426229508196721,1,265,0.399096385542169,0,"Age"
2020-06-11,"Unknown",123,0.00790742526518804,0,2,0.00301204819277108,0,"Age"
2020-06-12,"<1 year",41,0.00262483994878361,1,0,0,0,"Age"
2020-06-12,"1-9 years",180,0.0115236875800256,2,0,0,0,"Age"
2020-06-12,"10-19 years",470,0.030089628681178,5,2,0.00301204819277108,0,"Age"
2020-06-12,"20-29 years",2434,0.155825864276568,10,11,0.016566265060241,0,"Age"
2020-06-12,"30-39 years",2861,0.183162612035851,2,13,0.019578313253012,0,"Age"
2020-06-12,"40-49 years",2924,0.18719590268886,23,26,0.0391566265060241,0,"Age"
2020-06-12,"50-59 years",2855,0.182778489116517,0,72,0.108433734939759,0,"Age"
2020-06-12,"60-64 years",1216,0.0778489116517286,5,60,0.0903614457831325,0,"Age"
2020-06-12,"65-69 years",882,0.0564660691421255,6,74,0.11144578313253,0,"Age"
2020-06-12,"70-74 years",584,0.0373879641485275,7,69,0.103915662650602,0,"Age"
2020-06-12,"75-79 years",387,0.0247759282970551,4,70,0.105421686746988,0,"Age"
2020-06-12,"80+ years",663,0.0424455825864277,0,265,0.399096385542169,0,"Age"
2020-06-12,"Unknown",123,0.00787451984635083,0,2,0.00301204819277108,0,"Age"
2020-06-15,"<1 year",41,0.00261446244101518,0,0,0,0,"Age"
2020-06-15,"1-9 years",180,0.0114781277898227,0,0,0,0,"Age"
2020-06-15,"10-19 years",471,0.0300344343833695,1,2,0.00301204819277108,0,"Age"
2020-06-15,"20-29 years",2436,0.155337329422268,2,11,0.016566265060241,0,"Age"
2020-06-15,"30-39 years",2869,0.182948603494452,8,13,0.019578313253012,0,"Age"
2020-06-15,"40-49 years",2931,0.18690218084428,7,26,0.0391566265060241,0,"Age"
2020-06-15,"50-59 years",2873,0.183203673000893,18,72,0.108433734939759,0,"Age"
2020-06-15,"60-64 years",1224,0.0780512689707945,8,60,0.0903614457831325,0,"Age"
2020-06-15,"65-69 years",887,0.056561663053182,5,74,0.11144578313253,0,"Age"
2020-06-15,"70-74 years",592,0.0377502869531947,8,69,0.103915662650602,0,"Age"
2020-06-15,"75-79 years",391,0.0249330442545594,4,70,0.105421686746988,0,"Age"
2020-06-15,"80+ years",664,0.0423415380691238,1,265,0.399096385542169,0,"Age"
2020-06-15,"Unknown",123,0.00784338732304553,0,2,0.00301204819277108,0,"Age"
2020-06-16,"<1 year",41,0.00261296284494296,0,0,0,0,"Age"
2020-06-16,"1-9 years",180,0.0114715441973106,0,0,0,0,"Age"
2020-06-16,"10-19 years",471,0.030017207316296,0,2,0.00301204819277108,0,"Age"
2020-06-16,"20-29 years",2436,0.15524823147027,0,11,0.016566265060241,0,"Age"
2020-06-16,"30-39 years",2869,0.182843668344911,0,13,0.019578313253012,0,"Age"
2020-06-16,"40-49 years",2935,0.187049901217258,4,26,0.0391566265060241,0,"Age"
2020-06-16,"50-59 years",2873,0.183098591549296,0,72,0.108433734939759,0,"Age"
2020-06-16,"60-64 years",1226,0.0781339621439042,2,60,0.0903614457831325,0,"Age"
2020-06-16,"65-69 years",887,0.0565292205723026,0,74,0.11144578313253,0,"Age"
2020-06-16,"70-74 years",593,0.0377923650500287,1,69,0.103915662650602,0,"Age"
2020-06-16,"75-79 years",392,0.0249824740296986,1,70,0.105421686746988,0,"Age"
2020-06-16,"80+ years",665,0.0423809827289529,1,265,0.399096385542169,0,"Age"
2020-06-16,"Unknown",123,0.00783888853482888,0,2,0.00301204819277108,0,"Age"
2020-06-17,"<1 year",70,0.00381554562302409,29,0,0,0,"Age"
2020-06-17,"1-9 years",295,0.0160797994113158,115,0,0,0,"Age"
2020-06-17,"10-19 years",761,0.0414804317017334,290,2,0.00301204819277108,0,"Age"
2020-06-17,"20-29 years",2986,0.162760274719285,550,11,0.016566265060241,0,"Age"
2020-06-17,"30-39 years",3374,0.183909299029761,505,13,0.019578313253012,0,"Age"
2020-06-17,"40-49 years",3355,0.182873650932083,420,26,0.0391566265060241,0,"Age"
2020-06-17,"50-59 years",3244,0.176823285729859,371,72,0.108433734939759,0,"Age"
2020-06-17,"60-64 years",1303,0.0710236563828627,77,60,0.0903614457831325,0,"Age"
2020-06-17,"65-69 years",971,0.0529270685708056,84,74,0.11144578313253,0,"Age"
2020-06-17,"70-74 years",609,0.0331952469203096,16,69,0.103915662650602,0,"Age"
2020-06-17,"75-79 years",461,0.0251280933173444,69,70,0.105421686746988,0,"Age"
