"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Cases_Daily","Cases_Daily_NO_NEGATIVE","Deaths_Cumulative","Deaths_PCT","Deaths_Daily","Deaths_Daily_NO_NEGATIVE"
2020-06-08,"Race","Black",2413,0.159063941990771,0,0,85,0.128012048192771,0,0
2020-06-08,"Race","Hispanic",6034,0.3977587343441,0,0,171,0.257530120481928,0,0
2020-06-08,"Race","Other",97,0.00639419907712591,0,0,5,0.00753012048192771,0,0
2020-06-08,"Race","Unknown",1949,0.12847725774555,0,0,121,0.182228915662651,0,0
2020-06-08,"Race","White",4174,0.275148319050758,0,0,269,0.405120481927711,0,0
2020-06-09,"Age","1-9 years",174,0.0114700065919578,0,0,0,0,0,0
2020-06-09,"Age","10-19 years",452,0.0297956493078444,0,0,2,0.00301204819277108,0,0
2020-06-09,"Age","20-29 years",2333,0.153790375741595,0,0,11,0.016566265060241,0,0
2020-06-09,"Age","30-39 years",2784,0.183520105471325,0,0,13,0.019578313253012,0,0
2020-06-09,"Age","40-49 years",2835,0.186882003955175,0,0,26,0.0391566265060241,0,0
2020-06-09,"Age","50-59 years",2801,0.184640738299275,0,0,72,0.108433734939759,0,0
2020-06-09,"Age","60-64 years",1181,0.0778510217534608,0,0,60,0.0903614457831325,0,0
2020-06-09,"Age","65-69 years",861,0.0567567567567568,0,0,74,0.11144578313253,0,0
2020-06-09,"Age","70-74 years",559,0.0368490441661173,0,0,69,0.103915662650602,0,0
2020-06-09,"Age","75-79 years",374,0.0246539222148978,0,0,70,0.105421686746988,0,0
2020-06-09,"Age","80+ years",655,0.0431773236651285,0,0,265,0.399096385542169,0,0
2020-06-09,"Age","<1 year",38,0.0025049439683586,0,0,0,0,0,0
2020-06-09,"Age","Unknown",123,0.00810810810810811,0,0,2,0.00301204819277108,0,0
2020-06-09,"Gender","Female",6778,0.446802900461437,0,0,272,0.409638554216867,0,0
2020-06-09,"Gender","Male",8108,0.534475939353988,0,0,364,0.548192771084337,0,0
2020-06-09,"Gender","Unknown",284,0.0187211601845748,0,0,28,0.0421686746987952,0,0
2020-06-09,"Race","Asian",503,0.0331575477916941,0,0,13,0.019578313253012,0,0
2020-06-09,"Race","Black",2413,0.159063941990771,0,0,85,0.128012048192771,0,0
2020-06-09,"Race","Hispanic",6034,0.3977587343441,0,0,171,0.257530120481928,0,0
