Date,County,Location_ID,sample_location,key_plot_id,ptc_15d,detect_prop_15d,percentile
2021-10-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,25,100,
2021-10-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-81,100,
2021-10-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-97,100,
2021-10-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-59,100,
2021-10-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,482,100,
2021-10-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-28,100,
2021-10-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-91,100,
2021-10-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,207,100,
2021-10-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-10-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-10-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-10-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-10-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-10-31,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,10539,100,
2021-11-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,665,100,
2021-11-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-04,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-05,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-06,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-07,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-45,100,
2021-11-08,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-76,100,
2021-11-09,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-10,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-11,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-12,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-13,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-14,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-89,100,
2021-11-15,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-81,100,
2021-11-16,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-17,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-18,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-19,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-20,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-21,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,-64,100,
2021-11-22,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,151,100,34
2021-11-23,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-24,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-25,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-26,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-27,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-28,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,1664,100,34
2021-11-29,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,688,100,39
2021-11-30,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
2021-12-01,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
2021-12-02,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
2021-12-03,Harris,201,Treatment plant,NWSS_tx_201_Treatment plant_raw wastewater,252,100,39
