County,Date,viral_load,source
El Paso,2023-06-28,53.43432909757615,biobot
El Paso,2023-07-05,37.06515667254305,biobot
El Paso,2023-07-12,52.48213336053642,biobot
El Paso,2023-07-19,44.79010565807285,biobot
El Paso,2023-07-26,62.67781953344371,biobot
El Paso,2023-08-02,101.00027613603974,biobot
El Paso,2023-08-09,109.04296850109536,biobot
El Paso,2023-08-16,144.38858438314702,biobot
El Paso,2023-08-23,114.1748505214159,biobot
El Paso,2023-08-30,123.75926290799602,biobot
Galveston,2022-08-31,1871.62801808,biobot
Galveston,2022-09-07,327.41509612,biobot
Galveston,2022-09-14,423.97205813,biobot
Galveston,2022-09-28,182.70525665,biobot
Galveston,2022-10-05,205.38396411,biobot
Galveston,2022-10-12,191.714263425,biobot
Galveston,2022-10-19,96.11095138,biobot
Galveston,2022-10-26,55.72872154,biobot
Galveston,2022-11-02,131.925669785,biobot
Galveston,2022-11-09,71.08807003666665,biobot
Galveston,2022-11-16,152.56565513,biobot
Galveston,2022-11-30,403.47137341,biobot
Galveston,2022-12-07,302.56160263,biobot
Galveston,2022-12-14,386.847673135,biobot
Galveston,2022-12-21,283.20257995,biobot
Galveston,2022-12-28,427.15192044,biobot
Galveston,2023-01-04,463.48331664500006,biobot
Galveston,2023-01-11,302.85208806500003,biobot
Galveston,2023-01-18,148.270718125,biobot
Galveston,2023-01-25,279.048524525,biobot
Galveston,2023-02-01,307.17406005500004,biobot
Galveston,2023-02-08,459.731858505,biobot
Galveston,2023-02-15,159.15866494,biobot
Galveston,2023-02-22,183.48600781,biobot
Galveston,2023-03-01,195.34717636,biobot
Galveston,2023-03-08,93.004502695,biobot
Galveston,2023-03-15,130.290530575,biobot
Galveston,2023-03-22,185.0744711,biobot
Galveston,2023-03-29,175.460196925,biobot
Galveston,2023-04-05,66.927160105,biobot
Galveston,2023-04-12,53.59271952000001,biobot
Galveston,2023-04-19,57.884171655,biobot
Galveston,2023-04-26,121.32296012000002,biobot
Galveston,2023-05-03,101.364748605,biobot
Galveston,2023-05-10,195.959485225,biobot
Galveston,2023-05-17,99.9835774,biobot
Galveston,2023-05-24,236.05661553,biobot
Galveston,2023-05-31,67.704766975,biobot
Galveston,2023-06-07,58.88279158000001,biobot
Galveston,2023-06-14,20.52167242,biobot
Galveston,2023-06-21,58.43395300499999,biobot
Galveston,2023-06-28,83.782117015,biobot
Galveston,2023-07-05,50.10095772,biobot
Galveston,2023-07-12,81.15310976,biobot
Galveston,2023-07-19,93.2218777,biobot
Galveston,2023-07-26,162.46658351999997,biobot
Galveston,2023-08-02,181.0042914805,biobot
Galveston,2023-08-09,236.145707562,biobot
Galveston,2023-08-16,509.346655725,biobot
Galveston,2023-08-23,267.3375059615,biobot
Galveston,2023-08-30,325.74369540000004,biobot
Kaufman,2021-06-09,14.791300675,biobot
Kaufman,2021-06-16,29.39020375,biobot
Kaufman,2021-06-23,64.225403805,biobot
Kaufman,2021-06-30,18.18867849,biobot
Kaufman,2021-07-07,40.48265415,biobot
Kaufman,2021-07-14,32.568649845,biobot
Kaufman,2021-07-21,147.02999369999998,biobot
Kaufman,2021-07-28,893.347202925,biobot
Kaufman,2021-08-04,347.2384674,biobot
Kaufman,2021-08-11,343.35855669499995,biobot
Kaufman,2021-08-18,558.1552439699999,biobot
Kaufman,2022-01-19,,biobot
Kaufman,2022-01-26,291.97089838000005,biobot
Kaufman,2022-02-02,259.28601767,biobot
Kaufman,2022-02-09,103.60323589,biobot
Kaufman,2022-02-16,90.02762892,biobot
Kaufman,2022-02-23,28.1967344,biobot
Kaufman,2022-03-02,14.36230852,biobot
Kaufman,2022-03-09,16.76962082,biobot
Kaufman,2022-03-23,13.536111975,biobot
Kaufman,2022-04-06,22.27608794,biobot
Kaufman,2022-04-13,18.52242163,biobot
Kaufman,2022-04-20,29.68237053,biobot
Kaufman,2022-04-27,51.40561189,biobot
Kaufman,2022-05-04,75.28150473,biobot
Kaufman,2022-05-11,66.67388195,biobot
Kaufman,2022-05-18,233.72872572,biobot
Kaufman,2022-06-08,230.38703217,biobot
Kaufman,2022-07-13,468.41813189,biobot
Kaufman,2022-07-20,751.97593684,biobot
Kaufman,2022-07-27,454.3397561,biobot
Kaufman,2022-08-03,488.66349302,biobot
Kaufman,2022-08-10,332.3710553,biobot
Kaufman,2022-08-17,290.06078658,biobot
Kaufman,2022-08-24,340.6168588,biobot
Kaufman,2022-09-07,312.12773607,biobot
Kaufman,2022-09-21,101.51895215,biobot
Kaufman,2022-09-28,133.86774573,biobot
Kaufman,2022-10-12,235.24342301,biobot
Kaufman,2022-10-19,74.65814234000001,biobot
Kaufman,2022-10-26,186.20045065,biobot
Kaufman,2022-11-02,268.04815743999995,biobot
Kaufman,2022-11-09,128.54846425,biobot
Kaufman,2022-11-16,311.97975726,biobot
Kaufman,2022-11-23,559.5483527,biobot
Kaufman,2022-11-30,557.95694174,biobot
Kaufman,2022-12-07,468.31736812,biobot
Kaufman,2022-12-21,800.55781904,biobot
Kaufman,2022-12-28,527.53064623,biobot
Kaufman,2023-01-04,246.78306979,biobot
Kaufman,2023-01-11,397.49360885,biobot
Kaufman,2023-01-18,277.06545706,biobot
Kaufman,2023-01-25,338.14961238,biobot
Kaufman,2023-02-01,319.12622371,biobot
Kaufman,2023-02-08,182.35774323,biobot
Kaufman,2023-02-15,277.35346339,biobot
Kaufman,2023-02-22,179.39377261,biobot
Kaufman,2023-03-01,222.07205608,biobot
Kaufman,2023-03-08,217.64563231,biobot
Kaufman,2023-03-15,103.0102148,biobot
Kaufman,2023-03-29,110.78666126,biobot
Kaufman,2023-04-12,137.641962315,biobot
Kaufman,2023-04-19,63.75522961000001,biobot
Kaufman,2023-04-26,46.04478722,biobot
Kaufman,2023-05-03,86.66957285,biobot
Kaufman,2023-05-10,65.71489439,biobot
Kaufman,2023-05-17,42.140297530000005,biobot
Kaufman,2023-05-31,77.39289412,biobot
Kaufman,2023-06-14,28.81986721,biobot
Kaufman,2023-06-21,93.38123066,biobot
Kaufman,2023-07-05,72.23713086999999,biobot
Kaufman,2023-07-12,59.71494954,biobot
Kaufman,2023-07-19,72.73718193,biobot
Kaufman,2023-08-02,82.855581062,biobot
Kaufman,2023-08-09,140.34930316499998,biobot
Kaufman,2023-08-16,284.25702944999995,biobot
Tarrant,2022-11-30,522.05791315,biobot
Tarrant,2022-12-07,513.69019131,biobot
Tarrant,2022-12-14,569.3206258933334,biobot
Tarrant,2022-12-21,431.38679083,biobot
Tarrant,2022-12-28,672.4455017800001,biobot
Tarrant,2023-01-04,532.9680590833333,biobot
Tarrant,2023-01-11,319.68422898999995,biobot
Tarrant,2023-01-18,605.4825019749999,biobot
Tarrant,2023-01-25,330.22978021,biobot
