ZIP,County
78226,Bexar
78227,Bexar
78228,Bexar
78229,Bexar
78230,Bexar
78231,Bexar
78232,Bexar
78233,Bexar
78234,Bexar
78235,Bexar
78236,Bexar
78237,Bexar
78238,Bexar
78239,Bexar
78240,Bexar
78241,Bexar
78242,Bexar
78243,Bexar
78244,Bexar
78245,Bexar
78246,Bexar
78247,Bexar
78248,Bexar
78249,Bexar
78250,Bexar
78251,Bexar
78252,Bexar
78253,Bexar
78254,Bexar
78255,Bexar
78256,Bexar
78257,Bexar
78258,Bexar
78259,Bexar
78260,Bexar
78261,Bexar
78263,Bexar
78264,Bexar
78265,Bexar
78266,Comal
78268,Bexar
78269,Bexar
78270,Bexar
78278,Bexar
78279,Bexar
78280,Bexar
78283,Bexar
78284,Bexar
78285,Bexar
78288,Bexar
78289,Bexar
78291,Bexar
78292,Bexar
78293,Bexar
78294,Bexar
78295,Bexar
78296,Bexar
78297,Bexar
78298,Bexar
78299,Bexar
78330,Nueces
78332,Jim Wells
78333,Jim Wells
78335,San Patricio
78336,San Patricio
78338,Kenedy
78339,Nueces
78340,Refugio
