"School","City","County","Deaths_Cumulative","Cases_Cumulative","Date"
"Lamar University","Beaumont","Jefferson",0,137,2020-09-25
"University of Texas at El Paso","El Paso","El Paso",0,144,2020-09-25
"Prairie View A&M University","Prairie View","Waller",0,157,2020-09-25
"Blinn College","Brenham","Washington",0,158,2020-09-25
"Stephen F. Austin State University","Nacogdoches","Nacogdoches",0,172,2020-09-25
"Texas A&M University-Commerce","Commerce","Hunt",0,191,2020-09-25
"University of Houston","Houston","Harris",0,210,2020-09-25
"University of Texas Health Science Center at San Antonio","San Antonio","Bexar",0,219,2020-09-25
"University of North Texas","Denton","Denton",0,221,2020-09-25
"Texas Tech University Health Sciences Center","Lubbock","Lubbock",0,250,2020-09-25
"Tarleton State University","Stephenville","Erath",0,250,2020-09-25
"University of Texas Health Science Center at Houston","Houston","Harris",0,280,2020-09-25
"University of Texas Southwestern Medical Center","Dallas","Dallas",0,292,2020-09-25
"Sam Houston State University","Huntsville","Walker",0,396,2020-09-25
"Texas State University","San Marcos","Hays",0,564,2020-09-25
"Southern Methodist University","Dallas","Dallas",0,577,2020-09-25
"Baylor University","Waco","McLennan",0,1045,2020-09-25
"Texas Christian University","Fort Worth","Tarrant",0,1135,2020-09-25
"University of Texas at Austin","Austin","Travis",1,1154,2020-09-25
"Texas A&M University","College Station","Brazos",0,1421,2020-09-25
"Texas Tech University","Lubbock","Lubbock",0,1481,2020-09-25
"Howard Payne University","Brownwood","Brown",0,NA,2020-10-08
"University of St. Thomas","Houston","Harris",0,0,2020-10-08
"Laredo College","Laredo","Webb",0,0,2020-10-08
"Texas Southern University","Houston","Harris",0,1,2020-10-08
"Texas College","Tyler","Smith",0,1,2020-10-08
"East Texas Baptist University","Marshall","Harrison",0,1,2020-10-08
"Brazosport College","Richwood","Brazoria",0,1,2020-10-08
"Houston Baptist University","Houston","Harris",0,2,2020-10-08
"Galveston College","Galveston","Galveston",0,4,2020-10-08
"Concordia University Texas","Austin","Travis",0,5,2020-10-08
"Collin College McKinney","McKinney","Collin",0,6,2020-10-08
"University of Dallas","Irving","Dallas",0,8,2020-10-08
"Hill College","Hillsboro","Hill",0,8,2020-10-08
"Texas Lutheran University","Seguin","Guadalupe",0,9,2020-10-08
"University of North Texas at Dallas","Dallas","Dallas",0,10,2020-10-08
"McMurry University","Abilene","Taylor",0,10,2020-10-08
"University of Texas MD Anderson Cancer Center","Houston","Harris",0,11,2020-10-08
"Texas A&M University-Central Texas","Kileen","Bell",0,11,2020-10-08
"Trinity University","San Antonia","Bexar",0,13,2020-10-08
"Austin Community College District","Austin","Travis",0,14,2020-10-08
"University of Houston-Downtown","Houston","Harris",0,15,2020-10-08
"Saint Edward's University","Austin","Travis",0,15,2020-10-08
"Midland College","Midland","Midland",0,16,2020-10-08
"Hardin-Simmons University","Abilene","Taylor",0,16,2020-10-08
"University of Texas at San Antonio","San Antonio","Bexar",0,19,2020-10-08
"Grayson College","Dension","Grayson",0,19,2020-10-08
"Schreiner University","Kerriville","Kerr",0,22,2020-10-08
"Texas A&M University-Texarkana","Texarkana","Bowie",0,24,2020-10-08
"Lubbock Christian University","Lubbock","Lubbock",0,25,2020-10-08
"St. Mary's University","San Antonio","Bexar",0,27,2020-10-08
