"County","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
"Colorado","15-19",1298,650,648,507,495,105,114,9,14,9,5,0,0,20,20,525,515,121,127,11,21,11,5,2,0,403,340,286,228,98,96,1,3,9,3,0,0,9,10,294,238,105,103,2,6,10,3,1,0,247,308,221,267,7,18,8,11,0,2,0,0,11,10,231,277,16,24,9,15,1,2,1,0
"Colorado","20-24",1206,626,580,501,473,98,89,6,7,3,4,2,1,16,6,515,479,109,93,9,7,6,6,4,1,362,338,259,249,89,82,1,0,2,3,2,0,9,4,268,253,95,85,2,0,4,4,2,0,264,242,242,224,9,7,5,7,1,1,0,1,7,2,247,226,14,8,7,7,2,2,2,1
"Colorado","25-29",1223,687,536,566,434,105,77,9,11,2,4,0,1,5,9,570,442,108,83,12,15,2,4,0,1,375,348,271,266,95,69,3,2,2,3,0,1,4,7,274,272,97,75,6,4,2,3,0,1,312,188,295,168,10,8,6,9,0,1,0,0,1,2,296,170,11,8,6,11,0,1,0,0
"Colorado","30-34",1051,562,489,477,402,65,69,10,8,5,6,0,0,5,4,482,404,67,71,12,10,6,8,0,0,317,321,247,250,62,62,0,1,4,5,0,0,4,3,251,252,64,64,1,2,5,6,0,0,245,168,230,152,3,7,10,7,1,1,0,0,1,1,231,152,3,7,11,8,1,2,0,0
"Colorado","35-39",1128,570,558,470,452,79,87,13,7,3,9,0,0,5,3,475,455,81,88,14,9,4,9,1,0,346,356,269,262,69,84,2,0,3,7,0,0,3,3,272,265,71,85,2,2,4,7,0,0,224,202,201,190,10,3,11,7,0,2,0,0,2,0,203,190,10,3,12,7,0,2,1,0
"Colorado","40-44",1050,534,516,446,437,72,66,8,3,6,6,0,0,2,4,448,440,74,67,9,4,6,6,0,3,337,310,267,241,64,62,0,0,6,6,0,0,0,1,267,242,64,63,0,0,6,6,0,0,197,206,179,196,8,4,8,3,0,0,0,0,2,3,181,198,10,4,9,4,0,0,0,3
"Colorado","45-49",1128,567,561,476,458,74,85,8,6,4,5,1,1,4,6,480,462,75,88,9,9,5,6,2,2,393,397,311,310,73,80,1,0,4,4,1,1,3,2,314,312,74,81,2,1,5,4,1,1,174,164,165,148,1,5,7,6,0,1,0,0,1,4,166,150,1,7,7,8,0,2,1,1
"Colorado","50-54",1278,641,637,546,541,76,79,9,5,5,7,0,0,5,5,551,546,78,80,11,7,6,9,0,0,456,470,373,386,72,73,3,1,4,6,0,0,4,4,377,390,74,74,4,3,5,7,0,0,185,167,173,155,4,6,6,4,1,1,0,0,1,1,174,156,4,6,7,4,1,2,0,0
"Colorado","55-59",1548,789,759,664,654,104,86,9,10,5,1,0,0,7,8,670,661,106,87,13,14,6,3,1,2,612,605,498,507,99,85,3,5,5,1,0,0,7,7,504,513,101,86,7,8,6,3,1,2,177,154,166,147,5,1,6,5,0,0,0,0,0,1,166,148,5,1,6,6,0,0,0,0
"Colorado","60-64",1584,782,802,674,677,95,111,5,4,5,7,0,2,3,1,677,678,95,112,8,4,5,7,0,2,631,676,534,560,90,108,2,2,3,5,0,1,2,0,536,560,90,108,4,2,3,5,0,1,151,126,140,117,5,3,3,2,2,2,0,1,1,1,141,118,5,4,4,2,2,2,0,1
