"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-08-16,"2","16","24","40","103","27","14","158",NA,"48","50","98","422","1108","275","2241",NA
2020-08-16,"3","76","79","155","107","282","137","572",NA,"101","87","188","690","1529","413","2919",NA
2020-08-16,"4","23","21","44","33","62","18","119",NA,"100","51","151","581","1266","324","2362",NA
2020-08-16,"5","56","3","59","109","126","42","277",NA,"115","12","127","614","1000","293","1965",NA
2020-08-16,"6","95","62","157","195","389","108","785",NA,"117","51","168","767","2535","576","4764",NA
2020-08-16,"7","41","33","74","91","87","54","257",NA,"154","50","204","1434","2351","823","5487",NA
2020-08-17,"1","11","17","28","14","36","6","60",NA,"37","28","65","89","500","129","750",NA
2020-08-17,"2","15","25","40","107","32","14","167",NA,"49","50","99","423","1108","279","2245",NA
2020-08-17,"3","76","79","155","110","272","140","569",NA,"99","90","189","682","1538","416","2922",NA
2020-08-17,"4","23","21","44","32","63","19","120",NA,"98","53","151","605","1283","336","2427",NA
2020-08-17,"5","53","6","59","106","115","42","263",NA,"112","17","129","559","1152","319","2099",NA
2020-08-17,"6","95","62","157","196","389","108","786",NA,"117","51","168","771","2533","578","4768",NA
2020-08-17,"7","41","33","74","90","88","55","258",NA,"155","50","205","1401","2448","844","5637",NA
2020-08-18,"1","11","17","28","14","36","6","60",NA,"32","33","65","81","516","129","758",NA
2020-08-18,"2","15","26","41","106","39","14","173",NA,"51","49","100","396","1181","295","2307",NA
2020-08-18,"3","72","82","154","110","279","140","579",NA,"96","93","189","617","1599","422","2935",NA
2020-08-18,"4","20","24","44","31","63","20","120",NA,"102","51","153","561","1357","340","2475",NA
2020-08-18,"5","53","7","60","100","116","45","272",NA,"110","18","128","581","1184","326","2160",NA
2020-08-18,"6","92","65","157","188","393","108","781",NA,"114","54","168","762","2555","581","4784",NA
2020-08-18,"7","40","34","74","90","90","55","260",NA,"151","54","205","1436","2484","857","5732",NA
2020-08-19,"1","11","17","28","14","36","6","60",NA,"32","33","65","81","516","129","758",NA
2020-08-19,"2","17","24","41","88","52","16","174",NA,"49","51","100","378","1184","295","2312",NA
2020-08-19,"3","70","84","154","106","279","140","580",NA,"96","94","190","639","1661","434","3030",NA
2020-08-19,"4","20","24","44","30","64","20","120",NA,"101","52","153","567","1412","343","2542",NA
2020-08-19,"5","52","10","62","94","122","46","280",NA,"109","20","129","557","1152","329","2106",NA
2020-08-19,"6","92","65","157","181","407","109","789",NA,"111","57","168","710","2621","580","4817",NA
2020-08-19,"7","39","35","74","92","91","55","262",NA,"150","55","205","1390","2592","870","5842",NA
2020-08-20,"1","11","17","28","19","36","6","65",NA,"30","35","65","81","517","129","759",NA
2020-08-20,"2","16","25","41","83","61","16","179",NA,"50","52","102","464","1190","309","2432",NA
2020-08-20,"3","71","85","156","106","283","141","586",NA,"93","98","191","628","1692","444","3067",NA
2020-08-20,"4","22","24","46","32","64","21","123",NA,"102","51","153","543","1457","356","2591",NA
2020-08-20,"5","53","10","63","94","122","46","280",NA,"112","20","132","554","1156","329","2108",NA
2020-08-20,"6","89","69","158","175","406","112","794",NA,"112","57","169","596","2741","589","4847",NA
2020-08-20,"7","39","36","75","90","93","54","261",NA,"149","56","205","1330","2659","888","5882",NA
2020-08-21,"1","11","17","28","19","36","6","65",NA,"30","35","65","107","527","133","800",NA
2020-08-21,"2","16","25","41","83","61","16","179",NA,"47","55","102","425","1207","310","2418",NA
2020-08-21,"3","72","84","156","104","286","144","588",NA,"98","93","191","643","1682","446","3077",NA
2020-08-21,"4","21","25","46","26","70","21","123",NA,"103","49","152","545","1536","360","2657",NA
2020-08-21,"5","54","11","65","96","128","46","289",NA,"112","22","134","555","1191","333","2124",NA
2020-08-21,"6","88","70","158","182","409","114","806",NA,"110","59","169","564","2776","590","4868",NA
2020-08-21,"7","39","36","75","85","116","54","279",NA,"148","58","206","1277","2802","915","6057",NA
2020-08-22,"1","13","17","30","19","36","6","65",NA,"31","34","65","91","549","138","811",NA
2020-08-22,"2","16","25","41","42","102","16","179",NA,"48","54","102","412","1215","310","2457",NA
2020-08-22,"3","72","84","156","99","291","144","588",NA,"95","96","191","635","1701","451","3104",NA
2020-08-22,"4","21","25","46","25","77","31","139",NA,"103","49","152","546","1546","360","2673",NA
2020-08-22,"5","54","11","65","96","128","46","289",NA,"112","22","134","509","1202","340","2105",NA
2020-08-22,"6","87","71","158","175","415","115","806",NA,"112","57","169","514","2824","595","4905",NA
2020-08-22,"7","39","36","75","86","121","55","286",NA,"145","61","206","1225","2886","928","6117",NA
2020-08-23,"1","13","17","30","19","36","6","65",NA,"31","34","65","91","549","138","811",NA
2020-08-23,"2","16","25","41","42","102","16","179",NA,"51","51","102","414","1215","310","2459",NA
2020-08-23,"3","72","84","156","99","291","144","588",NA,"95","96","191","640","1705","453","3121",NA
2020-08-23,"4","21","25","46","25","77","31","139",NA,"103","49","152","554","1549","362","2687",NA
2020-08-23,"5","54","11","65","96","128","46","289",NA,"112","22","134","509","1202","340","2105",NA
2020-08-23,"6","86","72","158","171","418","115","808",NA,"111","58","169","512","2826","596","4914",NA
2020-08-23,"7","39","36","75","87","124","57","292",NA,"143","63","206","1198","2912","929","6137",NA
2020-08-24,"1","13","17","30","19","36","6","65",NA,"31","34","65","91","549","138","811",NA
2020-08-24,"2","16","26","42","36","94","16","164",NA,"51","51","102","415","1217","314","2472",NA
2020-08-24,"3","72","84","156","101","293","144","593",NA,"95","96","191","640","1707","454","3124",NA
2020-08-24,"4","20","27","47","24","85","31","146",NA,"103","51","154","545","1555","364","2688",NA
2020-08-24,"5","56","11","67","93","130","46","288",NA,"114","20","134","504","1226","342","2126",NA
2020-08-24,"6","86","74","160","172","422","117","815",NA,"110","59","169","656","2833","598","5067",NA
2020-08-24,"7","39","36","75","84","124","57","289",NA,"143","63","206","1164","2948","936","6197",NA
2020-08-25,"1","13","17","30","19","36","6","65",NA,"32","33","65","83","554","139","809",NA
2020-08-25,"2","15","27","42","28","102","16","164",NA,"49","53","102","390","1246","320","2482",NA
2020-08-25,"3","68","88","156","100","296","145","600",NA,"96","95","191","632","1739","462","3168",NA
2020-08-25,"4","20","27","47","24","85","31","146",NA,"101","53","154","520","1618","370","2732",NA
2020-08-25,"5","57","11","68","94","130","46","289",NA,"112","22","134","460","1289","347","2151",NA
2020-08-25,"6","83","76","159","172","422","117","815",NA,"106","63","169","698","2886","604","5168",NA
2020-08-25,"7","37","38","75","77","128","64","293",NA,"141","65","206","1132","3027","956","6291",NA
2020-08-26,"1","13","17","30","16","37","8","65",NA,"30","35","65","54","576","149","814",NA
2020-08-26,"2","15","27","42","29","104","16","165",NA,"49","53","102","380","1272","319","2501",NA
2020-08-26,"3","66","90","156","86","309","145","601",NA,"95","96","191","505","1863","471","3186",NA
2020-08-26,"4","21","26","47","24","85","32","147",NA,"101","53","154","502","1696","370","2768",NA
2020-08-26,"5","56","12","68","93","132","46","290",NA,"108","27","135","427","1292","353","2130",NA
2020-08-26,"6","82","77","159","163","427","120","817",NA,"106","63","169","691","2904","605","5180",NA
2020-08-26,"7","37","38","75","78","129","64","295",NA,"140","67","207","1044","3112","965","6313",NA
2020-08-27,"1","13","17","30","15","37","8","69",NA,"30","35","65","55","575","149","814",NA
2020-08-27,"2","15","27","42","29","104","16","165",NA,"49","53","102","400","1276","321","2534",NA
2020-08-27,"3","66","91","157","86","310","147","606",NA,"94","97","191","482","1900","477","3210",NA
2020-08-27,"4","21","26","47","24","85","32","147",NA,"101","53","154","503","1745","374","2822",NA
2020-08-27,"5","55","13","68","93","132","46","290",NA,"107","28","135","429","1294","353","2134",NA
2020-08-27,"6","83","78","161","156","436","120","826",NA,"106","63","169","679","2931","609","5222",NA
