County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
Delta,Unknown,all,122,99,249,27,
Delta,White,all,1296,1161,3098,479,4188
Denton,Asian,all,62420,53461,148278,27491,96917
Denton,Black,all,47218,41626,110026,16956,106540
Denton,Hispanic,all,116685,99320,258537,36343,188139
Denton,Other,all,129398,119164,356363,69713,99796
Denton,Unknown,all,17287,11902,29822,1918,
Denton,White,all,263149,239505,654801,112319,523629
DeWitt,Asian,all,64,57,162,33,87
DeWitt,Black,all,680,625,1675,303,1592
DeWitt,Hispanic,all,1987,1791,4426,651,7318
DeWitt,Other,all,2261,2030,5916,1134,1236
DeWitt,Unknown,all,596,466,1202,122,
DeWitt,White,all,4808,4434,11824,2060,10666
Dickens,Asian,all,3,3,6,0,24
Dickens,Black,all,10,10,22,3,89
Dickens,Hispanic,all,138,118,285,33,544
Dickens,Other,all,107,93,257,48,232
Dickens,Unknown,all,18,11,29,1,
Dickens,White,all,524,485,1241,237,1038
Dimmit,Asian,all,32,28,81,15,63
Dimmit,Black,all,37,28,92,15,121
Dimmit,Hispanic,all,8784,5045,16348,1764,7460
Dimmit,Other,all,1274,970,3051,537,460
Dimmit,Unknown,all,397,237,667,30,
Dimmit,White,all,1594,1270,3762,635,792
Donley,Asian,all,7,7,17,3,19
Donley,Black,all,27,22,62,9,176
Donley,Hispanic,all,114,90,260,41,409
Donley,Other,all,319,298,793,131,303
Donley,Unknown,all,66,57,143,19,
Donley,White,all,868,748,1987,323,2554
Duval,Asian,all,22,21,63,12,29
Duval,Black,all,165,156,366,46,117
Duval,Hispanic,all,6120,5220,14435,2427,8700
Duval,Other,all,831,709,2112,379,351
Duval,Unknown,all,279,185,524,62,
Duval,White,all,1380,1161,3256,534,850
Eastland,Asian,all,55,46,111,20,141
Eastland,Black,all,65,54,159,28,356
Eastland,Hispanic,all,1082,916,2307,298,3184
Eastland,Other,all,829,736,1916,326,1307
Eastland,Unknown,all,467,333,837,64,
Eastland,White,all,5285,4679,12405,2137,13796
Ector,Asian,all,1131,1003,2663,448,1891
Ector,Black,all,2361,1994,5110,678,7029
Ector,Hispanic,all,40408,33284,87394,11849,104240
Ector,Other,all,12033,10541,27831,4155,11776
Ector,Unknown,all,3512,2470,6120,324,
Ector,White,all,26234,23232,57979,7631,45415
Edwards,Black,all,1,1,3,1,13
Edwards,Hispanic,all,325,276,774,140,794
Edwards,Other,all,157,141,386,67,116
Edwards,Unknown,all,54,47,112,11,
Edwards,White,all,365,317,859,137,594
El Paso,Asian,all,4558,3552,10171,1586,10212
El Paso,Black,all,7848,5994,16236,2085,28016
El Paso,Hispanic,all,713547,554159,1595808,256258,719816
El Paso,Other,all,37717,30365,91773,16351,60105
El Paso,Unknown,all,104065,36916,154861,11913,
El Paso,White,all,50279,40815,116553,18663,98645
Ellis,Asian,all,966,826,2263,369,1709
Ellis,Black,all,13705,12185,32098,5058,27822
Ellis,Hispanic,all,24485,21123,53453,6736,56899
Ellis,Other,all,21315,19383,55319,9576,16873
Ellis,Unknown,all,3161,2210,5438,292,
Ellis,White,all,51549,46522,122876,19391,112183
Erath,Asian,all,178,144,392,62,412
Erath,Black,all,154,133,311,35,815
Erath,Hispanic,all,4132,3621,9271,1269,9684
Erath,Other,all,3258,3005,8730,1582,3258
Erath,Unknown,all,586,437,1044,74,
Erath,White,all,10069,8966,22967,3360,31633
Falls,Asian,all,50,44,116,21,87
Falls,Black,all,1733,1498,3999,643,3866
Falls,Hispanic,all,1664,1389,3579,464,4450
Falls,Other,all,1658,1440,3928,624,1343
Falls,Unknown,all,303,224,537,13,
Falls,White,all,4086,3624,9762,1642,8594
Fannin,Asian,all,91,74,196,30,285
Fannin,Black,all,1037,931,2387,435,2326
Fannin,Hispanic,all,1916,1591,3918,487,4731
Fannin,Other,all,1916,1742,4762,807,3698
Fannin,Unknown,all,1268,1020,2593,338,
Fannin,White,all,10935,9825,25952,4422,28134
Fayette,Asian,all,58,47,125,19,121
Fayette,Black,all,582,491,1290,199,1403
Fayette,Hispanic,all,1867,1504,3789,473,5520
Fayette,Other,all,3925,3597,10813,2226,1584
Fayette,Unknown,all,655,486,1250,136,
Fayette,White,all,8202,7289,19433,3280,17292
Fisher,Asian,all,2,1,3,0,14
Fisher,Black,all,27,20,44,1,133
Fisher,Hispanic,all,394,337,887,153,1118
Fisher,Other,all,123,108,289,44,422
Fisher,Unknown,all,185,160,494,98,
Fisher,White,all,885,789,2049,370,2355
Floyd,Asian,all,2,2,5,1,23
Floyd,Black,all,41,39,109,19,177
Floyd,Hispanic,all,1378,1227,3203,514,3219
Floyd,Other,all,288,254,727,133,456
Floyd,Unknown,all,99,73,170,13,
Floyd,White,all,1042,957,2573,442,1868
Foard,Asian,all,2,1,5,1,9
Foard,Black,all,17,15,38,7,55
Foard,Hispanic,all,89,63,172,22,202
Foard,Other,all,42,38,106,18,70
Foard,Unknown,all,26,20,50,7,
Foard,White,all,440,384,1081,192,794
Fort Bend,Asian,all,116899,102511,288977,55349,182922
Fort Bend,Black,all,92903,82237,223786,38203,179510
Fort Bend,Hispanic,all,146296,125033,329677,48925,218861
Fort Bend,Other,all,177404,164642,490871,100395,75248
Fort Bend,Unknown,all,18139,12345,32792,3051,
Fort Bend,White,all,135010,121265,328380,56349,258908
Franklin,Asian,all,35,29,77,11,108
Franklin,Black,all,158,130,381,70,467
Franklin,Hispanic,all,568,474,1165,128,1645
Franklin,Other,all,684,637,1894,356,922
Franklin,Unknown,all,494,405,939,93,
Franklin,White,all,2743,2429,6581,1111,7988
Freestone,Asian,all,69,56,140,19,125
Freestone,Black,all,1286,1163,3079,551,2931
Freestone,Hispanic,all,961,814,1957,223,3371
Freestone,Other,all,1573,1406,3876,683,1810
Freestone,Unknown,all,225,149,387,34,
Freestone,White,all,4930,4519,11284,1858,12954
Frio,Asian,all,75,45,129,18,459
Frio,Black,all,1004,878,1259,85,607
Frio,Hispanic,all,11241,8904,18628,2138,14798
Frio,Other,all,2942,2461,5903,850,923
Frio,Unknown,all,920,596,1590,113,
Frio,White,all,1945,1666,4421,715,2428
Gaines,Asian,all,34,29,80,17,92
Gaines,Black,all,67,61,146,22,347
Gaines,Hispanic,all,2435,2063,4933,591,9602
Gaines,Other,all,518,439,1147,164,1249
Gaines,Unknown,all,916,786,1888,220,
Gaines,White,all,1530,1363,3248,416,11600
Galveston,Asian,all,10033,8902,23609,4401,12243
Galveston,Black,all,23148,20697,58250,10162,44311
Galveston,Hispanic,all,53071,46441,124146,18719,93721
