County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
San Jacinto,Asian,all,56,46,119,23,140
San Jacinto,Black,all,977,851,2199,365,2429
San Jacinto,Hispanic,all,1564,1307,3265,391,4446
San Jacinto,Other,all,2019,1855,5345,1001,2681
San Jacinto,Unknown,all,453,343,810,55,
San Jacinto,White,all,6332,5642,14613,2390,20147
San Patricio,Asian,all,534,459,1133,153,705
San Patricio,Black,all,438,374,938,132,1145
San Patricio,Hispanic,all,20228,17099,45771,6769,40892
San Patricio,Other,all,7433,6654,19378,3521,4597
San Patricio,Unknown,all,1412,1008,2532,139,
San Patricio,White,all,14938,12864,34012,5225,26003
San Saba,Asian,all,9,9,21,4,47
San Saba,Black,all,123,118,301,51,215
San Saba,Hispanic,all,603,487,1248,168,1800
San Saba,Other,all,689,609,1703,304,538
San Saba,Unknown,all,104,55,146,7,
San Saba,White,all,1447,1286,3368,551,3644
Schleicher,Asian,all,4,4,10,2,10
Schleicher,Black,all,15,14,35,5,35
Schleicher,Hispanic,all,619,556,1454,238,1347
Schleicher,Other,all,141,127,366,71,286
Schleicher,Unknown,all,139,127,317,41,
Schleicher,White,all,504,476,1224,209,998
Scurry,Asian,all,54,44,115,17,103
Scurry,Black,all,273,250,611,126,818
Scurry,Hispanic,all,3165,2666,6658,829,7098
Scurry,Other,all,858,756,1925,360,1394
Scurry,Unknown,all,296,212,524,24,
Scurry,White,all,4492,4099,10397,1736,8547
Shackelford,Asian,all,5,5,12,1,18
Shackelford,Black,all,5,5,11,1,38
Shackelford,Hispanic,all,155,133,395,78,407
Shackelford,Other,all,125,116,329,57,232
Shackelford,Unknown,all,79,66,161,21,
Shackelford,White,all,990,889,2345,368,2682
Shelby,Asian,all,187,167,407,57,310
Shelby,Black,all,1994,1743,4525,666,4083
Shelby,Hispanic,all,1938,1584,3860,417,4662
Shelby,Other,all,1288,1124,2982,434,1723
Shelby,Unknown,all,728,517,1226,53,
Shelby,White,all,5338,4663,12259,1952,14449
Sherman,Asian,all,1,1,2,0,15
Sherman,Black,all,6,6,15,3,35
Sherman,Hispanic,all,660,501,1226,105,1298
Sherman,Other,all,115,75,221,28,214
Sherman,Unknown,all,66,46,122,10,
Sherman,White,all,480,397,984,108,1413
Smith,Asian,all,2341,2009,5376,859,3760
Smith,Black,all,18145,16098,44348,7406,40877
Smith,Hispanic,all,21603,18535,46855,5860,49105
Smith,Other,all,16596,15236,44619,8221,17918
Smith,Unknown,all,6306,5040,11474,547,
Smith,White,all,60464,54480,148098,24938,138668
Somervell,Asian,all,32,31,82,16,80
Somervell,Black,all,15,9,24,0,109
Somervell,Hispanic,all,583,519,1257,172,1697
Somervell,Other,all,1487,1386,4392,981,856
Somervell,Unknown,all,145,124,293,31,
Somervell,White,all,2314,2085,5134,699,7356
Starr,Asian,all,37,27,77,9,122
Starr,Black,all,18,11,32,4,124
Starr,Hispanic,all,81829,62557,162177,18431,63579
Starr,Other,all,5381,4301,12623,2321,865
Starr,Unknown,all,1658,1191,3008,273,
Starr,White,all,8051,5451,16102,2301,2152
Stephens,Asian,all,52,45,126,23,83
Stephens,Black,all,124,111,265,44,280
Stephens,Hispanic,all,651,567,1362,181,2294
Stephens,Other,all,504,430,1104,166,610
Stephens,Unknown,all,254,195,470,39,
Stephens,White,all,2291,2105,5245,887,6340
Sterling,Asian,all,3,,3,0,2
Sterling,Black,all,5,4,11,2,18
Sterling,Hispanic,all,213,187,483,66,569
Sterling,Other,all,93,83,208,24,106
Sterling,Unknown,all,12,9,20,0,
Sterling,White,all,248,219,546,70,757
Stonewall,Asian,all,9,8,18,3,15
Stonewall,Black,all,5,5,12,3,41
Stonewall,Hispanic,all,95,84,208,28,236
Stonewall,Other,all,60,55,171,38,106
Stonewall,Unknown,all,44,38,95,12,
Stonewall,White,all,446,412,1088,191,895
Sutton,Asian,all,15,15,35,6,8
Sutton,Black,all,3,3,5,0,22
Sutton,Hispanic,all,1035,905,2408,381,2164
Sutton,Other,all,171,145,394,66,229
Sutton,Unknown,all,100,80,207,27,
Sutton,White,all,559,516,1381,243,1107
Swisher,Asian,all,13,11,29,6,28
Swisher,Black,all,189,176,411,82,551
Swisher,Hispanic,all,1125,995,2431,397,3235
Swisher,Other,all,443,391,985,198,678
Swisher,Unknown,all,178,148,359,37,
Swisher,White,all,1445,1309,3396,648,3043
Tarrant,Asian,all,79675,69892,189508,33308,123775
Tarrant,Black,all,153121,132860,348748,49915,374803
Tarrant,Hispanic,all,361331,309004,807389,112792,642801
Tarrant,Other,all,271605,248706,738752,138403,219386
Tarrant,Unknown,all,35177,23659,59425,3136,
Tarrant,White,all,493074,444666,1218701,205251,928782
Taylor,Asian,all,1429,1174,3166,504,2914
Taylor,Black,all,3694,3064,7887,1030,10623
Taylor,Hispanic,all,13694,11567,29993,4013,37241
Taylor,Other,all,11585,10427,30244,5456,16087
Taylor,Unknown,all,5385,4557,11434,1293,
Taylor,White,all,39100,34597,93959,15450,88565
Terrell,Black,all,1,1,2,0,9
Terrell,Hispanic,all,262,221,620,113,390
Terrell,Other,all,69,59,156,26,90
Terrell,Unknown,all,25,16,40,1,
Terrell,White,all,136,111,291,49,291
Terry,Asian,all,27,22,62,7,40
Terry,Black,all,129,114,260,30,493
Terry,Hispanic,all,2539,2161,5602,872,6738
Terry,Other,all,596,508,1272,189,849
Terry,Unknown,all,1035,929,2234,303,
Terry,White,all,1595,1461,3904,725,4319
Throckmorton,Asian,all,1,,1,0,8
Throckmorton,Black,all,1,1,2,0,15
Throckmorton,Hispanic,all,44,37,93,12,202
Throckmorton,Other,all,80,74,202,41,87
Throckmorton,Unknown,all,45,37,98,16,
Throckmorton,White,all,515,456,1159,186,1238
Titus,Asian,all,153,130,364,66,344
Titus,Black,all,1350,1161,3198,498,2822
Titus,Hispanic,all,6707,5473,13593,1497,14205
Titus,Other,all,1804,1612,4509,723,2635
Titus,Unknown,all,576,419,1046,83,
Titus,White,all,6122,5360,14270,2240,13294
Tom Green,Asian,all,758,642,1695,290,1491
Tom Green,Black,all,1659,1455,3854,597,4339
Tom Green,Hispanic,all,21677,19347,49876,7735,50156
Tom Green,Other,all,7736,7000,19918,3710,10644
Tom Green,Unknown,all,1973,1456,3667,350,
Tom Green,White,all,30152,27474,72671,12411,61063
Travis,Asian,all,71082,59181,172134,32599,99798
Travis,Black,all,42426,36058,97885,15520,106479
Travis,Hispanic,all,271442,223173,614971,94251,435437
Travis,Other,all,256986,232799,732163,150168,144456
Travis,Unknown,all,43215,29695,79014,7090,
Travis,White,all,394232,348100,1017477,193762,631837
Trinity,Asian,all,31,26,67,7,65
Trinity,Black,all,508,429,1178,207,1152
Trinity,Hispanic,all,569,489,1262,176,1663
Trinity,Other,all,1874,1704,4814,875,1090
Trinity,Unknown,all,384,296,698,47,
Trinity,White,all,3862,3407,9080,1572,10628
Tyler,Asian,all,37,34,94,18,127
Tyler,Black,all,1130,1042,2815,548,2092
Tyler,Hispanic,all,478,402,1032,146,1779
Tyler,Other,all,1335,1193,3257,557,1432
Tyler,Unknown,all,365,272,705,73,
Tyler,White,all,5775,5309,14375,2542,15608
Upshur,Asian,all,92,68,193,28,280
Upshur,Black,all,1267,1141,3092,539,3144
Upshur,Hispanic,all,1658,1371,3498,414,3969
Upshur,Other,all,2564,2354,6742,1219,3878
Upshur,Unknown,all,675,509,1210,65,
Upshur,White,all,10632,9457,24893,3942,33206
Upton,Asian,all,4,4,9,1,18
Upton,Black,all,23,22,53,6,93
Upton,Hispanic,all,779,681,1793,287,1816
Upton,Other,all,161,148,421,83,303
Upton,Unknown,all,190,173,436,70,
Upton,White,all,615,518,1408,231,1260
Uvalde,Asian,all,82,72,199,41,241
Uvalde,Black,all,39,32,79,9,171
Uvalde,Hispanic,all,9622,8107,22272,3635,17929
Uvalde,Other,all,2054,1839,5539,1057,1352
Uvalde,Unknown,all,641,428,1251,180,
Uvalde,White,all,4966,4352,11581,1766,6153
Val Verde,Asian,all,105,74,213,34,308
Val Verde,Black,all,160,125,322,43,679
Val Verde,Hispanic,all,31720,23931,63707,8186,39468
Val Verde,Other,all,6880,4988,15098,2230,2514
Val Verde,Unknown,all,3044,1757,4910,255,
Val Verde,White,all,7568,6070,16615,2275,6678
Van Zandt,Asian,all,129,108,274,42,284
Van Zandt,Black,all,625,564,1505,261,1766
Van Zandt,Hispanic,all,2663,2265,5601,636,7950
Van Zandt,Other,all,3353,3087,8752,1564,4498
Van Zandt,Unknown,all,1029,777,1829,131,
Van Zandt,White,all,16666,15064,40050,6965,49925
Victoria,Asian,all,682,600,1611,291,1154
Victoria,Black,all,2080,1854,5037,808,5144
Victoria,Hispanic,all,17809,15713,41653,5984,44692
Victoria,Other,all,9195,8424,25306,4749,6399
Victoria,Unknown,all,2590,2129,5365,657,
Victoria,White,all,19400,17442,47597,7852,38628
Walker,Asian,all,510,426,1144,177,825
Walker,Black,all,7126,6309,16519,2669,17827
Walker,Hispanic,all,5144,4375,10677,1350,14574
Walker,Other,all,11091,9846,27754,4837,4909
Walker,Unknown,all,1112,784,2021,183,
Walker,White,all,16568,14810,38421,6264,43482
Waller,Asian,all,610,491,1332,198,1047
Waller,Black,all,3352,2895,7577,1169,13342
Waller,Hispanic,all,9000,7546,18738,2180,19378
Waller,Other,all,5677,5076,14444,2563,4380
Waller,Unknown,all,754,493,1265,69,
Waller,White,all,9091,8112,20960,3242,25030
Ward,Asian,all,47,38,101,17,58
Ward,Black,all,110,94,233,36,471
Ward,Hispanic,all,2744,2252,5752,784,6389
Ward,Other,all,532,477,1305,228,1043
Ward,Unknown,all,281,219,555,57,
Ward,White,all,1533,1290,3183,384,4040
Washington,Asian,all,342,310,824,146,547
Washington,Black,all,2319,2043,5377,815,5764
Washington,Hispanic,all,2375,2035,5098,621,6297
Washington,Other,all,5230,4911,14799,2994,1996
Washington,Unknown,all,637,466,1350,156,
Washington,White,all,10046,9122,24792,4173,22794
Webb,Asian,all,591,467,1244,176,1275
Webb,Black,all,234,165,407,30,1027
Webb,Hispanic,all,388356,229100,678315,67860,255570
Webb,Other,all,52462,38144,110517,17723,5698
Webb,Unknown,all,55993,13273,71143,2856,
Webb,White,all,47864,34527,97666,14217,9557
Wharton,Asian,all,147,124,351,58,223
Wharton,Black,all,2355,2043,5456,853,5111
Wharton,Hispanic,all,8392,6937,17741,2236,18213
Wharton,Other,all,6001,5349,14831,2587,1937
Wharton,Unknown,all,738,505,1262,108,
Wharton,White,all,8299,7349,18912,3049,17792
Wheeler,Asian,all,25,19,58,13,36
Wheeler,Black,all,30,24,56,4,134
Wheeler,Hispanic,all,613,506,1213,123,1254
Wheeler,Other,all,212,186,523,85,403
Wheeler,Unknown,all,185,151,391,49,
Wheeler,White,all,1332,1214,3218,635,3397
Wichita,Asian,all,1407,1224,3304,591,2610
Wichita,Black,all,5284,4548,11809,2005,13647
Wichita,Hispanic,all,10306,8953,22746,3225,26955
Wichita,Other,all,11203,10164,28640,5298,15853
Wichita,Unknown,all,3311,2712,6547,598,
Wichita,White,all,38159,34505,91956,16266,82595
Wilbarger,Asian,all,311,281,654,70,454
Wilbarger,Black,all,443,383,993,162,938
Wilbarger,Hispanic,all,1694,1513,3585,523,3984
Wilbarger,Other,all,396,343,897,142,1327
Wilbarger,Unknown,all,868,752,1857,227,
Wilbarger,White,all,3676,3442,8910,1629,6969
Willacy,Asian,all,24,20,61,10,137
Willacy,Black,all,274,245,758,185,445
Willacy,Hispanic,all,16392,12327,34433,5240,17906
Willacy,Other,all,1603,1174,3601,600,579
Willacy,Unknown,all,519,390,1042,104,
Willacy,White,all,1282,1117,3121,561,1737
Williamson,Asian,all,44570,36476,107076,20020,57066
Williamson,Black,all,20192,17637,47388,7713,44879
Williamson,Hispanic,all,87675,75167,204758,32409,163099
Williamson,Other,all,118851,109678,339276,69051,74675
Williamson,Unknown,all,19717,13997,36467,3250,
Williamson,White,all,192964,173124,485399,87291,359562
Wilson,Asian,all,340,272,785,143,283
Wilson,Black,all,433,372,1033,175,876
Wilson,Hispanic,all,7760,6853,18131,2868,21030
Wilson,Other,all,8704,7890,22334,4139,3425
Wilson,Unknown,all,1458,1100,2773,266,
Wilson,White,all,12249,10907,28201,4423,28285
Winkler,Asian,all,37,34,78,12,52
Winkler,Black,all,46,44,106,17,155
Winkler,Hispanic,all,1916,1579,3910,497,4715
Winkler,Other,all,269,228,618,108,433
Winkler,Unknown,all,585,509,1323,230,
Winkler,White,all,854,761,1805,268,2383
Wise,Asian,all,232,208,528,80,424
Wise,Black,all,375,323,865,147,1084
Wise,Hispanic,all,6149,5307,13094,1595,14936
Wise,Other,all,4086,3655,10512,1862,5967
Wise,Unknown,all,1308,1036,2507,223,
Wise,White,all,19701,17662,45034,7033,53583
Wood,Asian,all,125,103,286,56,287
Wood,Black,all,786,707,1968,378,2276
Wood,Hispanic,all,1896,1648,4144,537,5029
Wood,Other,all,5161,4786,14276,2822,3176
Wood,Unknown,all,842,627,1492,91,
Wood,White,all,13979,12737,33988,6091,37340
Yoakum,Asian,all,18,16,37,3,44
Yoakum,Black,all,16,15,47,10,92
Yoakum,Hispanic,all,2464,2079,4971,645,5259
Yoakum,Other,all,193,141,395,54,555
Yoakum,Unknown,all,532,448,1142,164,
Yoakum,White,all,979,855,2127,354,2106
Young,Asian,all,41,39,95,16,108
Young,Black,all,48,43,121,23,249
Young,Hispanic,all,1441,1282,2982,352,3552
Young,Other,all,2098,1917,5151,905,1257
Young,Unknown,all,413,341,813,95,
Young,White,all,4324,3896,9775,1573,13738
Zapata,Asian,all,5,3,10,2,26
Zapata,Black,all,5,2,9,1,39
Zapata,Hispanic,all,7937,6845,17685,2613,13227
Zapata,Other,all,1090,901,2358,254,268
Zapata,Unknown,all,343,297,774,122,
Zapata,White,all,794,598,1709,230,581
Zavala,Asian,all,6,6,16,2,15
Zavala,Black,all,19,15,37,5,79
Zavala,Hispanic,all,5268,4551,12439,1872,8934
Zavala,Other,all,676,610,1817,322,434
Zavala,Unknown,all,267,171,461,23,
Zavala,White,all,1018,872,2406,366,456
Anderson,Asian,bivalent,233,198,,92,421
Anderson,Black,bivalent,5339,4845,339,2261,12437
Anderson,Hispanic,bivalent,2873,2464,505,807,11002
Anderson,Other,bivalent,5204,4627,1045,2061,4498
Anderson,Unknown,bivalent,747,530,0,79,
Anderson,White,bivalent,13621,12252,1600,5484,33349
Andrews,Asian,bivalent,71,64,28,28,103
Andrews,Black,bivalent,81,75,33,35,251
Andrews,Hispanic,bivalent,5011,4448,1235,1628,10777
Andrews,Other,bivalent,367,323,85,153,1391
Andrews,Unknown,bivalent,521,435,0,121,
Andrews,White,bivalent,3405,3060,610,1247,7008
Angelina,Asian,bivalent,436,378,47,208,813
Angelina,Black,bivalent,5267,4703,780,2328,12863
Angelina,Hispanic,bivalent,9622,8466,1155,2993,20235
Angelina,Other,bivalent,7681,6805,1434,2713,5286
Angelina,Unknown,bivalent,2845,2253,0,578,
Angelina,White,bivalent,19781,18058,3056,8630,51188
Aransas,Asian,bivalent,261,230,0,86,442
Aransas,Black,bivalent,113,93,17,38,353
Aransas,Hispanic,bivalent,3085,2573,268,984,7231
Aransas,Other,bivalent,3588,3303,1786,2011,2119
Aransas,Unknown,bivalent,385,291,0,49,
Aransas,White,bivalent,8994,7887,1311,3792,15953
Archer,Asian,bivalent,11,9,0,2,44
Archer,Black,bivalent,21,18,0,3,83
Archer,Hispanic,bivalent,333,303,56,100,764
Archer,Other,bivalent,949,895,330,405,729
Archer,Unknown,bivalent,288,251,0,79,
Archer,White,bivalent,3010,2801,489,1172,7568
Armstrong,Asian,bivalent,4,4,1,4,1
Armstrong,Black,bivalent,4,4,0,1,19
Armstrong,Hispanic,bivalent,67,57,13,20,215
Armstrong,Other,bivalent,117,106,14,32,122
Armstrong,Unknown,bivalent,45,36,0,6,
Armstrong,White,bivalent,589,527,103,258,1556
Atascosa,Asian,bivalent,111,100,0,49,231
Atascosa,Black,bivalent,159,131,28,42,457
Atascosa,Hispanic,bivalent,13338,11552,2406,4245,33074
Atascosa,Other,bivalent,7090,6157,2282,3135,3365
Atascosa,Unknown,bivalent,844,592,0,97,
Atascosa,White,bivalent,8776,7661,658,3145,15576
Austin,Asian,bivalent,129,106,0,44,247
Austin,Black,bivalent,1034,889,104,396,2603
Austin,Hispanic,bivalent,4530,3756,820,1264,8715
Austin,Other,bivalent,2940,2694,1002,1545,2000
Austin,Unknown,bivalent,709,505,0,95,
Austin,White,bivalent,8016,7200,1063,3258,18333
Bailey,Asian,bivalent,16,14,0,8,46
Bailey,Black,bivalent,10,10,1,2,71
Bailey,Hispanic,bivalent,1547,1212,249,421,4438
Bailey,Other,bivalent,203,167,61,88,621
Bailey,Unknown,bivalent,672,612,0,188,
Bailey,White,bivalent,812,699,252,333,2195
Bandera,Asian,bivalent,47,42,0,15,134
Bandera,Black,bivalent,67,58,6,13,256
Bandera,Hispanic,bivalent,1660,1417,355,609,4589
Bandera,Other,bivalent,3006,2708,1653,1594,1787
Bandera,Unknown,bivalent,954,789,0,281,
Bandera,White,bivalent,6271,5494,776,2612,16108
Bastrop,Asian,bivalent,427,375,66,185,789
Bastrop,Black,bivalent,2071,1721,290,758,6410
Bastrop,Hispanic,bivalent,21546,17258,4094,5555,43198
Bastrop,Other,bivalent,18648,16812,6556,9433,10318
Bastrop,Unknown,bivalent,3058,1937,0,382,
Bastrop,White,bivalent,17996,15379,3045,6765,49588
Baylor,Asian,bivalent,10,9,2,5,11
Baylor,Black,bivalent,22,19,0,9,91
Baylor,Hispanic,bivalent,152,126,94,66,502
Baylor,Other,bivalent,111,100,43,39,380
Baylor,Unknown,bivalent,210,196,0,17,
Baylor,White,bivalent,1120,1019,229,428,2774
Bee,Asian,bivalent,125,101,0,41,201
Bee,Black,bivalent,1074,981,34,482,2625
Bee,Hispanic,bivalent,7127,6087,984,2588,18488
Bee,Other,bivalent,4757,3768,1199,1773,1922
Bee,Unknown,bivalent,1560,1236,0,230,
Bee,White,bivalent,5339,4723,708,2106,9251
Bell,Asian,bivalent,5789,4706,704,2154,10964
Bell,Black,bivalent,31101,25462,4465,9091,84555
Bell,Hispanic,bivalent,36546,30527,6522,10439,100457
Bell,Other,bivalent,40923,36128,16228,17050,70623
Bell,Unknown,bivalent,8927,6076,0,963,
Bell,White,bivalent,71305,62601,10615,27748,165003
Bexar,Asian,bivalent,34026,28304,2409,13739,61545
Bexar,Black,bivalent,60024,50003,7248,20696,152999
Bexar,Hispanic,bivalent,692218,574359,143859,241094,1243607
Bexar,Other,bivalent,392558,341173,136952,188513,212058
Bexar,Unknown,bivalent,55710,35598,0,7323,
Bexar,White,bivalent,367992,313546,28075,146076,530207
Blanco,Asian,bivalent,24,16,0,8,99
Blanco,Black,bivalent,28,24,0,10,142
Blanco,Hispanic,bivalent,986,844,128,269,2430
Blanco,Other,bivalent,1537,1408,919,880,899
Blanco,Unknown,bivalent,154,113,0,22,
Blanco,White,bivalent,4376,3931,847,1945,8980
Borden,Asian,bivalent,1,1,0,0,1
Borden,Black,bivalent,1,,0,0,5
Borden,Hispanic,bivalent,37,27,6,7,116
Borden,Other,bivalent,44,41,11,15,73
Borden,Unknown,bivalent,7,6,0,3,
Borden,White,bivalent,137,126,1,39,482
Bosque,Asian,bivalent,33,26,4,12,104
Bosque,Black,bivalent,119,108,23,53,358
Bosque,Hispanic,bivalent,1171,1006,215,339,3668
Bosque,Other,bivalent,1535,1418,718,850,1258
Bosque,Unknown,bivalent,887,679,0,238,
Bosque,White,bivalent,5958,5458,846,2623,14016
Bowie,Asian,bivalent,578,505,2,226,1119
Bowie,Black,bivalent,8200,6861,900,2801,23551
Bowie,Hispanic,bivalent,3181,2665,318,758,7795
Bowie,Other,bivalent,4711,4219,1240,1888,9370
Bowie,Unknown,bivalent,1926,1129,0,180,
Bowie,White,bivalent,21579,18823,2324,7468,57329
Brazoria,Asian,bivalent,17170,15000,1454,7858,26750
Brazoria,Black,bivalent,31892,28485,4594,14112,58472
Brazoria,Hispanic,bivalent,63290,54997,11696,20868,122736
Brazoria,Other,bivalent,62676,58120,26893,33330,32102
Brazoria,Unknown,bivalent,6234,4483,0,1086,
Brazoria,White,bivalent,73942,66735,5203,28928,163875
Brazos,Asian,bivalent,8617,7307,322,3617,13713
Brazos,Black,bivalent,10071,8725,703,3407,25640
Brazos,Hispanic,bivalent,28179,23968,5229,7978,63915
Brazos,Other,bivalent,28051,25616,13432,13861,19678
Brazos,Unknown,bivalent,5122,3076,0,579,
Brazos,White,bivalent,59633,52719,2103,21727,129054
Brewster,Asian,bivalent,43,37,0,16,138
Brewster,Black,bivalent,43,34,1,11,152
Brewster,Hispanic,bivalent,2349,1950,243,845,4285
Brewster,Other,bivalent,750,610,431,395,988
Brewster,Unknown,bivalent,499,359,63,115,
Brewster,White,bivalent,2460,2198,290,1144,4646
Briscoe,Black,bivalent,13,13,4,9,54
Briscoe,Hispanic,bivalent,156,136,31,61,379
Briscoe,Other,bivalent,112,101,75,67,174
Briscoe,Unknown,bivalent,10,5,1,1,
Briscoe,White,bivalent,425,390,82,229,918
Brooks,Asian,bivalent,9,7,0,3,62
Brooks,Black,bivalent,7,4,0,0,45
Brooks,Hispanic,bivalent,30106,5383,224,1205,6364
Brooks,Other,bivalent,741,648,344,441,226
Brooks,Unknown,bivalent,1089,96,0,3,
Brooks,White,bivalent,1408,1221,47,557,478
Brown,Asian,bivalent,129,115,11,45,257
Brown,Black,bivalent,514,471,0,195,1381
Brown,Hispanic,bivalent,3316,2892,458,932,9110
Brown,Other,bivalent,3616,3229,1198,1551,2656
Brown,Unknown,bivalent,1550,1346,0,282,
Brown,White,bivalent,9021,8168,936,3317,26710
Burleson,Asian,bivalent,53,52,2,25,96
Burleson,Black,bivalent,972,899,133,443,2065
Burleson,Hispanic,bivalent,1654,1466,456,574,3954
Burleson,Other,bivalent,1324,1215,605,660,1468
Burleson,Unknown,bivalent,575,414,0,68,
Burleson,White,bivalent,5481,5067,656,2298,11565
Burnet,Asian,bivalent,248,214,0,93,475
Burnet,Black,bivalent,373,318,22,115,893
Burnet,Hispanic,bivalent,4202,3570,957,1129,11712
Burnet,Other,bivalent,7341,6759,3583,3952,3486
Burnet,Unknown,bivalent,909,654,0,130,
Burnet,White,bivalent,16727,15082,3136,7323,36975
Caldwell,Asian,bivalent,119,105,27,59,418
Caldwell,Black,bivalent,881,798,222,369,2555
Caldwell,Hispanic,bivalent,12127,10069,2965,3867,25972
Caldwell,Other,bivalent,5732,5021,1731,2572,3861
Caldwell,Unknown,bivalent,1990,1481,0,361,
Caldwell,White,bivalent,8798,7806,1709,3754,17218
Calhoun,Asian,bivalent,731,664,54,302,1035
Calhoun,Black,bivalent,190,157,0,82,469
Calhoun,Hispanic,bivalent,5428,4734,730,1806,9956
Calhoun,Other,bivalent,1621,1497,612,801,1220
Calhoun,Unknown,bivalent,465,309,0,77,
Calhoun,White,bivalent,4699,4180,706,2017,8032
Callahan,Asian,bivalent,39,35,5,15,99
Callahan,Black,bivalent,29,17,10,4,232
Callahan,Hispanic,bivalent,490,428,78,156,1568
Callahan,Other,bivalent,614,561,198,263,1204
Callahan,Unknown,bivalent,372,321,0,79,
Callahan,White,bivalent,4453,4029,900,1820,11862
Cameron,Asian,bivalent,1077,896,76,423,2804
Cameron,Black,bivalent,728,605,40,184,1917
Cameron,Hispanic,bivalent,337265,262592,58151,113821,380826
Cameron,Other,bivalent,43532,34290,15625,19569,11694
Cameron,Unknown,bivalent,48374,15466,19697,4765,
Cameron,White,bivalent,56639,43859,5179,20539,35893
Camp,Asian,bivalent,57,48,8,23,123
Camp,Black,bivalent,885,748,111,381,1872
Camp,Hispanic,bivalent,1538,1258,151,306,3407
Camp,Other,bivalent,905,828,288,423,1347
Camp,Unknown,bivalent,172,132,0,23,
Camp,White,bivalent,3094,2719,518,1244,6862
Carson,Asian,bivalent,18,16,5,10,34
Carson,Black,bivalent,7,6,1,3,78
Carson,Hispanic,bivalent,220,180,25,60,626
Carson,Other,bivalent,296,264,101,130,529
Carson,Unknown,bivalent,133,106,0,30,
Carson,White,bivalent,1705,1525,241,643,4822
Cass,Asian,bivalent,59,48,0,14,184
Cass,Black,bivalent,1827,1581,190,691,4695
Cass,Hispanic,bivalent,736,621,26,237,1613
Cass,Other,bivalent,1765,1637,468,743,2109
Cass,Unknown,bivalent,499,290,44,52,
Cass,White,bivalent,7322,6490,925,2788,21427
Castro,Asian,bivalent,10,10,2,5,46
Castro,Black,bivalent,41,38,9,18,140
Castro,Hispanic,bivalent,2484,2053,278,790,4898
Castro,Other,bivalent,223,184,45,69,491
Castro,Unknown,bivalent,172,124,0,20,
Castro,White,bivalent,994,890,124,461,2213
Chambers,Asian,bivalent,434,389,0,188,656
Chambers,Black,bivalent,1791,1587,180,727,3799
Chambers,Hispanic,bivalent,5411,4623,1043,1528,12843
Chambers,Other,bivalent,4206,3855,1692,1805,3192
Chambers,Unknown,bivalent,633,475,0,89,
Chambers,White,bivalent,12805,11473,659,4334,30791
Cherokee,Asian,bivalent,130,109,9,54,254
Cherokee,Black,bivalent,2764,2464,327,1213,6905
Cherokee,Hispanic,bivalent,5559,4759,408,1299,12548
Cherokee,Other,bivalent,3476,3156,1385,1567,4761
Cherokee,Unknown,bivalent,854,692,0,192,
Cherokee,White,bivalent,11852,10682,1286,4845,30359
Childress,Asian,bivalent,42,38,0,22,61
Childress,Black,bivalent,408,394,44,197,755
Childress,Hispanic,bivalent,697,633,72,229,2162
Childress,Other,bivalent,633,579,81,298,500
Childress,Unknown,bivalent,102,75,0,6,
Childress,White,bivalent,2176,2022,214,917,3610
Clay,Asian,bivalent,23,22,1,9,74
Clay,Black,bivalent,23,22,0,7,111
Clay,Hispanic,bivalent,259,235,116,95,748
Clay,Other,bivalent,950,882,725,497,1070
Clay,Unknown,bivalent,189,154,0,22,
Clay,White,bivalent,3568,3273,235,1386,9015
Cochran,Asian,bivalent,3,3,0,2,12
Cochran,Black,bivalent,28,24,2,7,101
Cochran,Hispanic,bivalent,703,603,91,191,1506
Cochran,Other,bivalent,92,82,26,44,253
Cochran,Unknown,bivalent,116,97,0,21,
Cochran,White,bivalent,346,310,20,112,843
Coke,Asian,bivalent,1,1,0,0,5
Coke,Black,bivalent,4,4,0,0,26
Coke,Hispanic,bivalent,235,202,34,88,749
Coke,Other,bivalent,241,219,71,124,312
Coke,Unknown,bivalent,44,33,10,16,
Coke,White,bivalent,942,853,57,404,2449
Coleman,Asian,bivalent,22,16,11,10,84
Coleman,Black,bivalent,33,29,7,10,241
Coleman,Hispanic,bivalent,350,311,40,128,1442
Coleman,Other,bivalent,336,293,73,129,708
Coleman,Unknown,bivalent,1157,1007,0,374,
Coleman,White,bivalent,1630,1502,431,757,5793
Collin,Asian,bivalent,141361,120876,15627,62018,192738
Collin,Black,bivalent,58547,51236,5602,21027,122788
Collin,Hispanic,bivalent,117628,98756,18996,37131,175799
Collin,Other,bivalent,178736,164560,91274,98698,117213
Collin,Unknown,bivalent,26528,18324,0,2926,
Collin,White,bivalent,300074,269937,39645,128611,585279
Collingsworth,Asian,bivalent,4,4,0,3,4
Collingsworth,Black,bivalent,35,28,2,11,142
Collingsworth,Hispanic,bivalent,249,193,14,56,919
Collingsworth,Other,bivalent,79,67,26,37,286
Collingsworth,Unknown,bivalent,65,49,0,14,
Collingsworth,White,bivalent,702,640,179,382,1461
Colorado,Asian,bivalent,77,67,7,35,121
Colorado,Black,bivalent,1135,1018,237,521,2294
Colorado,Hispanic,bivalent,3050,2630,462,925,6644
Colorado,Other,bivalent,1619,1468,579,879,1796
Colorado,Unknown,bivalent,950,796,0,259,
Colorado,White,bivalent,6112,5527,1324,2857,11174
