Public Health Region (PHR),County Name,Age Group,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,Date,County,People Vaccinated with at Least One Dose
NA,Brooks,80+ years,340,218,122,2021-03-14,NA,NA
NA,Brown,16-49 years,1424,883,554,2021-03-14,NA,NA
NA,Brown,50-64 years,1559,1074,512,2021-03-14,NA,NA
NA,Brown,65-79 years,2824,2112,744,2021-03-14,NA,NA
NA,Brown,80+ years,925,697,232,2021-03-14,NA,NA
NA,Burleson,16-49 years,699,466,248,2021-03-14,NA,NA
NA,Burleson,50-64 years,1198,842,407,2021-03-14,NA,NA
NA,Burleson,65-79 years,2055,1429,668,2021-03-14,NA,NA
NA,Burleson,80+ years,643,455,203,2021-03-14,NA,NA
NA,Burnet,16-49 years,1551,981,609,2021-03-14,NA,NA
NA,Burnet,50-64 years,2162,1493,740,2021-03-14,NA,NA
NA,Burnet,65-79 years,5868,4178,1765,2021-03-14,NA,NA
NA,Burnet,80+ years,2184,1454,743,2021-03-14,NA,NA
NA,Caldwell,16-49 years,2098,1458,754,2021-03-14,NA,NA
NA,Caldwell,50-64 years,2027,1486,649,2021-03-14,NA,NA
NA,Caldwell,65-79 years,2834,2060,885,2021-03-14,NA,NA
NA,Caldwell,80+ years,868,605,304,2021-03-14,NA,NA
NA,Caldwell,Unknown,5,4,1,2021-03-14,NA,NA
NA,Calhoun,16-49 years,895,620,327,2021-03-14,NA,NA
NA,Calhoun,50-64 years,1049,739,354,2021-03-14,NA,NA
NA,Calhoun,65-79 years,1722,1233,544,2021-03-14,NA,NA
NA,Calhoun,80+ years,620,419,218,2021-03-14,NA,NA
NA,Calhoun,Unknown,3,2,1,2021-03-14,NA,NA
NA,Callahan,16-49 years,680,426,257,2021-03-14,NA,NA
NA,Callahan,50-64 years,844,568,282,2021-03-14,NA,NA
NA,Callahan,65-79 years,1239,880,367,2021-03-14,NA,NA
NA,Callahan,80+ years,425,295,130,2021-03-14,NA,NA
NA,Cameron,16-49 years,50592,34360,17481,2021-03-14,NA,NA
NA,Cameron,50-64 years,35582,23989,12422,2021-03-14,NA,NA
NA,Cameron,65-79 years,45166,26891,18767,2021-03-14,NA,NA
NA,Cameron,80+ years,11623,7219,4567,2021-03-14,NA,NA
NA,Cameron,Unknown,118,90,32,2021-03-14,NA,NA
NA,Camp,16-49 years,458,291,175,2021-03-14,NA,NA
NA,Camp,50-64 years,567,390,182,2021-03-14,NA,NA
NA,Camp,65-79 years,1206,801,418,2021-03-14,NA,NA
NA,Camp,80+ years,384,250,134,2021-03-14,NA,NA
NA,Carson,16-49 years,338,220,119,2021-03-14,NA,NA
NA,Carson,50-64 years,500,325,175,2021-03-14,NA,NA
NA,Carson,65-79 years,699,403,297,2021-03-14,NA,NA
NA,Carson,80+ years,241,147,94,2021-03-14,NA,NA
NA,Cass,16-49 years,635,431,216,2021-03-14,NA,NA
NA,Cass,50-64 years,1035,761,291,2021-03-14,NA,NA
NA,Cass,65-79 years,1879,1405,557,2021-03-14,NA,NA
NA,Cass,80+ years,568,441,150,2021-03-14,NA,NA
NA,Castro,16-49 years,484,351,138,2021-03-14,NA,NA
NA,Castro,50-64 years,594,403,195,2021-03-14,NA,NA
NA,Castro,65-79 years,890,513,384,2021-03-14,NA,NA
NA,Castro,80+ years,386,224,164,2021-03-14,NA,NA
NA,Chambers,16-49 years,2267,1573,707,2021-03-14,NA,NA
NA,Chambers,50-64 years,2360,1712,661,2021-03-14,NA,NA
NA,Chambers,65-79 years,3733,2397,1342,2021-03-14,NA,NA
NA,Chambers,80+ years,897,521,376,2021-03-14,NA,NA
NA,Chambers,Unknown,9,8,1,2021-03-14,NA,NA
NA,Cherokee,16-49 years,1965,1168,826,2021-03-14,NA,NA
NA,Cherokee,50-64 years,2377,1464,975,2021-03-14,NA,NA
NA,Cherokee,65-79 years,4172,2596,1661,2021-03-14,NA,NA
NA,Cherokee,80+ years,1288,794,523,2021-03-14,NA,NA
NA,Cherokee,Unknown,13,11,2,2021-03-14,NA,NA
NA,Childress,16-49 years,654,432,229,2021-03-14,NA,NA
NA,Childress,50-64 years,526,372,162,2021-03-14,NA,NA
NA,Childress,65-79 years,697,442,260,2021-03-14,NA,NA
NA,Childress,80+ years,279,177,102,2021-03-14,NA,NA
NA,Clay,16-49 years,772,455,321,2021-03-14,NA,NA
NA,Clay,50-64 years,1364,750,618,2021-03-14,NA,NA
NA,Clay,65-79 years,2091,1129,969,2021-03-14,NA,NA
NA,Clay,80+ years,605,326,280,2021-03-14,NA,NA
NA,Cochran,16-49 years,304,237,73,2021-03-14,NA,NA
NA,Cochran,50-64 years,337,248,102,2021-03-14,NA,NA
NA,Cochran,65-79 years,295,186,114,2021-03-14,NA,NA
NA,Cochran,80+ years,96,62,36,2021-03-14,NA,NA
NA,Coke,16-49 years,115,91,24,2021-03-14,NA,NA
NA,Coke,50-64 years,264,193,72,2021-03-14,NA,NA
NA,Coke,65-79 years,471,307,165,2021-03-14,NA,NA
NA,Coke,80+ years,210,146,64,2021-03-14,NA,NA
NA,Coleman,16-49 years,290,181,110,2021-03-14,NA,NA
NA,Coleman,50-64 years,409,278,137,2021-03-14,NA,NA
NA,Coleman,65-79 years,776,552,226,2021-03-14,NA,NA
NA,Coleman,80+ years,283,200,83,2021-03-14,NA,NA
NA,Collin,16-49 years,107217,72065,37007,2021-03-14,NA,NA
NA,Collin,50-64 years,81748,55568,27445,2021-03-14,NA,NA
NA,Collin,65-79 years,101547,61086,40820,2021-03-14,NA,NA
NA,Collin,80+ years,24947,15415,9608,2021-03-14,NA,NA
NA,Collin,Unknown,154,137,17,2021-03-14,NA,NA
NA,Collingsworth,16-49 years,168,106,62,2021-03-14,NA,NA
NA,Collingsworth,50-64 years,272,177,96,2021-03-14,NA,NA
NA,Collingsworth,65-79 years,396,232,164,2021-03-14,NA,NA
NA,Collingsworth,80+ years,173,96,77,2021-03-14,NA,NA
NA,Colorado,16-49 years,918,598,386,2021-03-14,NA,NA
NA,Colorado,50-64 years,1568,1077,609,2021-03-14,NA,NA
NA,Colorado,65-79 years,3258,2074,1302,2021-03-14,NA,NA
NA,Colorado,80+ years,1106,675,464,2021-03-14,NA,NA
NA,Comal,16-49 years,11630,7631,4288,2021-03-14,NA,NA
NA,Comal,50-64 years,11222,7325,4146,2021-03-14,NA,NA
NA,Comal,65-79 years,19233,11909,7522,2021-03-14,NA,NA
NA,Comal,80+ years,4386,2867,1570,2021-03-14,NA,NA
NA,Comal,Unknown,14,12,4,2021-03-14,NA,NA
NA,Comanche,16-49 years,598,386,225,2021-03-14,NA,NA
NA,Comanche,50-64 years,1022,759,325,2021-03-14,NA,NA
NA,Comanche,65-79 years,1949,1331,671,2021-03-14,NA,NA
NA,Comanche,80+ years,800,493,319,2021-03-14,NA,NA
NA,Concho,16-49 years,151,105,47,2021-03-14,NA,NA
NA,Concho,50-64 years,222,158,65,2021-03-14,NA,NA
NA,Concho,65-79 years,495,303,196,2021-03-14,NA,NA
NA,Concho,80+ years,184,108,78,2021-03-14,NA,NA
NA,Cooke,16-49 years,1460,949,553,2021-03-14,NA,NA
NA,Cooke,50-64 years,2143,1430,746,2021-03-14,NA,NA
NA,Cooke,65-79 years,4229,2725,1520,2021-03-14,NA,NA
NA,Cooke,80+ years,1462,931,538,2021-03-14,NA,NA
NA,Cooke,Unknown,6,4,2,2021-03-14,NA,NA
NA,Coryell,16-49 years,2956,1905,1073,2021-03-14,NA,NA
NA,Coryell,50-64 years,2820,1832,1019,2021-03-14,NA,NA
NA,Coryell,65-79 years,4067,2582,1536,2021-03-14,NA,NA
NA,Coryell,80+ years,1414,862,555,2021-03-14,NA,NA
NA,Coryell,Unknown,13,13,0,2021-03-14,NA,NA
NA,Cottle,16-49 years,53,39,14,2021-03-14,NA,NA
NA,Cottle,50-64 years,149,111,38,2021-03-14,NA,NA
NA,Cottle,65-79 years,173,126,47,2021-03-14,NA,NA
NA,Cottle,80+ years,60,46,14,2021-03-14,NA,NA
NA,Crane,16-49 years,571,357,214,2021-03-14,NA,NA
NA,Crane,50-64 years,466,282,184,2021-03-14,NA,NA
NA,Crane,65-79 years,424,254,170,2021-03-14,NA,NA
NA,Crane,80+ years,123,70,53,2021-03-14,NA,NA
NA,Crockett,16-49 years,272,173,99,2021-03-14,NA,NA
NA,Crockett,50-64 years,382,239,143,2021-03-14,NA,NA
NA,Crockett,65-79 years,492,297,195,2021-03-14,NA,NA
NA,Crockett,80+ years,130,75,55,2021-03-14,NA,NA
NA,Crosby,16-49 years,583,362,222,2021-03-14,NA,NA
NA,Crosby,50-64 years,775,469,307,2021-03-14,NA,NA
NA,Crosby,65-79 years,876,493,384,2021-03-14,NA,NA
NA,Crosby,80+ years,319,180,142,2021-03-14,NA,NA
NA,Culberson,16-49 years,231,179,52,2021-03-14,NA,NA
NA,Culberson,50-64 years,262,192,70,2021-03-14,NA,NA
NA,Culberson,65-79 years,320,193,127,2021-03-14,NA,NA
NA,Culberson,80+ years,71,39,32,2021-03-14,NA,NA
NA,Dallam,16-49 years,1601,979,622,2021-03-14,NA,NA
NA,Dallam,50-64 years,772,461,315,2021-03-14,NA,NA
NA,Dallam,65-79 years,591,346,246,2021-03-14,NA,NA
NA,Dallam,80+ years,238,136,102,2021-03-14,NA,NA
NA,Dallas,16-49 years,230900,160818,78174,2021-03-14,NA,NA
NA,Dallas,50-64 years,170644,121295,54185,2021-03-14,NA,NA
NA,Dallas,65-79 years,211397,128174,84795,2021-03-14,NA,NA
NA,Dallas,80+ years,57294,35534,22137,2021-03-14,NA,NA
NA,Dallas,Unknown,180,158,23,2021-03-14,NA,NA
NA,Dawson,16-49 years,402,259,144,2021-03-14,NA,NA
NA,Dawson,50-64 years,596,392,207,2021-03-14,NA,NA
NA,Dawson,65-79 years,879,558,322,2021-03-14,NA,NA
NA,Dawson,80+ years,304,196,108,2021-03-14,NA,NA
NA,Dawson,Unknown,4,3,1,2021-03-14,NA,NA
NA,Deaf Smith,16-49 years,1040,709,350,2021-03-14,NA,NA
NA,Deaf Smith,50-64 years,1262,851,446,2021-03-14,NA,NA
NA,Deaf Smith,65-79 years,1479,906,592,2021-03-14,NA,NA
NA,Deaf Smith,80+ years,548,335,216,2021-03-14,NA,NA
NA,Delta,16-49 years,188,118,72,2021-03-14,NA,NA
NA,Delta,50-64 years,242,165,83,2021-03-14,NA,NA
NA,Delta,65-79 years,588,384,212,2021-03-14,NA,NA
NA,Delta,80+ years,197,124,77,2021-03-14,NA,NA
NA,Denton,16-49 years,77770,49582,29300,2021-03-14,NA,NA
NA,Denton,50-64 years,58283,37423,21669,2021-03-14,NA,NA
NA,Denton,65-79 years,78866,45224,33942,2021-03-14,NA,NA
NA,Denton,80+ years,17107,10101,7091,2021-03-14,NA,NA
NA,Denton,Unknown,28,26,2,2021-03-14,NA,NA
NA,DeWitt,16-49 years,750,522,238,2021-03-14,NA,NA
NA,DeWitt,50-64 years,1172,875,306,2021-03-14,NA,NA
NA,DeWitt,65-79 years,1859,1359,503,2021-03-14,NA,NA
NA,DeWitt,80+ years,600,438,166,2021-03-14,NA,NA
NA,Dickens,16-49 years,73,52,21,2021-03-14,NA,NA
NA,Dickens,50-64 years,154,103,52,2021-03-14,NA,NA
NA,Dickens,65-79 years,305,196,109,2021-03-14,NA,NA
NA,Dickens,80+ years,105,67,38,2021-03-14,NA,NA
NA,Dimmit,16-49 years,2000,1224,779,2021-03-14,NA,NA
NA,Dimmit,50-64 years,1619,954,665,2021-03-14,NA,NA
NA,Dimmit,65-79 years,1551,886,665,2021-03-14,NA,NA
NA,Dimmit,80+ years,368,214,154,2021-03-14,NA,NA
NA,Dimmit,Unknown,6,6,0,2021-03-14,NA,NA
NA,Donley,16-49 years,164,134,31,2021-03-14,NA,NA
NA,Donley,50-64 years,277,224,56,2021-03-14,NA,NA
NA,Donley,65-79 years,480,345,135,2021-03-14,NA,NA
NA,Donley,80+ years,202,128,74,2021-03-14,NA,NA
NA,Duval,16-49 years,1384,989,456,2021-03-14,NA,NA
NA,Duval,50-64 years,1467,976,541,2021-03-14,NA,NA
NA,Duval,65-79 years,1505,900,630,2021-03-14,NA,NA
NA,Duval,80+ years,463,283,192,2021-03-14,NA,NA
NA,Eastland,16-49 years,859,593,271,2021-03-14,NA,NA
NA,Eastland,50-64 years,1071,806,285,2021-03-14,NA,NA
NA,Eastland,65-79 years,1541,1180,378,2021-03-14,NA,NA
NA,Eastland,80+ years,664,487,182,2021-03-14,NA,NA
NA,Ector,16-49 years,16967,11828,5248,2021-03-14,NA,NA
NA,Ector,50-64 years,13704,9213,4587,2021-03-14,NA,NA
NA,Ector,65-79 years,10905,6984,3995,2021-03-14,NA,NA
NA,Ector,80+ years,2931,1918,1039,2021-03-14,NA,NA
NA,Ector,Unknown,15,13,2,2021-03-14,NA,NA
NA,Edwards,16-49 years,135,124,11,2021-03-14,NA,NA
NA,Edwards,50-64 years,188,170,18,2021-03-14,NA,NA
NA,Edwards,65-79 years,335,255,80,2021-03-14,NA,NA
NA,Edwards,80+ years,119,82,37,2021-03-14,NA,NA
NA,El Paso,16-49 years,109016,68889,41368,2021-03-14,NA,NA
NA,El Paso,50-64 years,70804,46011,25735,2021-03-14,NA,NA
NA,El Paso,65-79 years,74870,48731,26764,2021-03-14,NA,NA
NA,El Paso,80+ years,25821,16696,9250,2021-03-14,NA,NA
NA,El Paso,Unknown,250,189,62,2021-03-14,NA,NA
NA,Ellis,16-49 years,13213,8971,4724,2021-03-14,NA,NA
NA,Ellis,50-64 years,12543,9339,3608,2021-03-14,NA,NA
NA,Ellis,65-79 years,20000,12068,8098,2021-03-14,NA,NA
NA,Ellis,80+ years,5213,3197,2057,2021-03-14,NA,NA
NA,Ellis,Unknown,12,9,3,2021-03-14,NA,NA
NA,Erath,16-49 years,2127,1558,633,2021-03-14,NA,NA
NA,Erath,50-64 years,2318,1803,584,2021-03-14,NA,NA
NA,Erath,65-79 years,3720,2619,1132,2021-03-14,NA,NA
NA,Erath,80+ years,1477,887,597,2021-03-14,NA,NA
NA,Falls,16-49 years,737,485,268,2021-03-14,NA,NA
NA,Falls,50-64 years,1095,710,398,2021-03-14,NA,NA
NA,Falls,65-79 years,1734,1036,709,2021-03-14,NA,NA
NA,Falls,80+ years,544,324,222,2021-03-14,NA,NA
NA,Fannin,16-49 years,1443,914,557,2021-03-14,NA,NA
NA,Fannin,50-64 years,2155,1408,804,2021-03-14,NA,NA
NA,Fannin,65-79 years,3602,2313,1360,2021-03-14,NA,NA
NA,Fannin,80+ years,1329,845,497,2021-03-14,NA,NA
NA,Fayette,16-49 years,894,603,311,2021-03-14,NA,NA
NA,Fayette,50-64 years,1298,898,430,2021-03-14,NA,NA
NA,Fayette,65-79 years,3167,2135,1061,2021-03-14,NA,NA
NA,Fayette,80+ years,1058,711,358,2021-03-14,NA,NA
NA,Fisher,16-49 years,116,81,37,2021-03-14,NA,NA
NA,Fisher,50-64 years,225,147,79,2021-03-14,NA,NA
NA,Fisher,65-79 years,469,287,189,2021-03-14,NA,NA
NA,Fisher,80+ years,189,113,80,2021-03-14,NA,NA
NA,Floyd,16-49 years,470,328,146,2021-03-14,NA,NA
NA,Floyd,50-64 years,570,401,175,2021-03-14,NA,NA
NA,Floyd,65-79 years,733,458,276,2021-03-14,NA,NA
NA,Floyd,80+ years,342,203,139,2021-03-14,NA,NA
NA,Foard,16-49 years,89,53,37,2021-03-14,NA,NA
NA,Foard,50-64 years,202,119,84,2021-03-14,NA,NA
NA,Foard,65-79 years,208,125,84,2021-03-14,NA,NA
NA,Foard,80+ years,80,44,36,2021-03-14,NA,NA
NA,Fort Bend,16-49 years,89612,59457,32000,2021-03-14,NA,NA
NA,Fort Bend,50-64 years,67953,45410,23530,2021-03-14,NA,NA
NA,Fort Bend,65-79 years,95306,54457,41150,2021-03-14,NA,NA
NA,Fort Bend,80+ years,19124,11052,8142,2021-03-14,NA,NA
NA,Fort Bend,Unknown,71,62,10,2021-03-14,NA,NA
NA,Franklin,16-49 years,276,188,89,2021-03-14,NA,NA
NA,Franklin,50-64 years,566,388,189,2021-03-14,NA,NA
NA,Franklin,65-79 years,1164,765,408,2021-03-14,NA,NA
NA,Franklin,80+ years,447,274,174,2021-03-14,NA,NA
NA,Freestone,16-49 years,446,316,142,2021-03-14,NA,NA
NA,Freestone,50-64 years,769,553,255,2021-03-14,NA,NA
NA,Freestone,65-79 years,1413,980,479,2021-03-14,NA,NA
NA,Freestone,80+ years,425,313,127,2021-03-14,NA,NA
NA,Freestone,Unknown,2,2,1,2021-03-14,NA,NA
NA,Frio,16-49 years,1517,979,636,2021-03-14,NA,NA
NA,Frio,50-64 years,1399,881,651,2021-03-14,NA,NA
NA,Frio,65-79 years,1541,930,728,2021-03-14,NA,NA
NA,Frio,80+ years,422,256,200,2021-03-14,NA,NA
NA,Gaines,16-49 years,855,635,253,2021-03-14,NA,NA
NA,Gaines,50-64 years,795,599,227,2021-03-14,NA,NA
NA,Gaines,65-79 years,769,490,296,2021-03-14,NA,NA
NA,Gaines,80+ years,313,193,121,2021-03-14,NA,NA
NA,Galveston,16-49 years,34652,23587,12162,2021-03-14,NA,NA
NA,Galveston,50-64 years,30847,21986,9397,2021-03-14,NA,NA
NA,Galveston,65-79 years,42116,24855,17461,2021-03-14,NA,NA
NA,Galveston,80+ years,11207,6440,4824,2021-03-14,NA,NA
NA,Galveston,Unknown,26,21,5,2021-03-14,NA,NA
NA,Garza,16-49 years,232,197,39,2021-03-14,NA,NA
NA,Garza,50-64 years,341,275,67,2021-03-14,NA,NA
NA,Garza,65-79 years,458,318,143,2021-03-14,NA,NA
NA,Garza,80+ years,173,119,54,2021-03-14,NA,NA
NA,Gillespie,16-49 years,1236,768,478,2021-03-14,NA,NA
NA,Gillespie,50-64 years,1617,1026,601,2021-03-14,NA,NA
NA,Gillespie,65-79 years,5241,3223,2049,2021-03-14,NA,NA
NA,Gillespie,80+ years,2050,1210,844,2021-03-14,NA,NA
NA,Glasscock,16-49 years,253,143,110,2021-03-14,NA,NA
NA,Glasscock,50-64 years,204,115,89,2021-03-14,NA,NA
NA,Glasscock,65-79 years,156,86,71,2021-03-14,NA,NA
NA,Glasscock,80+ years,60,30,30,2021-03-14,NA,NA
NA,Goliad,16-49 years,394,252,144,2021-03-14,NA,NA
NA,Goliad,50-64 years,673,424,254,2021-03-14,NA,NA
NA,Goliad,65-79 years,1177,666,513,2021-03-14,NA,NA
NA,Goliad,80+ years,370,209,163,2021-03-14,NA,NA
NA,Gonzales,16-49 years,1331,999,599,2021-03-14,NA,NA
NA,Gonzales,50-64 years,1519,1185,619,2021-03-14,NA,NA
NA,Gonzales,65-79 years,2155,1439,841,2021-03-14,NA,NA
NA,Gonzales,80+ years,883,544,372,2021-03-14,NA,NA
NA,Gray,16-49 years,1034,700,336,2021-03-14,NA,NA
NA,Gray,50-64 years,1073,740,340,2021-03-14,NA,NA
NA,Gray,65-79 years,1637,1091,552,2021-03-14,NA,NA
NA,Gray,80+ years,662,440,224,2021-03-14,NA,NA
NA,Grayson,16-49 years,6542,4049,2741,2021-03-14,NA,NA
NA,Grayson,50-64 years,6986,4561,2769,2021-03-14,NA,NA
NA,Grayson,65-79 years,11203,7459,4156,2021-03-14,NA,NA
NA,Grayson,80+ years,3722,2468,1381,2021-03-14,NA,NA
NA,Grayson,Unknown,24,21,3,2021-03-14,NA,NA
NA,Gregg,16-49 years,7372,4560,2850,2021-03-14,NA,NA
NA,Gregg,50-64 years,7986,4963,3065,2021-03-14,NA,NA
NA,Gregg,65-79 years,11251,6831,4452,2021-03-14,NA,NA
NA,Gregg,80+ years,4043,2493,1557,2021-03-14,NA,NA
NA,Gregg,Unknown,22,19,3,2021-03-14,NA,NA
NA,Grimes,16-49 years,1044,706,361,2021-03-14,NA,NA
NA,Grimes,50-64 years,1434,1040,411,2021-03-14,NA,NA
NA,Grimes,65-79 years,2681,1856,850,2021-03-14,NA,NA
NA,Grimes,80+ years,718,483,235,2021-03-14,NA,NA
NA,Guadalupe,16-49 years,12458,8398,5056,2021-03-14,NA,NA
NA,Guadalupe,50-64 years,10510,7226,4111,2021-03-14,NA,NA
NA,Guadalupe,65-79 years,12885,8343,5007,2021-03-14,NA,NA
NA,Guadalupe,80+ years,3281,2131,1260,2021-03-14,NA,NA
NA,Guadalupe,Unknown,19,16,3,2021-03-14,NA,NA
NA,Hale,16-49 years,1993,1366,678,2021-03-14,NA,NA
NA,Hale,50-64 years,2086,1501,651,2021-03-14,NA,NA
NA,Hale,65-79 years,2598,1731,907,2021-03-14,NA,NA
NA,Hale,80+ years,863,585,288,2021-03-14,NA,NA
NA,Hall,16-49 years,190,119,73,2021-03-14,NA,NA
NA,Hall,50-64 years,316,200,118,2021-03-14,NA,NA
NA,Hall,65-79 years,536,306,231,2021-03-14,NA,NA
NA,Hall,80+ years,187,110,77,2021-03-14,NA,NA
NA,Hamilton,16-49 years,480,348,167,2021-03-14,NA,NA
NA,Hamilton,50-64 years,628,478,224,2021-03-14,NA,NA
NA,Hamilton,65-79 years,1176,828,407,2021-03-14,NA,NA
NA,Hamilton,80+ years,580,344,246,2021-03-14,NA,NA
NA,Hansford,16-49 years,347,273,112,2021-03-14,NA,NA
NA,Hansford,50-64 years,454,351,131,2021-03-14,NA,NA
NA,Hansford,65-79 years,585,364,227,2021-03-14,NA,NA
NA,Hansford,80+ years,270,159,112,2021-03-14,NA,NA
NA,Hardeman,16-49 years,454,279,187,2021-03-14,NA,NA
NA,Hardeman,50-64 years,420,241,186,2021-03-14,NA,NA
NA,Hardeman,65-79 years,713,399,317,2021-03-14,NA,NA
NA,Hardeman,80+ years,193,109,87,2021-03-14,NA,NA
NA,Hardin,16-49 years,2792,1900,899,2021-03-14,NA,NA
NA,Hardin,50-64 years,3499,2391,1120,2021-03-14,NA,NA
NA,Hardin,65-79 years,5788,3734,2067,2021-03-14,NA,NA
NA,Hardin,80+ years,1924,1238,689,2021-03-14,NA,NA
NA,Harris,16-49 years,385781,266939,128277,2021-03-14,NA,NA
NA,Harris,50-64 years,290215,209936,85405,2021-03-14,NA,NA
NA,Harris,65-79 years,377175,242032,137225,2021-03-14,NA,NA
NA,Harris,80+ years,97797,60839,37470,2021-03-14,NA,NA
NA,Harris,Unknown,323,275,49,2021-03-14,NA,NA
NA,Harrison,16-49 years,2392,1567,938,2021-03-14,NA,NA
NA,Harrison,50-64 years,3272,2141,1259,2021-03-14,NA,NA
NA,Harrison,65-79 years,5145,3268,1995,2021-03-14,NA,NA
NA,Harrison,80+ years,1519,960,591,2021-03-14,NA,NA
NA,Harrison,Unknown,5,5,1,2021-03-14,NA,NA
NA,Hartley,16-49 years,1186,813,376,2021-03-14,NA,NA
NA,Hartley,50-64 years,687,450,237,2021-03-14,NA,NA
NA,Hartley,65-79 years,610,371,239,2021-03-14,NA,NA
NA,Hartley,80+ years,193,116,77,2021-03-14,NA,NA
NA,Haskell,16-49 years,429,334,98,2021-03-14,NA,NA
NA,Haskell,50-64 years,468,338,133,2021-03-14,NA,NA
NA,Haskell,65-79 years,751,494,262,2021-03-14,NA,NA
NA,Haskell,80+ years,357,220,138,2021-03-14,NA,NA
NA,Hays,16-49 years,20653,14594,6841,2021-03-14,NA,NA
NA,Hays,50-64 years,13232,9525,4215,2021-03-14,NA,NA
NA,Hays,65-79 years,19311,12711,6941,2021-03-14,NA,NA
NA,Hays,80+ years,4477,2891,1655,2021-03-14,NA,NA
NA,Hays,Unknown,48,38,10,2021-03-14,NA,NA
NA,Hemphill,16-49 years,460,297,215,2021-03-14,NA,NA
NA,Hemphill,50-64 years,387,243,172,2021-03-14,NA,NA
NA,Hemphill,65-79 years,506,287,227,2021-03-14,NA,NA
NA,Hemphill,80+ years,159,85,74,2021-03-14,NA,NA
NA,Henderson,16-49 years,2280,1472,853,2021-03-14,NA,NA
NA,Henderson,50-64 years,3876,2656,1326,2021-03-14,NA,NA
NA,Henderson,65-79 years,7870,5174,2901,2021-03-14,NA,NA
NA,Henderson,80+ years,2448,1607,906,2021-03-14,NA,NA
NA,Henderson,Unknown,6,5,1,2021-03-14,NA,NA
NA,Hidalgo,16-49 years,102082,65933,38253,2021-03-14,NA,NA
NA,Hidalgo,50-64 years,60205,39125,22085,2021-03-14,NA,NA
NA,Hidalgo,65-79 years,59779,37474,22785,2021-03-14,NA,NA
NA,Hidalgo,80+ years,16079,10222,5986,2021-03-14,NA,NA
NA,Hidalgo,Unknown,91,74,17,2021-03-14,NA,NA
NA,Hill,16-49 years,1256,844,441,2021-03-14,NA,NA
NA,Hill,50-64 years,2012,1408,738,2021-03-14,NA,NA
NA,Hill,65-79 years,4030,2649,1556,2021-03-14,NA,NA
NA,Hill,80+ years,1366,876,537,2021-03-14,NA,NA
NA,Hockley,16-49 years,1974,1252,768,2021-03-14,NA,NA
NA,Hockley,50-64 years,2026,1310,762,2021-03-14,NA,NA
NA,Hockley,65-79 years,2258,1373,918,2021-03-14,NA,NA
NA,Hockley,80+ years,725,436,291,2021-03-14,NA,NA
NA,Hood,16-49 years,2908,1967,968,2021-03-14,NA,NA
NA,Hood,50-64 years,4352,3146,1258,2021-03-14,NA,NA
NA,Hood,65-79 years,9728,6625,3159,2021-03-14,NA,NA
NA,Hood,80+ years,3245,2198,1069,2021-03-14,NA,NA
NA,Hood,Unknown,14,13,1,2021-03-14,NA,NA
NA,Hopkins,16-49 years,1213,728,489,2021-03-14,NA,NA
NA,Hopkins,50-64 years,1560,978,596,2021-03-14,NA,NA
NA,Hopkins,65-79 years,2896,1818,1104,2021-03-14,NA,NA
NA,Hopkins,80+ years,1158,709,460,2021-03-14,NA,NA
NA,Houston,16-49 years,636,467,215,2021-03-14,NA,NA
NA,Houston,50-64 years,1034,779,305,2021-03-14,NA,NA
NA,Houston,65-79 years,2019,1420,670,2021-03-14,NA,NA
NA,Houston,80+ years,741,498,259,2021-03-14,NA,NA
NA,Howard,16-49 years,1762,1076,700,2021-03-14,NA,NA
NA,Howard,50-64 years,1647,1006,652,2021-03-14,NA,NA
NA,Howard,65-79 years,1830,1100,736,2021-03-14,NA,NA
NA,Howard,80+ years,597,355,243,2021-03-14,NA,NA
NA,Howard,Unknown,5,3,2,2021-03-14,NA,NA
NA,Hudspeth,16-49 years,608,377,231,2021-03-14,NA,NA
NA,Hudspeth,50-64 years,300,213,87,2021-03-14,NA,NA
NA,Hudspeth,65-79 years,382,236,146,2021-03-14,NA,NA
NA,Hudspeth,80+ years,75,49,26,2021-03-14,NA,NA
NA,Hunt,16-49 years,3659,2476,1249,2021-03-14,NA,NA
NA,Hunt,50-64 years,4700,3295,1499,2021-03-14,NA,NA
NA,Hunt,65-79 years,8006,5088,3004,2021-03-14,NA,NA
NA,Hunt,80+ years,2560,1649,944,2021-03-14,NA,NA
NA,Hunt,Unknown,12,7,5,2021-03-14,NA,NA
NA,Hutchinson,16-49 years,1090,840,250,2021-03-14,NA,NA
NA,Hutchinson,50-64 years,1475,1044,431,2021-03-14,NA,NA
NA,Hutchinson,65-79 years,2030,1258,775,2021-03-14,NA,NA
NA,Hutchinson,80+ years,592,370,223,2021-03-14,NA,NA
NA,Irion,16-49 years,89,71,18,2021-03-14,NA,NA
NA,Irion,50-64 years,174,132,43,2021-03-14,NA,NA
NA,Irion,65-79 years,218,133,85,2021-03-14,NA,NA
NA,Irion,80+ years,60,39,21,2021-03-14,NA,NA
NA,Jack,16-49 years,436,304,133,2021-03-14,NA,NA
NA,Jack,50-64 years,589,417,175,2021-03-14,NA,NA
NA,Jack,65-79 years,867,564,307,2021-03-14,NA,NA
NA,Jack,80+ years,427,254,175,2021-03-14,NA,NA
NA,Jack,Unknown,10,6,4,2021-03-14,NA,NA
NA,Jackson,16-49 years,875,505,381,2021-03-14,NA,NA
