"County","Date","TPR_CMS","Tests"
"Floyd",2020-09-02,0.08,NA
"Foard",2020-09-02,NA,NA
"Fort Bend",2020-09-02,0.066,NA
"Franklin",2020-09-02,0.013,NA
"Freestone",2020-09-02,0.065,NA
"Frio",2020-09-02,0.209,NA
"Gaines",2020-09-02,0,NA
"Galveston",2020-09-02,0.069,NA
"Garza",2020-09-02,NA,NA
"Gillespie",2020-09-02,0.073,NA
"Glasscock",2020-09-02,NA,NA
"Goliad",2020-09-02,0.154,NA
"Gonzales",2020-09-02,0.149,NA
"Gray",2020-09-02,0.104,NA
"Grayson",2020-09-02,0.106,NA
"Gregg",2020-09-02,0.095,NA
"Grimes",2020-09-02,0.018,NA
"Guadalupe",2020-09-02,0.045,NA
"Hale",2020-09-02,0.098,NA
"Hall",2020-09-02,NA,NA
"Hamilton",2020-09-02,0,NA
"Hansford",2020-09-02,NA,NA
"Hardeman",2020-09-02,NA,NA
"Hardin",2020-09-02,0.138,NA
"Harris",2020-09-02,0.074,NA
"Harrison",2020-09-02,0.101,NA
"Hartley",2020-09-02,NA,NA
"Haskell",2020-09-02,NA,NA
"Hays",2020-09-02,0.072,NA
"Hemphill",2020-09-02,0.036,NA
"Henderson",2020-09-02,0.116,NA
"Hidalgo",2020-09-02,0.179,NA
"Hill",2020-09-02,0.097,NA
"Hockley",2020-09-02,0.154,NA
"Hood",2020-09-02,0.02,NA
"Hopkins",2020-09-02,0.058,NA
"Houston",2020-09-02,0.234,NA
"Howard",2020-09-02,0.143,NA
"Hudspeth",2020-09-02,0.182,NA
"Hunt",2020-09-02,0.069,NA
"Hutchinson",2020-09-02,0.085,NA
"Irion",2020-09-02,0,NA
"Jack",2020-09-02,0.2,NA
"Jackson",2020-09-02,0.216,NA
"Jasper",2020-09-02,0.275,NA
"Jeff Davis",2020-09-02,0.147,NA
"Jefferson",2020-09-02,0.098,NA
"Jim Hogg",2020-09-02,0.03,NA
"Jim Wells",2020-09-02,0.149,NA
"Johnson",2020-09-02,0.087,NA
"Jones",2020-09-02,0.263,NA
"Karnes",2020-09-02,0.038,NA
"Kaufman",2020-09-02,0.073,NA
"Kendall",2020-09-02,0.043,NA
"Kenedy",2020-09-02,NA,NA
"Kent",2020-09-02,NA,NA
"Kerr",2020-09-02,0.024,NA
"Kimble",2020-09-02,0,NA
"King",2020-09-02,NA,NA
