District,Date,County,LEA,Total_Enrollment,Approximate_Enrollment,Cases_Weekly_GRADE_EE_3,Cases_Weekly_GRADE_4_6,Cases_Weekly_GRADE_7_12,Cases_Weekly_Staff,Infections_Weekly_On_Campus,Infections_Weekly_Off_Campus,Infections_Weekly_Unknown,Cases_Cumulative_GRADE_EE_3,Cases_Cumulative_GRADE_4_6,Cases_Cumulative_GRADE_7_12,Cases_Cumulative_Staff,Infections_Cumulative_On_Campus,Infections_Cumulative_Off_Campus,Infections_Cumulative_Unknown
Sweeny ISD,10/4/20,"Brazoria,Matagorda",20906,1917,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia-Brazoria ISD,10/4/20,"Brazoria,Fort Bend,Matagorda,Wharton",20907,2778,1745.68,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,5,0
Pearland ISD,10/4/20,"Brazoria,Galveston,Harris",20908,3147,1825.26,0,0,3,0,0,0,3,5,0,10,5,0,2,18
Damon ISD,10/4/20,"Brazoria,Fort Bend,Wharton",20910,98,50.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazos School For Inquiry
& Creativity",10/4/20,Brazos,21803,340,176.8,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
Arrow Academy,10/4/20,Brazos,21805,641,228.52,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
College Station ISD,10/4/20,"Brazos,Burleson,Grimes",21901,13531,9203.21,1,0,5,8,0,0,14,10,5,18,24,0,0,57
Bryan ISD,10/4/20,"Brazos,Burleson,Grimes,Leon,Madison,Robertson",21902,15508,9054.24,1,1,10,7,0,0,19,12,4,22,26,0,0,64
Terlingua Csd,10/4/20,"Brewster,Presidio",22004,101,70.7,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,3,0,0
Alpine ISD,10/4/20,"Brewster,Jeff Davis,Pecos,Presidio",22901,959,827.87,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
Marathon ISD,10/4/20,"Brewster,Pecos,Terrell",22902,60,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Vicente ISD,10/4/20,Brewster,22903,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silverton ISD,10/4/20,"Armstrong,Briscoe,Floyd,Swisher",23902,179,171.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brooks County ISD,10/4/20,"Brooks,Duval,Hidalgo,Jim Hogg,Jim Wells,Kenedy,Kleberg,Starr",24901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
Bangs ISD,10/4/20,"Brown,Coleman",25901,845,802.75,NA,NA,NA,NA,NA,NA,NA,0,1,10,5,0,0,16
Brownwood ISD,10/4/20,"Brown,Mills",25902,263,228.81,0,0,0,1,0,0,1,6,1,13,10,0,25,5
Blanket ISD,10/4/20,"Brown,Comanche",25904,143,128.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May ISD,10/4/20,"Brown,Comanche,Eastland",25905,251,237.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zephyr ISD,10/4/20,"Brown,Comanche,Mills",25906,195,177.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookesmith ISD,10/4/20,"Brown,Coleman,McCulloch,Mills,San Saba",25908,141,131.13,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
Early ISD,10/4/20,Brown,25909,1165,1048.5,0,0,1,0,0,0,1,1,0,4,1,0,2,4
Caldwell ISD,10/4/20,"Brazos,Burleson,Lee,Milam,Robertson",26901,1686,1352.85,0,0,5,1,0,0,6,0,1,12,5,0,1,17
Somerville ISD,10/4/20,"Burleson,Lee,Washington",26902,516,344.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snook ISD,10/4/20,"Brazos,Burleson,Washington",26903,500,375,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0,2
Burnet Cisd,10/4/20,"Bell,Burnet,Lampasas,Llano,San Saba,Travis,Williamson",27903,3063,2160.94,1,0,0,0,0,1,0,1,1,1,1,0,4,0
Marble Falls ISD,10/4/20,"Blanco,Burnet,Llano,Travis",27904,8162,5536.36,0,1,1,1,0,2,1,3,1,5,6,0,9,6
Lockhart ISD,10/4/20,"Bastrop,Caldwell,Hays,Travis",28902,5771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luling ISD,10/4/20,"Caldwell,Gonzales,Guadalupe",28903,1270,159.08,0,1,0,1,0,2,0,2,1,2,1,0,6,0
Prairie Lea ISD,10/4/20,"Caldwell,Guadalupe",28906,213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calhoun County ISD,10/4/20,"Aransas,Calhoun,Jackson,Matagorda,Refugio,Victoria",29901,3662,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cross Plains ISD,10/4/20,"Brown,Callahan,Coleman,Eastland",30901,360,345.6,0,0,1,0,0,1,0,1,0,1,0,0,2,0
Clyde Cisd,10/4/20,"Callahan,Coleman,Jones,Shackelford,Taylor",30902,1375,1227.83,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
Baird ISD,10/4/20,"Callahan,Coleman,Eastland,Shackelford",30903,275,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eula ISD,10/4/20,"Callahan,Shackelford,Taylor",30906,450,415.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Texas Rio
Grande Valley",10/4/20,Cameron,31505,250,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownsville ISD,10/4/20,Cameron,31901,39247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harlingen Cisd,10/4/20,"Cameron,Willacy",31903,17886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Feria ISD,10/4/20,"Cameron,Hidalgo",31905,3022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Fresnos Cisd,10/4/20,"Cameron,Willacy",31906,10329,171.33,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
Point Isabel ISD,10/4/20,"Cameron,Willacy",31909,1942,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Hondo ISD,10/4/20,"Cameron,Willacy",31911,1614,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Benito Cisd,10/4/20,Cameron,31912,8763,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Maria ISD,10/4/20,"Cameron,Hidalgo",31913,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Rosa ISD,10/4/20,"Cameron,Hidalgo",31914,936,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Texas ISD,10/4/20,Cameron,31916,4281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburg ISD,10/4/20,"Camp,Franklin,Morris,Titus,Upshur,Wood",32902,2328,1860.51,0,0,1,2,1,0,2,3,0,10,7,1,6,13
Groom ISD,10/4/20,"Armstrong,Carson,Donley,Gray",33901,140,138.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panhandle ISD,10/4/20,"Armstrong,Carson,Hutchinson,Moore,Potter,Randall",33902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Deer ISD,10/4/20,"Carson,Gray,Hutchinson,Roberts",33904,372,369.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta ISD,10/4/20,"Bowie,Cass",34901,1810,1498.28,0,0,3,4,0,4,3,3,2,17,13,0,11,24
Avinger ISD,10/4/20,"Cass,Marion,Morris",34902,144,126.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hughes Springs ISD,10/4/20,"Cass,Morris",34903,1111,1074.98,NA,NA,NA,NA,NA,NA,NA,1,0,3,0,0,4,0
Linden-Kildare Cisd,10/4/20,"Cass,Marion",34905,NA,NA,0,0,0,2,0,1,1,0,0,5,5,0,2,8
