"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Windthorst ISD",2020-11-22,5904,"434",422,NA,NA,217,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Windthorst ISD",2020-11-22,5904,"434",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,3,1,13
"Windthorst ISD Total",2020-11-22,5904,"434",422,NA,NA,434,422,NA,NA,NA,NA,NA,8,9,3,1,13
"Claude ISD",2020-11-22,6902,"316",269,NA,NA,316,269,NA,1,NA,NA,NA,NA,6,NA,NA,NA
"Claude ISD Total",2020-11-22,6902,"316",269,NA,NA,316,269,NA,1,NA,NA,NA,NA,6,NA,NA,NA
"Charlotte ISD",2020-11-22,7901,"412",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-11-22,7901,"412",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-11-22,7901,"412",350,NA,NA,182,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlotte ISD",2020-11-22,7901,"412",350,NA,NA,105,85,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Charlotte ISD",2020-11-22,7901,"412",350,NA,NA,125,105,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Charlotte ISD Total",2020-11-22,7901,"412",350,NA,NA,412,350,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,430,354,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,361,298,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,764,667,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Jourdanton ISD",2020-11-22,7902,"1562",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1
"Jourdanton ISD Total",2020-11-22,7902,"1562",1326,NA,NA,1562,1326,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,425,287,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,523,380,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,332,271,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,3
"Lytle ISD",2020-11-22,7904,"1766",1191,NA,NA,479,249,NA,NA,NA,NA,NA,9,1,0,8,2
"Lytle ISD Total",2020-11-22,7904,"1766",1191,NA,NA,1766,1191,NA,NA,NA,NA,NA,15,6,0,14,7
