County,County2,Date,sample_location,key_plot_id,population_served,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,,2022-08-14,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,60.8,-38.0,100.0
Bexar,,2022-08-14,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,69.8,-30.0,100.0
Bexar,,2022-08-14,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,85.4,-52.0,100.0
Bexar,,2022-08-15,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,60.8,-39.0,100.0
Bexar,,2022-08-15,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,69.8,-50.0,100.0
Bexar,,2022-08-15,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,85.4,-33.0,100.0
Bexar,,2022-08-16,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,56.6,-29.0,100.0
Bexar,,2022-08-16,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,68.6,-42.0,100.0
Bexar,,2022-08-16,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,77.6,-42.0,100.0
Bexar,,2022-08-17,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,56.6,19.0,100.0
Bexar,,2022-08-17,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,68.6,-28.0,100.0
Bexar,,2022-08-17,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,77.6,-71.0,100.0
Bexar,,2022-08-18,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,56.6,19.0,100.0
Bexar,,2022-08-18,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,68.6,-28.0,100.0
Bexar,,2022-08-18,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,77.6,-71.0,100.0
Bexar,,2022-08-19,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,56.6,19.0,100.0
Bexar,,2022-08-19,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,68.6,-28.0,100.0
Bexar,,2022-08-19,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,77.6,-71.0,100.0
Bexar,,2022-08-20,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,56.6,19.0,100.0
Bexar,,2022-08-20,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,68.6,-28.0,100.0
Bexar,,2022-08-20,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,77.6,-71.0,100.0
Bexar,,2022-08-21,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,45.4,-46.0,100.0
Bexar,,2022-08-21,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,59.4,-39.0,100.0
Bexar,,2022-08-21,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,72.4,-60.0,100.0
Bexar,,2022-08-22,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,45.4,-51.0,100.0
Bexar,,2022-08-22,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,59.4,-60.0,100.0
Bexar,,2022-08-22,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,72.4,-52.0,100.0
Bexar,,2022-08-23,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,43.2,-30.0,100.0
Bexar,,2022-08-23,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,62.6,-28.0,100.0
Bexar,,2022-08-23,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,66.2,-39.0,100.0
Bexar,,2022-08-24,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,43.2,-56.0,100.0
Bexar,,2022-08-24,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,62.6,35.0,100.0
Bexar,,2022-08-24,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,66.2,-12.0,100.0
Bexar,,2022-08-25,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,43.2,-56.0,100.0
Bexar,,2022-08-25,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,62.6,35.0,100.0
