County,Date,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Dallas,2022-12-08,68.20223380491437,-31.888309754281458,100.0
Dallas,2022-12-09,68.88302308265078,-31.8138495904691,100.0
Dallas,2022-12-10,68.88302308265078,-32.33507073715562,100.0
Dallas,2022-12-11,71.78220253164557,-21.831720029784066,100.0
Dallas,2022-12-12,73.03871779597915,-2.3328369322412508,100.0
Dallas,2022-12-13,72.13239166046165,45.62993298585257,100.0
Dallas,2022-12-14,72.72278629932985,93.6939687267312,100.0
Dallas,2022-12-15,73.08883097542815,147.76098287416232,100.0
Dallas,2022-12-16,72.28041697691735,146.7982129560685,100.0
Dallas,2022-12-17,72.28041697691735,146.7982129560685,100.0
Dallas,2022-12-18,70.63700446760983,129.91734921816828,100.0
Dallas,2022-12-19,70.91883618763961,20.114668652271035,100.0
Dallas,2022-12-20,71.28577885331347,-8.972449739389427,100.0
Dallas,2022-12-21,71.4346991809382,-14.860014892032762,100.0
Dallas,2022-12-22,71.4346991809382,-18.955323901712585,100.0
Dallas,2022-12-23,71.50915934475056,-17.736411020104246,100.0
Dallas,2022-12-24,71.50915934475056,-17.21518987341772,100.0
Dallas,2022-12-25,72.08533134772897,-16.82204020848846,100.0
Dallas,2022-12-26,71.98965003723008,-19.97096053611318,100.0
Dallas,2022-12-27,70.46435666418466,-28.932985852568876,100.0
Dallas,2022-12-28,70.5760469099032,-19.827252419955325,100.0
Dallas,2022-12-29,70.55291809381981,50.43633655994043,100.0
Dallas,2022-12-30,70.46959717051378,49.052866716306774,100.0
Dallas,2022-12-31,70.46959717051378,47.93596425912137,100.0
Dallas,2023-01-01,68.60923306031273,46.46835443037975,100.0
Dallas,2023-01-02,69.18004467609829,5.69620253164557,100.0
Dallas,2023-01-03,67.33380491437082,15.23752792256143,100.0
Dallas,2023-01-04,68.22732688011914,-19.093819806403573,100.0
Dallas,2023-01-05,67.93877066269546,-42.55472822040208,100.0
