Date,zipcode,population_served,positivity_rate,viral_load_log10,viral_load_pct_vs_baseline
2022-04-18,77401,19283,0.0799927669631462,12.5932979963653,47
2022-04-25,77401,19283,0.0937259590805994,12.8256522643147,80
2022-05-02,77401,19283,0.110455072748905,13.003606234695,121
2022-05-09,77401,19283,0.130767440514084,13.1237065134193,159
2022-05-16,77401,19283,0.154725625214345,13.2012240192298,190
2022-05-23,77401,19283,0.180293110856644,13.252118361711,214
2022-05-30,77401,19283,0.204908611740126,13.2923491504471,235
2022-06-06,77401,19283,0.226010842163932,13.3378759950224,260
2022-06-13,77401,19283,0.241038516427209,13.3996473397796,300
2022-06-20,77401,19283,0.247430348829098,13.468566968095,352
2022-06-27,77401,19283,0.243530595086713,13.5305274981031,406
2022-07-04,77401,19283,0.231305676589041,13.5714215479387,446
2022-07-11,77401,19283,0.213627556143039,13.5771417357363,452
2022-07-18,77401,19283,0.193368196555662,13.5338426444186,409
2022-07-25,77401,19283,0.173399560633867,13.4399003001582,329
2022-08-01,77401,19283,0.156593611184609,13.3108578056093,245
2022-08-08,77401,19283,0.145031756927971,13.1635452964289,174
2022-08-15,77401,19283,0.13763319023653,13.0147929082739,124
2022-08-22,77401,19283,0.13252654939599,12.8814307768013,91
2022-08-29,77401,19283,0.127840472692054,12.7765929690408,72
2022-09-05,77401,19283,0.121703598410426,12.6952307363289,59
2022-09-12,77401,19283,0.112244564836808,12.6267132913104,51
2022-09-19,77401,19283,0.0983792615435569,12.5604083571588,43
2022-09-26,77401,19283,0.0821725832496395,12.4856836570476,37
2022-10-03,77401,19283,0.0664766759606751,12.3921527392969,30
2022-10-10,77401,19283,0.0541436856822836,12.2826238539046,23
2022-10-17,77401,19283,0.0480257584200844,12.1795098524766,18
2022-10-24,77401,19283,0.0509750401796972,12.1068147318971,15
2022-10-31,77401,19283,0.06469467586509,12.0885424890502,15
2022-11-07,77401,19283,0.0862918059736243,12.1486971208202,17
2022-11-14,77401,19283,0.11172456990101,12.3038174845936,24
2022-11-21,77401,19283,0.136951107042958,12.5312831169065,41
2022-11-28,77401,19283,0.157929556795176,12.7956774775775,75
2022-12-05,77401,19283,0.170618058553377,13.0615768186812,138
2022-12-12,77401,19283,0.172197728715195,13.2935573922923,235
2022-12-19,77401,19283,0.164741591685974,13.456255461509,342
2022-12-26,77401,19283,0.151545648872982,13.5297987750742,405
2023-01-02,77401,19283,0.13590590168349,13.5303490608445,406
2023-01-09,77401,19283,0.121118351524765,13.4791800257005,361
2023-01-16,77401,19283,0.110478999804078,13.3975653765228,299
2023-01-23,77401,19283,0.106317926889819,13.3067788201919,242
2023-01-30,77401,19283,0.107101528994863,13.2262403973434,201
2023-02-06,77401,19283,0.110330281293206,13.1590210062275,173
2023-02-13,77401,19283,0.113504658958847,13.0996812989637,150
2023-02-20,77401,19283,0.114125137165781,13.0427087972774,132
2023-02-27,77401,19283,0.109692191088004,12.9825910228936,115
2023-03-06,77401,19283,0.0985524280759947,12.91382715877,98
2023-03-13,77401,19283,0.0824369841861465,12.8350377401042,82
2023-03-20,77401,19283,0.0639231276513343,12.7550224354334,68
2023-03-27,77401,19283,0.0455881267044328,12.6841248540587,58
2023-04-03,77401,19283,0.0300092495783168,12.6326886052812,51
2023-04-10,77401,19283,0.0197637645058608,12.611057298402,49
2023-04-17,77401,19283,0.0167796544509455,12.6284412193378,51
2023-04-24,77401,19283,0.0203877613014758,12.6833137396899,58
2023-05-01,77401,19283,0.0292696416763627,12.768226717936,70
2023-05-08,77401,19283,0.0421068521945168,12.8756700396026,90
2023-05-15,77401,19283,,12.9981335902162,119
2023-05-22,77401,19283,,13.1281072553033,161
2020-07-06,77477,36563,0.269848279445401,12.5639444291117,100
2020-07-13,77477,36563,0.236406377139501,12.4253376317904,73
2020-07-20,77477,36563,0.203839882296729,12.2525661440377,49
2020-07-27,77477,36563,0.173024202380213,12.0930189563496,34
2020-08-03,77477,36563,0.144834744853082,11.9533082187581,25
2020-08-10,77477,36563,0.120146917178462,11.8400460812957,19
