"TSA","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"F - Northeast Texas",2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F - Northeast Texas",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G - Piney Woods",2020-06-03,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-04,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-05,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-06,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-07,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-08,NA,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-09,37.4285714285714,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-10,31.4285714285714,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-11,23.4285714285714,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-12,23.1428571428571,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-13,26.8571428571429,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-14,27.5714285714286,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-15,37.1428571428571,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-16,169,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-17,174.571428571429,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-18,178.285714285714,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-19,181,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-20,179.428571428571,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-21,179.428571428571,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-22,170.285714285714,NA,NA,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-23,170.285714285714,132.009312658983,208.562115912445,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-24,170.285714285714,116.154707986352,224.416720585077,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-25,170.285714285714,103.989041937304,236.582386634125,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-26,170.285714285714,93.732911032252,246.838517539177,0,0,0,0,1,1,0
"G - Piney Woods",2020-06-27,170.285714285714,84.69707831426,255.874350257169,0,0,0,0,1,1,0
