County,Date,cases_cumulative,deaths_cumulative
Travis,2020-11-10,33559,461
Travis,2020-11-11,33769,462
Travis,2020-11-12,33960,465
Travis,2020-11-13,34204,465
Travis,2020-11-14,34504,466
Travis,2020-11-15,34612,466
Travis,2020-11-16,34769,466
Travis,2020-11-17,35020,469
Travis,2020-11-18,35326,469
Travis,2020-11-19,35616,473
Travis,2020-11-20,35984,476
Travis,2020-11-21,36175,476
Travis,2020-11-22,36436,476
Travis,2020-11-23,36754,476
Travis,2020-11-24,37120,478
Travis,2020-11-25,37238,483
Travis,2020-11-26,37401,483
Travis,2020-11-27,37666,483
Travis,2020-11-28,37898,483
Travis,2020-11-29,38045,483
Travis,2020-11-30,38377,483
Travis,2020-12-01,38757,484
Travis,2020-12-02,39037,486
Travis,2020-12-03,39267,492
Travis,2020-12-04,39566,493
Travis,2020-12-05,39925,494
Travis,2020-12-06,40209,494
Travis,2020-12-07,40481,495
Travis,2020-12-08,40836,496
Travis,2020-12-09,41092,499
Travis,2020-12-10,41519,502
Travis,2020-12-11,41901,504
Travis,2020-12-12,42136,505
Travis,2020-12-13,42441,505
Travis,2020-12-14,42856,507
Travis,2020-12-15,43469,507
Travis,2020-12-16,43836,511
Travis,2020-12-17,44381,512
Travis,2020-12-18,44796,516
Travis,2020-12-19,45070,516
Travis,2020-12-20,45492,516
Travis,2020-12-21,46029,522
Travis,2020-12-22,46701,525
Travis,2020-12-23,47076,528
Travis,2020-12-24,47537,531
Travis,2020-12-25,47793,531
Travis,2020-12-26,48208,531
Travis,2020-12-27,48424,532
Travis,2020-12-28,48951,542
Travis,2020-12-29,49648,544
Travis,2020-12-30,50194,548
Travis,2020-12-31,50595,549
Travis,2021-01-01,51150,550
Travis,2021-01-02,51558,550
Travis,2021-01-03,51956,550
Travis,2021-01-04,52708,554
Travis,2021-01-05,53272,561
Travis,2021-01-06,53935,564
Travis,2021-01-07,54814,565
Travis,2021-01-08,55406,568
Travis,2021-01-09,55870,569
Travis,2021-01-10,0,0
Travis,2021-01-11,56825,573
Travis,2021-01-12,0,0
Travis,2021-01-13,58286,582
Travis,2021-01-14,59394,591
Travis,2021-01-15,60084,592
Travis,2021-01-16,60379,592
Travis,2021-01-17,60782,592
Travis,2021-01-18,61468,600
Travis,2021-01-19,62302,604
Travis,2021-01-20,63036,621
Travis,2021-01-21,63751,623
Travis,2021-01-22,64291,625
Travis,2021-01-23,64658,625
Travis,2021-01-24,64963,625
Travis,2021-01-25,65507,631
Travis,2021-01-26,66209,641
Travis,2021-01-27,66859,647
Travis,2021-01-28,67566,654
Travis,2021-01-29,68020,655
Travis,2021-01-30,68290,655
Travis,2021-01-31,68731,655
Travis,2021-02-01,69408,660
