"TSA","Date","Rt","lower","upper"
"U - Corpus Christi",2020-06-07,1.38702091999882,0.525,2.275
"U - Corpus Christi",2020-06-08,1.4696811253089,0.538461538461539,2.33333333333333
"U - Corpus Christi",2020-06-09,1.45247640276974,0.660377358490566,2.11320754716981
"U - Corpus Christi",2020-06-10,1.49334504922405,0.686274509803922,2.19607843137255
"U - Corpus Christi",2020-06-11,1.54749488026916,0.777777777777778,2.33333333333333
"U - Corpus Christi",2020-06-12,1.59001287676573,0.80327868852459,2.40983606557377
"U - Corpus Christi",2020-06-13,1.62680603634125,0.823529411764706,2.36764705882353
"U - Corpus Christi",2020-06-14,1.70388772784755,1.01449275362319,2.53623188405797
"U - Corpus Christi",2020-06-15,1.83805640714118,1.11594202898551,2.63768115942029
"U - Corpus Christi",2020-06-16,1.9594423861095,1.25,2.66666666666667
"U - Corpus Christi",2020-06-17,2.04575593084899,1.41284403669725,2.69724770642202
"U - Corpus Christi",2020-06-18,2.06788934467736,1.50335570469799,2.63087248322148
"U - Corpus Christi",2020-06-19,2.02959614199982,1.55944180712593,2.49510689140148
"U - Corpus Christi",2020-06-20,1.98946424365053,1.57646315605838,2.38025876261382
"U - Corpus Christi",2020-06-21,1.95369506899071,1.58077747243631,2.34858367333395
"U - Corpus Christi",2020-06-22,1.95502281103093,1.60961695957757,2.30776407457507
"U - Corpus Christi",2020-06-23,1.90695141495773,1.58236032329266,2.22426120915666
"U - Corpus Christi",2020-06-24,1.9295791629815,1.63952988030487,2.21739696926478
"U - Corpus Christi",2020-06-25,1.87435227881054,1.62724401200272,2.11048617314292
"U - Corpus Christi",2020-06-26,1.77516103908265,1.58979273034694,1.97588525057406
"U - Corpus Christi",2020-06-27,1.68546391994141,1.50792916161422,1.87387012970469
"U - Corpus Christi",2020-06-28,1.59306589219717,1.4336281609824,1.75263996493098
"U - Corpus Christi",2020-06-29,1.51491582780234,1.36812076793584,1.64938268794731
"U - Corpus Christi",2020-06-30,1.4575204293556,1.31930320495393,1.59255694319682
"U - Corpus Christi",2020-07-01,1.38310123632422,1.25552600231688,1.5014153677558
"U - Corpus Christi",2020-07-02,1.30716505610217,1.1959287455676,1.41695343453464
"U - Corpus Christi",2020-07-03,1.26481324002686,1.14324728453558,1.38339686205637
"U - Corpus Christi",2020-07-04,1.23827726386838,1.12524602074408,1.34782215671544
"U - Corpus Christi",2020-07-05,1.21567613353174,1.10495473445119,1.3323512160339
"U - Corpus Christi",2020-07-06,1.20291480929,1.09417117744677,1.32055142105645
