"PHR","Date","Rt","lower","upper"
"1 - Lubbock PHR",2020-09-06,1.06466030821555,0.957495183231561,1.16286204010469
"1 - Lubbock PHR",2020-09-07,0.98874573720038,0.881547572336667,1.09325781608681
"1 - Lubbock PHR",2020-09-08,0.932494380492668,0.825313222491067,1.02989869413234
"1 - Lubbock PHR",2020-09-09,0.914155388572419,0.798255081112865,1.02156047482114
"1 - Lubbock PHR",2020-09-10,0.894768102333241,0.775289355896746,1.00517166491264
"1 - Lubbock PHR",2020-09-11,0.898850542964665,0.774674869873105,1.02092913314403
"1 - Lubbock PHR",2020-09-12,0.919386447745613,0.787293174082347,1.04991443400001
"1 - Lubbock PHR",2020-09-13,0.970846677120405,0.828651166184328,1.10959964190187
"1 - Lubbock PHR",2020-09-14,1.02263568934487,0.886149856462472,1.17743583775266
"1 - Lubbock PHR",2020-09-15,1.02843973656557,0.895208932546924,1.16150526058303
"1 - Lubbock PHR",2020-09-16,1.02837746311272,0.887758995735639,1.16660637260132
"1 - Lubbock PHR",2020-09-17,1.01641388734454,0.88593971436703,1.15071487900172
"1 - Lubbock PHR",2020-09-18,1.01302556300383,0.871352403743191,1.15142996208922
"1 - Lubbock PHR",2020-09-19,1.01421242174598,0.86529722728634,1.15827187904471
"1 - Lubbock PHR",2020-09-20,1.0332393502835,0.876322342218722,1.18192973193644
"1 - Lubbock PHR",2020-09-21,1.03005318794033,0.858524159525998,1.19142128260751
"1 - Lubbock PHR",2020-09-22,1.0944139872735,0.887469128893079,1.28865380359817
"1 - Lubbock PHR",2020-09-23,1.07720445991319,0.833363427232262,1.29437298272245
"1 - Lubbock PHR",2020-09-24,NA,NA,NA
"11 - Harlingen PHR",2020-03-17,3.62268407193902,0,7
"11 - Harlingen PHR",2020-03-18,3.45123595241186,0,7
"11 - Harlingen PHR",2020-03-19,3.80613008137487,0,7
"11 - Harlingen PHR",2020-03-20,3.88701866854742,0,7
"11 - Harlingen PHR",2020-03-21,3.7786327498886,0,7
"11 - Harlingen PHR",2020-03-22,2.79192352161366,0.636363636363636,4.45454545454546
"11 - Harlingen PHR",2020-03-23,2.59503866041107,0.538461538461539,4.30769230769231
"11 - Harlingen PHR",2020-03-24,2.75537720764789,0.538461538461539,4.84615384615385
"11 - Harlingen PHR",2020-03-25,2.58142580601067,1.12,3.92
