"Metro_Area","Date","Rt","lower","upper"
"Metro",2020-05-30,1.11072816150613,1.04915235792237,1.16951224361171
"Metro",2020-05-31,1.13062919466807,1.07068811860662,1.18799351011659
"Metro",2020-06-01,1.16409139446297,1.10017196488227,1.223928422319
"Metro",2020-06-02,1.17242862194378,1.10929385233626,1.23316499918048
"Metro",2020-06-03,1.17453571578138,1.11305925465423,1.22883846790432
"Metro",2020-06-04,1.19175674678265,1.1312328395202,1.24980149894196
"Metro",2020-06-05,1.20275205412723,1.14381079459927,1.26061661462379
"Metro",2020-06-06,1.19991007129933,1.14929395656718,1.25527928101881
"Metro",2020-06-07,1.20171514306595,1.14970619932698,1.25512879511696
"Metro",2020-06-08,1.21605871027624,1.16468468634441,1.26858232023245
"Metro",2020-06-09,1.23022850349898,1.18019700323543,1.28370347014081
"Metro",2020-06-10,1.22762565435195,1.17758293246528,1.27912786806268
"Metro",2020-06-11,1.23239584574245,1.18454534261127,1.28484101471458
"Metro",2020-06-12,1.24155291132697,1.19316170137951,1.28794083034031
"Metro",2020-06-13,1.25735640111892,1.20860665533377,1.30749129256553
"Metro",2020-06-14,1.28005750998083,1.23372171127353,1.33140944648713
"Metro",2020-06-15,1.30724052898882,1.2574097059506,1.35517275519528
"Metro",2020-06-16,1.32021597176692,1.27761948649951,1.36462759899558
"Metro",2020-06-17,1.34495013234104,1.2966291935891,1.3900579202747
"Metro",2020-06-18,1.35702690482267,1.31236856348745,1.39925344797035
"Metro",2020-06-19,1.3710449303736,1.32497692140964,1.41578476458814
"Metro",2020-06-20,1.37093787474404,1.33075438696902,1.40981294276439
"Metro",2020-06-21,1.36346564053819,1.32400595991018,1.4015801856575
"Metro",2020-06-22,1.3542936443753,1.31909102990935,1.39406494050703
"Metro",2020-06-23,1.34127629608881,1.30596372156618,1.37679053244422
"Metro",2020-06-24,1.32261390702633,1.28879469454108,1.35466701842579
"Metro",2020-06-25,1.29751620880414,1.26788126771864,1.32901125741222
"Metro",2020-06-26,1.2684504450224,1.23510010151725,1.30052136546126
"Metro",2020-06-27,1.24785743661016,1.21809104352824,1.27738614080874
"Metro",2020-06-28,1.22935963819945,1.19820669371131,1.25877488515791
"Metro",2020-06-29,1.21862635388408,1.18873868939142,1.24730783820651
"Metro",2020-06-30,1.21443444222346,1.18510055873824,1.24376822537204
"Metro",2020-07-01,1.20214292777424,1.17322958948952,1.23072465356258
"Metro",2020-07-02,1.1888033934107,1.16036723587163,1.21621477033803
"Metro",2020-07-03,1.17323748288188,1.14513468633765,1.20430787261445
"Metro",2020-07-04,1.14014649887151,1.11121359785181,1.16874028718123
"Metro",2020-07-05,1.14964046203789,1.11452556967881,1.18181372407614
"Metro",2020-07-06,1.16999160097577,1.13198731422039,1.20249949211351
"Metro",2020-07-07,1.1705618339324,1.12449189369043,1.21578438567394
"Metro",2020-07-08,NA,NA,NA
"Non-Metro",2020-03-15,3.07276104216949,0,3.5
"Non-Metro",2020-03-16,2.73117594220572,0,3.5
"Non-Metro",2020-03-17,2.80623978068719,0,7
"Non-Metro",2020-03-18,3.15035571475823,0,7
"Non-Metro",2020-03-19,2.9089307078759,0,5.6
"Non-Metro",2020-03-20,2.65635989286191,0,4.375
"Non-Metro",2020-03-21,2.37761710852957,0.583333333333333,4.08333333333333
"Non-Metro",2020-03-22,2.5442800320765,0,4.9
"Non-Metro",2020-03-23,2.80202658473135,0.583333333333333,5.25
"Non-Metro",2020-03-24,2.54268694376918,1.25,4
"Non-Metro",2020-03-25,2.2974672367164,1.16666666666667,3.33333333333333
"Non-Metro",2020-03-26,2.0602181704149,1.1864406779661,2.84745762711864
"Non-Metro",2020-03-27,1.93406127172247,1.1975,2.6
"Non-Metro",2020-03-28,1.85146197832267,1.17861445783133,2.44578313253012
"Non-Metro",2020-03-29,1.74990932954493,1.15533980582524,2.31067961165049
"Non-Metro",2020-03-30,1.67645444029014,1.07692307692308,2.21367521367521
"Non-Metro",2020-03-31,1.73691057612949,1.14545454545455,2.29090909090909
"Non-Metro",2020-04-01,1.65583929179231,1.225,2.14375
"Non-Metro",2020-04-02,1.60464649086822,1.16022099447514,2.01104972375691
"Non-Metro",2020-04-03,1.50596536878193,1.09375,1.84453125
"Non-Metro",2020-04-04,1.423914494942,1.04858299595142,1.78542510121458
"Non-Metro",2020-04-05,1.39014984639178,1.036,1.736
"Non-Metro",2020-04-06,1.36780267004735,1.02631578947368,1.71052631578947
"Non-Metro",2020-04-07,1.30999983811207,0.983660130718954,1.60130718954248
"Non-Metro",2020-04-08,1.30021009029657,0.989309764309764,1.57912457912458
"Non-Metro",2020-04-09,1.28241311414776,0.983828125,1.596875
"Non-Metro",2020-04-10,1.26791543349251,1,1.54166666666667
"Non-Metro",2020-04-11,1.25563608895344,0.974431818181818,1.55113636363636
"Non-Metro",2020-04-12,1.24778998739222,0.958904109589041,1.53424657534247
"Non-Metro",2020-04-13,1.26904046517652,0.955431754874652,1.54038997214485
"Non-Metro",2020-04-14,1.26336017263298,1.00246913580247,1.52098765432099
"Non-Metro",2020-04-15,1.25701309974141,1.00696055684455,1.51084686774942
"Non-Metro",2020-04-16,1.22907848445899,0.997536687631027,1.46787211740042
"Non-Metro",2020-04-17,1.21623249248645,0.96900826446281,1.43181818181818
"Non-Metro",2020-04-18,1.20054826022726,0.96646942800789,1.4086291913215
"Non-Metro",2020-04-19,1.20067447524955,0.96646942800789,1.43589743589744
"Non-Metro",2020-04-20,1.20510470183528,0.952107279693487,1.43486590038314
"Non-Metro",2020-04-21,1.19703162919885,0.964221824686941,1.40250447227191
"Non-Metro",2020-04-22,1.20836185050267,0.971171171171171,1.43783783783784
"Non-Metro",2020-04-23,1.21085992969936,0.993243243243243,1.41891891891892
"Non-Metro",2020-04-24,1.21383031602189,0.996763754045307,1.41585760517799
"Non-Metro",2020-04-25,1.23256155407601,1.01594896331738,1.46251993620415
"Non-Metro",2020-04-26,1.21962049606284,1.01675977653631,1.41759776536313
"Non-Metro",2020-04-27,1.19244103519267,1.00384122919334,1.37131882202305
"Non-Metro",2020-04-28,1.15516003762879,0.956834532374101,1.34292565947242
"Non-Metro",2020-04-29,1.1430491612005,0.96078431372549,1.32129289215686
"Non-Metro",2020-04-30,1.12427192946506,0.954545454545455,1.28088578088578
"Non-Metro",2020-05-01,1.08920693201828,0.937717864923747,1.25816993464052
"Non-Metro",2020-05-02,1.05309628354016,0.88153681963714,1.21043223052295
"Non-Metro",2020-05-03,1.02198401607016,0.859913793103448,1.17672413793103
"Non-Metro",2020-05-04,1.01666097148953,0.852668213457077,1.18561484918794
"Non-Metro",2020-05-05,1.01567417432691,0.847238542890717,1.19271445358402
"Non-Metro",2020-05-06,0.994217409764497,0.828125,1.1484375
"Non-Metro",2020-05-07,0.995200522683758,0.834728915662651,1.15563253012048
"Non-Metro",2020-05-08,1.00237883310485,0.826086956521739,1.17391304347826
"Non-Metro",2020-05-09,1.02347682557403,0.84765625,1.21246744791667
"Non-Metro",2020-05-10,1.03627957745527,0.859493670886076,1.20528481012658
"Non-Metro",2020-05-11,1.06126745468121,0.885267275097784,1.24142764015645
"Non-Metro",2020-05-12,1.09598720574241,0.897905759162304,1.27356020942408
"Non-Metro",2020-05-13,1.09710470864693,0.92741935483871,1.25826612903226
"Non-Metro",2020-05-14,1.09334455693378,0.930038759689923,1.27131782945736
"Non-Metro",2020-05-15,1.08793869434343,0.920258620689655,1.25234375
"Non-Metro",2020-05-16,1.06863265436109,0.897435897435898,1.22769230769231
