County,Plant_Name,Date,viral_load_log10,viral_load,viral_load_pct
Harris,ALMEDA SIMS,2022-10-31,12.03067526,1073186646073.453,133.0
Harris,ALMEDA SIMS,2022-11-07,11.88477881,766970764913.1692,95.0
Harris,ALMEDA SIMS,2022-11-14,12.10778336,1281691074599.3303,158.0
Harris,ALMEDA SIMS,2022-11-21,12.36938932,2340934811629.4546,289.0
Harris,ALMEDA SIMS,2022-11-21,12.36938932,2340934811629.4546,289.0
Harris,ALMEDA SIMS,2022-11-28,12.52631658,3359824402012.3906,415.0
Harris,ALMEDA SIMS,2022-12-05,12.6251203,4218133299558.999,521.0
Harris,ALMEDA SIMS,2022-12-05,12.6251203,4218133299558.999,521.0
Harris,ALMEDA SIMS,2022-12-12,12.67455148,4726628616534.902,584.0
Harris,ALMEDA SIMS,2022-12-19,12.78406594,6082273429226.533,752.0
Harris,ALMEDA SIMS,2022-12-26,13.02227529,10526289013808.453,1301.0
Harris,ALMEDA SIMS,2023-01-02,12.90709235,8074067019711.611,998.0
Harris,ALMEDA SIMS,2023-01-09,12.48920092,3084614672130.9624,381.0
Harris,ALMEDA SIMS,2023-01-16,12.44995734,2818106099953.094,348.0
Harris,ALMEDA SIMS,2023-01-16,12.44995734,2818106099953.094,348.0
Harris,ALMEDA SIMS,2023-01-23,12.29168018,1957402686298.9219,242.0
Harris,ALMEDA SIMS,2023-01-23,12.29168018,1957402686298.9219,242.0
Harris,ALMEDA SIMS,2023-01-30,12.38916295,2449982318068.234,303.0
Harris,ALMEDA SIMS,2023-01-30,12.38916295,2449982318068.234,303.0
Harris,ALMEDA SIMS,2023-02-06,12.58353371,3832954906963.928,474.0
Harris,ALMEDA SIMS,2023-02-13,12.65327805,4500679113541.517,556.0
Harris,ALMEDA SIMS,2023-02-20,12.67507072,4732283126266.137,585.0
Harris,ALMEDA SIMS,2023-02-27,12.50436632,3194230998584.3555,395.0
Harris,ALMEDA SIMS,2023-03-06,12.30161478,2002694845308.046,248.0
Harris,ALMEDA SIMS,2023-03-13,12.04366557,1105771952443.5342,137.0
Harris,ALMEDA SIMS,2023-03-20,11.87096278,742955462237.8007,92.0
Harris,ALMEDA SIMS,2023-03-27,11.84820832,705031173364.9325,87.0
Harris,ALMEDA SIMS,2023-04-03,11.90082125,795831728937.7981,98.0
Harris,ALMEDA SIMS,2023-04-10,11.69392577,494226206183.53357,61.0
Harris,ALMEDA SIMS,2023-04-17,11.90843486,809906454382.2626,100.0
Harris,ALMEDA SIMS,2023-04-24,11.80209209,634004134450.036,78.0
Harris,ALMEDA SIMS,2023-04-24,11.80209209,634004134450.036,78.0
Harris,ALMEDA SIMS,2023-05-01,11.85916015,723036380622.4031,89.0
Harris,ALMEDA SIMS,2023-05-01,11.85916015,723036380622.4031,89.0
Harris,ALMEDA SIMS,2023-05-08,11.74018007,549768775309.2169,68.0
Harris,ALMEDA SIMS,2023-05-15,11.5866228370254,386031582371.3378,48.0
Harris,BELTWAY,2020-07-06,11.88899792,774458088621.8835,100.0
Harris,BELTWAY,2020-07-13,11.8206105346887,661622909359.6174,85.0
Harris,BELTWAY,2020-07-20,11.7336341214531,541544465103.53284,70.0
Harris,BELTWAY,2020-07-27,11.6511073117247,447823945285.4361,58.0
Harris,BELTWAY,2020-08-03,11.5752549072571,376058065169.7472,49.0
Harris,BELTWAY,2020-08-10,11.508279844624,322314500753.79114,42.0
Harris,BELTWAY,2020-08-17,11.4520376851471,283163769556.7294,37.0
Harris,BELTWAY,2020-08-24,11.4081058528337,255920958024.32132,33.0
Harris,BELTWAY,2020-08-31,11.3780539689496,238810803011.93976,31.0
Harris,BELTWAY,2020-09-07,11.3634516407213,230914731792.20386,30.0
Harris,BELTWAY,2020-09-14,11.3651132660117,231799911604.32736,30.0
Harris,BELTWAY,2020-09-21,11.3810690148801,240474491399.34164,31.0
Harris,BELTWAY,2020-09-28,11.4087075865301,256275793289.31924,33.0
Harris,BELTWAY,2020-10-05,11.4454176801652,278880199321.3965,36.0
Harris,BELTWAY,2020-10-12,11.4887330597607,308129344300.2497,40.0
Harris,BELTWAY,2020-10-19,11.5400573934193,346782675875.7961,45.0
Harris,BELTWAY,2020-10-26,11.6049860618078,402704109783.27014,52.0
Harris,BELTWAY,2020-11-02,11.6893240008182,489017049301.8789,63.0
Harris,BELTWAY,2020-11-09,11.7988761463423,629326683622.9376,81.0
Harris,BELTWAY,2020-11-16,11.9356767369388,862336436709.9515,111.0
Harris,BELTWAY,2020-11-23,12.0866772218328,1220891926461.2117,158.0
Harris,BELTWAY,2020-11-30,12.2350583529159,1718139225224.16,222.0
Harris,BELTWAY,2020-12-07,12.3640008820801,2312069486133.0576,299.0
Harris,BELTWAY,2020-12-14,12.4571664659478,2865276025509.162,370.0
Harris,BELTWAY,2020-12-21,12.509456252247,3231887629507.6924,417.0
Harris,BELTWAY,2020-12-28,12.5271110532044,3365976295675.5117,435.0
Harris,BELTWAY,2021-01-04,12.5168726209509,3287551924744.726,424.0
Harris,BELTWAY,2021-01-11,12.4854827076171,3058318470459.699,395.0
Harris,BELTWAY,2021-01-18,12.4395658569764,2751476810855.601,355.0
Harris,BELTWAY,2021-01-25,12.3852777793715,2428162677189.3403,314.0
Harris,BELTWAY,2021-02-01,12.3286569767875,2131360813835.1848,275.0
Harris,BELTWAY,2021-02-08,12.2757419512097,1886869876932.9797,244.0
Harris,BELTWAY,2021-02-15,12.2325465394542,1708230766060.3032,221.0
Harris,BELTWAY,2021-02-22,12.2017151189639,1591164639792.0525,205.0
Harris,BELTWAY,2021-03-01,12.1791300618359,1510532458344.1018,195.0
Harris,BELTWAY,2021-03-08,12.1598655119174,1444992230343.273,187.0
