County,Date,cases_daily,deaths_daily
Potter,2021-08-08,47,
Potter,2021-08-09,37,
Potter,2021-08-10,107,
Potter,2021-08-11,105,
Potter,2021-08-12,79,
Potter,2021-08-13,77,
Potter,2021-08-14,61,
Potter,2021-08-15,35,
Potter,2021-08-16,40,
Potter,2021-08-17,111,
Potter,2021-08-18,78,
Potter,2021-08-19,94,
Potter,2021-08-20,105,
Potter,2021-08-21,82,
Potter,2021-08-22,58,
Potter,2021-08-23,61,
Potter,2021-08-24,117,
Potter,2021-08-25,115,
Potter,2021-08-26,95,
Potter,2021-08-27,91,
Potter,2021-08-28,66,
Potter,2021-08-29,54,
Potter,2021-08-30,49,
Potter,2021-08-31,122,
Potter,2021-09-01,102,
Potter,2021-09-02,98,50
Potter,2021-09-03,81,
Potter,2021-09-04,84,
Potter,2021-09-05,63,
Potter,2021-09-06,45,
Potter,2021-09-07,37,
Potter,2021-09-08,118,
Potter,2021-09-09,86,
Potter,2021-09-10,93,
Potter,2021-09-11,79,
Potter,2021-09-12,52,
Potter,2021-09-13,27,
Potter,2021-09-14,92,
Potter,2021-09-15,73,
Potter,2021-09-16,53,
Potter,2021-09-17,77,
Potter,2021-09-18,60,
Potter,2021-09-19,28,
Potter,2021-09-20,28,
Potter,2021-09-21,72,
Potter,2021-09-22,52,
Potter,2021-09-23,38,
Potter,2021-09-24,50,
Potter,2021-09-25,42,
Potter,2021-09-26,31,
Potter,2021-09-27,24,
Potter,2021-09-28,61,
Potter,2021-09-29,45,
Potter,2021-09-30,51,
Potter,2021-10-01,26,
Potter,2021-10-02,30,25
Potter,2021-10-03,11,
Potter,2021-10-04,24,
Potter,2021-10-05,66,
Potter,2021-10-06,52,
Potter,2021-10-07,53,
Potter,2021-10-08,33,
Potter,2021-10-09,43,
Potter,2021-10-10,27,
Potter,2021-10-11,23,
Potter,2021-10-12,39,
Potter,2021-10-13,36,
Potter,2021-10-14,39,
Potter,2021-10-15,34,
Potter,2021-10-16,31,
Potter,2021-10-17,23,
Potter,2021-10-18,15,
Potter,2021-10-19,35,
Potter,2021-10-20,36,
Potter,2021-10-21,35,
Potter,2021-10-22,29,
Potter,2021-10-23,37,
Potter,2021-10-24,20,
Potter,2021-10-25,29,
Potter,2021-10-26,39,
Potter,2021-10-27,42,
Potter,2021-10-28,37,
Potter,2021-10-29,32,
Potter,2021-10-30,40,
Potter,2021-10-31,25,
Potter,2021-11-01,23,
Potter,2021-11-02,52,24
Potter,2021-11-03,41,
Potter,2021-11-04,32,
Potter,2021-11-05,49,
Potter,2021-11-06,40,
Potter,2021-11-07,23,
Potter,2021-11-08,47,
Potter,2021-11-09,69,
Potter,2021-11-10,58,
Potter,2021-11-11,84,
Potter,2021-11-12,39,
Potter,2021-11-13,53,
Potter,2021-11-14,35,
Potter,2021-11-15,34,
Potter,2021-11-16,56,
Potter,2021-11-17,67,
Potter,2021-11-18,78,
Potter,2021-11-19,69,
Potter,2021-11-20,61,
Potter,2021-11-21,35,
Potter,2021-11-22,36,
Potter,2021-11-23,89,
Potter,2021-11-24,70,
Potter,2021-11-25,64,
Potter,2021-11-26,11,
Potter,2021-11-27,71,
Potter,2021-11-28,50,
Potter,2021-11-29,65,
Potter,2021-11-30,119,
Potter,2021-12-01,113,
Potter,2021-12-02,79,58
Potter,2021-12-03,98,
Potter,2021-12-04,73,
Potter,2021-12-05,47,
Potter,2021-12-06,44,
Potter,2021-12-07,101,
Potter,2021-12-08,84,
Potter,2021-12-09,72,
Potter,2021-12-10,66,
Potter,2021-12-11,75,
Potter,2021-12-12,38,
Potter,2021-12-13,39,
Potter,2021-12-14,86,
Potter,2021-12-15,61,
Potter,2021-12-16,78,
Potter,2021-12-17,64,
Potter,2021-12-18,43,
Potter,2021-12-19,37,
Potter,2021-12-20,29,
Potter,2021-12-21,62,
Potter,2021-12-22,74,
Potter,2021-12-23,68,
Potter,2021-12-24,79,
Potter,2021-12-25,40,
Potter,2021-12-26,36,
Potter,2021-12-27,46,
Potter,2021-12-28,107,
Potter,2021-12-29,150,
Potter,2021-12-30,167,
Potter,2021-12-31,134,
Potter,2022-01-01,115,
Potter,2022-01-02,43,52
Potter,2022-01-03,97,
Potter,2022-01-04,223,
Potter,2022-01-05,311,
Potter,2022-01-06,292,
Potter,2022-01-07,257,
Potter,2022-01-08,255,
Potter,2022-01-09,169,
Potter,2022-01-10,141,
Potter,2022-01-11,406,
Potter,2022-01-12,423,
Potter,2022-01-13,424,
Potter,2022-01-14,340,
Potter,2022-01-15,333,
Potter,2022-01-16,138,
Potter,2022-01-17,130,
Potter,2022-01-18,272,
Potter,2022-01-19,416,
Potter,2022-01-20,343,
Potter,2022-01-21,301,
Potter,2022-01-22,247,
