OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
879,27930,Lohn ISD,Lohn,160905,160-905,160905,4827930,1,453725677.494507,115513.373027322
880,37080,Richland Springs ISD,Richland Springs,206902,206-902,206902,4837080,5,894295416.257507,181029.973469306
881,33980,Paint Rock ISD,Paint Rock,48903,048-903,048903,4833980,7,821500445.459595,175374.788200558
882,32160,Navarro ISD,Navarro,94903,094-903,094903,4832160,3,222805075.780273,78614.1322401816
883,10320,Blanco ISD,Blanco,16902,016-902,016902,4810320,7,900788229.351929,213243.945800664
884,39480,Schertz-Cibolo-Universal City ISD,Schertz-Cibolo-Universal City,94902,094-902,094902,4839480,5,154892131.377197,83908.815965562
885,24990,Judson ISD,Judson,15916,015-916,015916,4824990,7,144046960.002136,104799.233475129
886,00009,Wimberley ISD,Wimberley,105905,105-905,105905,4800009,1,348962737.530029,112611.65825651
887,38970,San Marcos Cons ISD,San Marcos Cons,105902,105-902,105902,4838970,6,475842980.631348,140895.214828999
888,32370,New Braunfels ISD,New Braunfels,46901,046-901,046901,4832370,2,194170321.59552,89215.8441162773
889,39690,Seguin ISD,Seguin,94901,094-901,094901,4839690,7,955610375.840515,203315.137601644
890,29100,Marion ISD,Marion,94904,094-904,094904,4829100,1,217192271.317261,95652.9373171946
891,14730,Comal ISD,Comal,46902,046-902,046902,4814730,4,1512940106.66479,313836.059369878
892,38850,San Elizario ISD,San Elizario,71904,071-904,071904,4838850,7,34571076.0879517,29275.2072319838
893,14430,Clint ISD,Clint,71901,071-901,071901,4814430,4,972470111.975006,146727.063387608
894,34290,Paris ISD,Paris,139909,139-909,139909,4834290,1,58823590.0446777,46283.6032662962
895,33010,North Lamar ISD,North Lamar,139911,139-911,139911,4833010,3,1064263959.7644,227238.009510609
896,41790,Sulphur Bluff ISD,Sulphur Bluff,112910,112-910,112910,4841790,4,305637354.223877,139240.036022682
897,35740,Prairiland ISD,Prairiland,139912,139-912,139912,4835740,2,620283886.528687,209351.600040274
898,00012,Chisum ISD,Chisum,139905,139-905,139905,4800012,6,759397077.889282,225217.79461648
899,23460,Honey Grove ISD,Honey Grove,74907,074-907,074907,4823460,4,579389165.824341,192623.044893591
