"County","Childcare_Child_Cases_Daily","Childcare_Employee_Cases_Daily","Childcare_Child_Cases_Cumulative","Childcare_Employee_Cases_Cumulative","Date"
"Travis",1,1,50,100,2020-10-13
"Tyler",0,0,2,2,2020-10-13
"Upshur",0,0,3,1,2020-10-13
"Val Verde",0,0,3,4,2020-10-13
"Van Zandt",0,0,0,2,2020-10-13
"Victoria",0,0,9,6,2020-10-13
"Walker",0,0,2,12,2020-10-13
"Waller",0,0,0,2,2020-10-13
"Washington",0,0,1,3,2020-10-13
"Webb",0,0,21,29,2020-10-13
"Wharton",0,0,4,9,2020-10-13
"Wichita",0,0,1,20,2020-10-13
"Wilbarger",0,0,3,2,2020-10-13
"Willacy",0,0,1,0,2020-10-13
"Williamson",0,0,21,49,2020-10-13
"Wilson",0,0,2,4,2020-10-13
"Wise",0,0,5,2,2020-10-13
"Wood",0,1,0,3,2020-10-13
"Young",0,0,1,1,2020-10-13
"Anderson",0,0,1,4,2020-10-12
"Andrews",0,0,0,3,2020-10-12
"Angelina",0,0,4,16,2020-10-12
"Aransas",0,0,3,0,2020-10-12
"Archer",0,0,0,1,2020-10-12
"Atascosa",0,0,12,3,2020-10-12
"Austin",0,0,0,1,2020-10-12
"Bandera",0,0,1,2,2020-10-12
"Bastrop",0,0,3,4,2020-10-12
"Bee",0,0,0,1,2020-10-12
"Bell",0,0,17,34,2020-10-12
"Bexar",0,1,153,194,2020-10-12
"Blanco",0,0,0,1,2020-10-12
"Bowie",0,1,4,13,2020-10-12
"Brazoria",0,0,27,54,2020-10-12
"Brazos",0,0,14,47,2020-10-12
"Brewster",0,0,0,1,2020-10-12
"Brown",0,0,4,4,2020-10-12
"Burnet",0,0,1,2,2020-10-12
"Caldwell",0,0,3,2,2020-10-12
"Calhoun",0,0,3,5,2020-10-12
"Callahan",0,0,0,1,2020-10-12
"Cameron",0,0,36,33,2020-10-12
"Camp",0,0,2,1,2020-10-12
"Cass",0,0,2,9,2020-10-12
"Chambers",0,0,2,3,2020-10-12
"Cherokee",0,0,3,2,2020-10-12
"Clay",0,0,0,2,2020-10-12
"Collin",0,2,61,106,2020-10-12
"Colorado",0,0,1,7,2020-10-12
"Comal",0,0,11,16,2020-10-12
"Comanche",0,0,1,0,2020-10-12
"Cooke",0,0,3,0,2020-10-12
