"District","LEA","County"
"Fort Bend ISD","79907","Harris"
"Fort Davis ISD","122901","Brewster"
"Fort Davis ISD","122901","Culberson"
"Fort Davis ISD","122901","Jeff Davis"
"Fort Davis ISD","122901","Pecos"
"Fort Davis ISD","122901","Presidio"
"Fort Davis ISD","122901","Reeves"
"Fort Elliott Cons ISD","242906","Gray"
"Fort Elliott Cons ISD","242906","Hemphill"
"Fort Elliott Cons ISD","242906","Roberts"
"Fort Elliott Cons ISD","242906","Wheeler"
"Fort Hancock ISD","115901","El Paso"
"Fort Hancock ISD","115901","Hudspeth"
"Fort Sam Houston ISD","15914","Bexar"
"Fort Stockton ISD","186902","Brewster"
"Fort Stockton ISD","186902","Jeff Davis"
"Fort Stockton ISD","186902","Pecos"
"Fort Stockton ISD","186902","Reeves"
"Fort Stockton ISD","186902","Terrell"
"Fort Worth ISD","220905","Parker"
"Fort Worth ISD","220905","Tarrant"
"Franklin ISD","198903","Brazos"
"Franklin ISD","198903","Leon"
"Franklin ISD","198903","Limestone"
"Franklin ISD","198903","Robertson"
"Frankston ISD","1904","Anderson"
"Frankston ISD","1904","Cherokee"
"Frankston ISD","1904","Henderson"
"Fredericksburg ISD","86901","Blanco"
"Fredericksburg ISD","86901","Gillespie"
"Fredericksburg ISD","86901","Kendall"
"Fredericksburg ISD","86901","Kerr"
"Fredericksburg ISD","86901","Llano"
"Fredericksburg ISD","86901","Mason"
"Freer ISD","66903","Duval"
"Freer ISD","66903","La Salle"
"Freer ISD","66903","McMullen"
"Freer ISD","66903","Webb"
"Frenship ISD","152907","Hockley"
"Frenship ISD","152907","Lubbock"
"Frenship ISD","152907","Lynn"
"Frenship ISD","152907","Terry"
"Friendswood ISD","84911","Brazoria"
"Friendswood ISD","84911","Galveston"
"Friendswood ISD","84911","Harris"
"Friona ISD","185903","Castro"
"Friona ISD","185903","Deaf Smith"
"Friona ISD","185903","Parmer"
"Frisco ISD","43905","Collin"
"Frisco ISD","43905","Denton"
"Frost ISD","175905","Ellis"
"Frost ISD","175905","Hill"
"Frost ISD","175905","Navarro"
"Fruitvale ISD","234909","Rains"
"Fruitvale ISD","234909","Van Zandt"
"Gainesville ISD","49901","Cooke"
"Galena Park ISD","101910","Harris"
"Galveston ISD","84902","Brazoria"
"Galveston ISD","84902","Chambers"
"Galveston ISD","84902","Galveston"
"Ganado ISD","120902","Jackson"
"Ganado ISD","120902","Matagorda"
"Ganado ISD","120902","Wharton"
"Garland ISD","57909","Collin"
"Garland ISD","57909","Dallas"
"Garland ISD","57909","Rockwall"
"Garner ISD","184911","Palo Pinto"
"Garner ISD","184911","Parker"
"Garrison ISD","174903","Nacogdoches"
"Garrison ISD","174903","Rusk"
"Garrison ISD","174903","Shelby"
"Gary ISD","183904","Panola"
"Gary ISD","183904","Rusk"
"Gary ISD","183904","Shelby"
"Gatesville ISD","50902","Bell"
"Gatesville ISD","50902","Bosque"
"Gatesville ISD","50902","Coryell"
"Gatesville ISD","50902","McLennan"
"Gause ISD","166902","Burleson"
"Gause ISD","166902","Milam"
"Gause ISD","166902","Robertson"
"George West ISD","149901","Bee"
"George West ISD","149901","Duval"
"George West ISD","149901","Jim Wells"
"George West ISD","149901","Live Oak"
"George West ISD","149901","McMullen"
"George West ISD","149901","San Patricio"
"Georgetown ISD","246904","Williamson"
"Gholson ISD","161925","Hill"
"Gholson ISD","161925","McLennan"
"Giddings ISD","144901","Bastrop"
"Giddings ISD","144901","Burleson"
"Giddings ISD","144901","Fayette"
"Giddings ISD","144901","Lee"
"Giddings ISD","144901","Washington"
"Gilmer ISD","230902","Camp"
"Gilmer ISD","230902","Gregg"
"Gilmer ISD","230902","Upshur"
"Gladewater ISD","92901","Gregg"
"Gladewater ISD","92901","Smith"
"Gladewater ISD","92901","Upshur"
"Glasscock ISD","87901","Glasscock"
