"LEA","District","County"
178913,"Banquete ISD","Jim Wells,Nueces,San Patricio"
178914,"Flour Bluff ISD","Kleberg,Nueces"
178915,"West Oso ISD","Nueces"
179901,"Perryton ISD","Hansford,Lipscomb,Ochiltree,Roberts"
180901,"Boys Ranch ISD","Oldham"
180902,"Vega ISD","Deaf Smith,Oldham"
180903,"Adrian ISD","Deaf Smith,Oldham"
180904,"Wildorado ISD","Deaf Smith,Oldham,Potter,Randall"
181901,"Bridge City ISD","Jefferson,Orange"
181905,"Orangefield ISD","Jefferson,Orange"
181906,"West Orange-Cove Cisd","Orange"
181907,"Vidor ISD","Hardin,Jasper,Jefferson,Orange"
181908,"Little
Cypress-Mauriceville Cisd","Jasper,Newton,Orange"
182901,"Gordon ISD","Erath,Palo Pinto"
182902,"Graford ISD","Jack,Palo Pinto,Stephens,Young"
182903,"Mineral Wells ISD","Palo Pinto,Parker"
182904,"Santo ISD","Erath,Palo Pinto,Parker"
182905,"Strawn ISD","Eastland,Erath,Palo Pinto,Stephens"
182906,"Palo Pinto ISD","Palo Pinto,Stephens"
183901,"Beckville ISD","Harrison,Panola,Rusk"
183902,"Carthage ISD","Harrison,Panola,Rusk,Shelby"
183904,"Gary ISD","Panola,Rusk,Shelby"
184901,"Poolville ISD","Jack,Parker,Wise"
184902,"Springtown ISD","Parker,Wise"
184903,"Weatherford ISD","Hood,Parker"
184904,"Millsap ISD","Palo Pinto,Parker"
184907,"Aledo ISD","Hood,Parker,Tarrant"
184908,"Peaster ISD","Parker"
184909,"Brock ISD","Hood,Parker"
184911,"Garner ISD","Palo Pinto,Parker"
185901,"Bovina ISD","Parmer"
185902,"Farwell ISD","Bailey,Parmer"
185903,"Friona ISD","Castro,Deaf Smith,Parmer"
185904,"Lazbuddie ISD","Bailey,Castro,Lamb,Parmer"
186901,"Buena Vista ISD","Crane,Pecos,Reeves,Ward"
186902,"Fort Stockton ISD","Brewster,Jeff Davis,Pecos,Reeves,Terrell"
186903,"Iraan-Sheffield ISD","Crane,Crockett,Pecos,Terrell"
187901,"Big Sandy ISD","Hardin,Liberty,Polk,Tyler"
187903,"Goodrich ISD","Polk,San Jacinto"
187904,"Corrigan-Camden ISD","Angelina,Polk,Trinity"
187906,"Leggett ISD","Polk"
187907,"Livingston ISD","Liberty,Polk,San Jacinto,Trinity"
