Date,County,inpatient_bed_utilization,admissions_100k,cases_100k,community_level,cases_7day_MA,TPR,transmission_level
2022-02-24,McCulloch,2.9,14.2,37.58,Medium,37.58,20,High
2022-02-24,McLennan,9.6,7.5,222.9,Medium,222.9,6.7,High
2022-02-24,McMullen,8.7,19.8,269.18,High,269.18,0,High
2022-02-24,Madison,0,0,126.02,Low,126.02,28.57,High
2022-02-24,Marion,,,253.7,Medium,253.7,4.76,High
2022-02-24,Martin,6.3,3.5,173.28,Low,173.28,22.73,High
2022-02-24,Mason,4.7,14.2,70.19,Medium,70.19,66.67,High
2022-02-24,Matagorda,8.4,6.6,106.43,Low,106.43,12.85,High
2022-02-24,Maverick,4.2,15.3,212.87,High,212.87,22.55,High
2022-02-24,Medina,8.7,19.8,248.14,High,248.14,7.63,High
2022-02-24,Menard,2.9,14.2,93.55,Medium,93.55,0,Substantial
2022-02-24,Midland,6.3,3.5,174.18,Low,174.18,12.15,High
