Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lee,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Leon,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Liberty,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Limestone,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lipscomb,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Live Oak,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Llano,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Loving,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lubbock,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Lynn,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Madison,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Marion,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Martin,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Mason,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Matagorda,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Maverick,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,McCulloch,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,McLennan,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,McMullen,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Medina,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Menard,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Midland,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Milam,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Mills,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Mitchell,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Montague,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Montgomery,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Moore,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Morris,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Motley,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Nacogdoches,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Navarro,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Newton,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Nolan,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Nueces,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Ochiltree,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Oldham,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Orange,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Palo Pinto,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Panola,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Parker,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Parmer,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Pecos,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Polk,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Potter,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Presidio,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Rains,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Randall,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Reagan,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Real,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Red River,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Reeves,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Refugio,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Roberts,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Robertson,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Rockwall,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Runnels,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Rusk,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Sabine,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,San Augustine,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,San Jacinto,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,San Patricio,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,San Saba,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Schleicher,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Scurry,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Shackelford,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Shelby,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Sherman,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Smith,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Somervell,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Starr,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Stephens,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Sterling,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Stonewall,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Sutton,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Swisher,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Tarrant,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Taylor,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Terrell,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Terry,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Throckmorton,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Titus,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Tom Green,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Travis,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Trinity,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Tyler,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Upshur,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Upton,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Uvalde,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Val Verde,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Van Zandt,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Victoria,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Walker,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Waller,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Ward,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Washington,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Webb,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wharton,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wheeler,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wichita,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wilbarger,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Willacy,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Williamson,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wilson,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Winkler,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wise,0,,High,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Wood,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Yoakum,0,,Low,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Young,0,,Moderate,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Zapata,0,,Substantial,
2021-06-21,original-sources/historical/cpr_orig//cpr_2021-06-28.xlsx,Zavala,0,,High,
