County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Travis,2020-05-20,2644,82,49,1
Travis,2020-05-21,2712,83,68,1
Travis,2020-05-22,2761,83,49,0
Travis,2020-05-23,2788,83,27,0
Travis,2020-05-24,2847,84,59,1
Travis,2020-05-25,2933,85,86,1
Travis,2020-05-26,2984,88,51,3
Travis,2020-05-27,3057,91,73,3
Travis,2020-05-28,3124,92,67,1
Travis,2020-05-29,3186,93,62,1
Travis,2020-05-30,3232,93,46,0
Travis,2020-05-31,3272,93,40,0
Travis,2020-06-01,3360,93,88,0
Travis,2020-06-02,3433,93,73,0
Travis,2020-06-03,3501,95,68,2
Travis,2020-06-04,3562,95,61,0
Travis,2020-06-05,3616,97,54,2
Travis,2020-06-06,3662,97,46,0
Travis,2020-06-07,3697,97,35,0
Travis,2020-06-08,3815,98,118,1
Travis,2020-06-09,3976,99,161,1
Travis,2020-06-10,4109,99,133,0
Travis,2020-06-11,4238,101,129,2
Travis,2020-06-12,4314,104,76,3
Travis,2020-06-13,4461,104,147,0
Travis,2020-06-14,4545,104,84,0
Travis,2020-06-15,4664,106,119,2
Travis,2020-06-16,4771,106,107,0
Travis,2020-06-17,4991,108,220,2
Travis,2020-06-19,5286,108,295,0
Travis,2020-06-20,5704,109,418,1
Travis,2020-06-21,6210,110,506,1
Travis,2020-06-22,6339,112,129,2
Travis,2020-06-23,6596,114,257,2
Travis,2020-06-24,6914,116,318,2
Travis,2020-06-25,7097,116,183,0
Travis,2020-06-27,7825,117,728,1
Travis,2020-06-28,8461,117,636,0
Travis,2020-06-29,8969,121,508,4
Travis,2020-06-30,9527,124,558,3
Travis,2020-07-01,10124,128,597,4
Travis,2020-07-02,10695,133,571,5
Travis,2020-07-03,11009,134,314,1
Travis,2020-07-04,11131,136,122,2
Travis,2020-07-05,11679,137,548,1
Travis,2020-07-06,11926,144,247,7
Travis,2020-07-07,12408,151,482,7
Travis,2020-07-08,13161,159,753,8
Travis,2020-07-09,13864,159,703,0
Travis,2020-07-10,14304,166,440,7
Travis,2020-07-11,14622,168,318,2
Travis,2020-07-12,14788,169,166,1
Travis,2020-07-13,15445,172,657,3
Travis,2020-07-14,15998,179,553,7
Travis,2020-07-15,16570,183,572,4
Travis,2020-07-16,16983,189,413,6
Travis,2020-07-17,17215,196,232,7
