"PHR","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"6/5S - Houston PHR",2020-09-03,"Raw",272.58064516129,199.482071713147,364.88403541554,315.354087224277,414.413983606804,586.582887756657,482.547082958563,690.618692554751
"6/5S - Houston PHR",2020-09-04,"Raw",362.903225806452,778.964143426295,351.967069962675,302.294020156714,401.640119768636,585.842412610538,481.753153589995,689.931671631082
"6/5S - Houston PHR",2020-09-05,"Raw",607.258064516129,214.06374501992,339.454203145528,289.727885561034,389.180520730023,585.024856582074,480.972429017976,689.077284146172
"6/5S - Houston PHR",2020-09-06,"Raw",387.903225806452,167.091633466135,327.343536452129,277.65259192703,377.034480977228,584.131989654196,480.201400978076,688.062578330316
"6/5S - Houston PHR",2020-09-07,"Raw",251.209677419355,822.868525896414,315.625928970573,266.05560629422,365.196251646925,583.165523438256,479.433420468256,686.897626408256
"6/5S - Houston PHR",2020-09-08,"Raw",-47.1774193548387,118.525896414343,304.292239788957,254.923473054618,353.661006523295,582.127169545603,478.660385295769,685.593953795437
"6/5S - Houston PHR",2020-09-09,"Raw",336.290322580645,875.93625498008,293.333327995377,244.241837179363,342.424818811392,581.018639587588,477.872793149056,684.16448602612
"6/5S - Houston PHR",2020-09-10,"Raw",389.91935483871,80,282.740052677932,233.995447728506,331.484657627357,579.841645175561,477.059789407721,682.623500943402
"6/5S - Houston PHR",2020-09-11,"Raw",384.274193548387,575.697211155378,272.503272924717,224.168144605025,320.838401244408,578.597897920873,476.209215461035,680.986580380711
"6/5S - Houston PHR",2020-09-12,"Raw",499.596774193548,658.486055776892,262.613847823828,214.742831520259,310.484864127396,577.289109434873,475.307663746497,679.27055512325
"6/5S - Houston PHR",2020-09-13,"Raw",239.516129032258,-800.239043824701,253.062636463363,205.70143850099,300.423834425735,575.916991328913,474.340546156355,677.49343650147
